Date,Open,High,Low,Close,Adj Close,Volume
2017-05-18,401.429993,401.429993,401.320007,401.320007,401.320007,300
2017-05-19,401.320007,401.320007,401.320007,401.320007,401.320007,0
2017-05-22,401.320007,401.320007,401.320007,401.320007,401.320007,0
2017-05-23,401.320007,401.320007,401.320007,401.320007,401.320007,0
2017-05-24,401.320007,401.320007,401.320007,401.320007,401.320007,0
2017-05-25,401.320007,401.320007,401.320007,401.320007,401.320007,0
2017-05-26,401.320007,401.320007,401.320007,401.320007,401.320007,0
2017-05-29,401.320007,401.320007,401.320007,401.320007,401.320007,0
2017-05-30,405.010010,405.010010,405.010010,405.010010,405.010010,100
2017-05-31,405.010010,405.010010,405.010010,405.010010,405.010010,0
2017-06-01,405.010010,405.010010,405.010010,405.010010,405.010010,0
2017-06-02,405.010010,405.010010,405.010010,405.010010,405.010010,0
2017-06-05,405.010010,405.010010,405.010010,405.010010,405.010010,0
2017-06-06,405.010010,405.010010,405.010010,405.010010,405.010010,0
2017-06-07,405.010010,405.010010,405.010010,405.010010,405.010010,0
2017-06-08,412.540009,412.540009,412.540009,412.540009,412.540009,100
2017-06-09,412.540009,412.540009,412.540009,412.540009,412.540009,0
2017-06-12,412.540009,412.540009,412.540009,412.540009,412.540009,0
2017-06-13,412.540009,412.540009,412.540009,412.540009,412.540009,0
2017-06-14,412.540009,412.540009,412.540009,412.540009,412.540009,0
2017-06-15,412.540009,412.540009,412.540009,412.540009,412.540009,0
2017-06-16,412.540009,412.540009,412.540009,412.540009,412.540009,0
2017-06-19,412.540009,412.540009,412.540009,412.540009,412.540009,0
2017-06-20,412.540009,412.540009,412.540009,412.540009,412.540009,0
2017-06-21,412.540009,412.540009,412.540009,412.540009,412.540009,0
2017-06-22,null,null,null,null,null,null
2017-06-23,null,null,null,null,null,null
2017-06-26,null,null,null,null,null,null
2017-06-27,null,null,null,null,null,null
2017-06-28,null,null,null,null,null,null
2017-06-29,null,null,null,null,null,null
2017-06-30,null,null,null,null,null,null
2017-07-03,null,null,null,null,null,null
2017-07-04,null,null,null,null,null,null
2017-07-05,null,null,null,null,null,null
2017-07-06,null,null,null,null,null,null
2017-07-07,null,null,null,null,null,null
2017-07-10,null,null,null,null,null,null
2017-07-11,null,null,null,null,null,null
2017-07-12,null,null,null,null,null,null
2017-07-13,null,null,null,null,null,null
2017-07-14,null,null,null,null,null,null
2017-07-17,null,null,null,null,null,null
2017-07-18,null,null,null,null,null,null
2017-07-19,null,null,null,null,null,null
2017-07-20,null,null,null,null,null,null
2017-07-21,null,null,null,null,null,null
2017-07-24,null,null,null,null,null,null
2017-07-25,null,null,null,null,null,null
2017-07-26,null,null,null,null,null,null
2017-07-27,null,null,null,null,null,null
2017-07-28,null,null,null,null,null,null
2017-07-31,null,null,null,null,null,null
2017-08-01,403.630005,403.630005,403.630005,403.630005,403.630005,100
2017-08-02,403.630005,403.630005,403.630005,403.630005,403.630005,0
2017-08-03,403.630005,403.630005,403.630005,403.630005,403.630005,0
2017-08-04,403.630005,403.630005,403.630005,403.630005,403.630005,0
2017-08-07,403.630005,403.630005,403.630005,403.630005,403.630005,0
2017-08-08,403.630005,403.630005,403.630005,403.630005,403.630005,0
