Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,4.807660,4.808410,4.770850,4.770850,4.274800,37268
2008-01-03,4.808410,4.845980,4.806540,4.845980,4.342118,103818
2008-01-04,4.845980,4.845980,4.770850,4.770850,4.274800,122452
2008-01-07,4.770850,4.770850,4.770850,4.770850,4.274800,210298
2008-01-08,4.827200,4.827200,4.808410,4.808410,4.308455,181016
2008-01-09,4.808410,4.808410,4.808040,4.808410,4.308455,87846
2008-01-10,4.808410,4.808410,4.695720,4.770470,4.274459,39930
2008-01-11,4.808410,4.977460,4.695720,4.733280,4.241137,750684
2008-01-14,4.676930,4.709620,4.676930,4.709620,4.219935,220946
2008-01-15,4.709620,4.788500,4.695720,4.695720,4.207481,505780
2008-01-16,4.507510,4.507510,4.320060,4.470320,4.005517,263538
2008-01-17,4.504130,4.507510,4.244930,4.481590,4.015615,354046
2008-01-18,4.507510,4.507510,4.244930,4.244930,3.803562,170368
2008-01-21,4.170920,4.207360,4.000750,4.057100,3.635262,282172
2008-01-22,4.090910,4.094670,3.944400,4.047710,3.626849,306130
2008-01-23,4.030800,4.034180,4.030800,4.034180,3.614725,69212
2008-01-24,4.207360,4.278740,4.057100,4.237420,3.796833,3476572
2008-01-28,4.225770,4.226150,4.151010,4.225770,3.786396,69212
2008-01-29,4.206240,4.206240,4.169800,4.169800,3.736243,23958
2008-01-30,4.169800,4.169800,4.132230,4.150260,3.718735,2768480
2008-01-31,4.206990,4.207360,4.132230,4.207360,3.769899,117128
2008-02-01,4.312550,4.357630,4.169800,4.293760,3.847315,279510
2008-02-06,4.244930,4.282490,4.169800,4.282490,3.837218,85184
2008-02-07,4.244930,4.263710,4.207360,4.263710,3.820390,15972
2008-02-08,4.273100,4.273100,4.188580,4.224270,3.785050,212960
2008-02-11,4.282120,4.282120,3.831710,4.094670,3.668926,958320
2008-02-12,4.169420,4.169800,4.045830,4.113450,3.685753,55902
2008-02-13,4.169800,4.169800,4.000750,4.113450,3.685753,407286
2008-02-14,4.226150,4.320060,3.981970,3.981970,3.567944,923714
2008-02-15,3.981970,4.057100,3.944400,4.000380,3.584439,189002
2008-02-18,4.057100,4.169800,4.057100,4.060480,3.638291,21296
2008-02-19,4.161910,4.161910,3.906840,3.963190,3.551116,290158
2008-02-20,3.963190,3.963190,3.925620,3.925620,3.517453,37268
2008-02-21,3.925620,3.925620,3.851240,3.886930,3.482786,196988
2008-02-22,3.869270,3.906840,3.794140,3.906840,3.500625,417934
2008-02-25,4.019530,4.019530,3.944400,4.019530,3.601599,1488058
2008-02-26,3.944400,4.132230,3.944400,3.963190,3.551116,3109216
2008-02-27,3.981970,3.981970,3.906840,3.959430,3.547747,740036
2008-02-28,3.981970,4.083400,3.888050,3.981970,3.567944,625570
2008-02-29,3.944400,3.944400,3.936890,3.936890,3.527551,582978
2008-03-03,3.936890,3.944400,3.936890,3.944400,3.534281,130438
2008-03-04,3.869270,3.869270,3.741550,3.741550,3.352522,529738
2008-03-05,3.792260,4.038320,3.737790,3.775360,3.382816,1945922
2008-03-06,3.779110,3.831710,3.779110,3.782870,3.389545,95832
2008-03-07,3.812920,3.812920,3.771600,3.771600,3.379447,66550
2008-03-10,3.771600,3.794140,3.720140,3.720140,3.333338,481822
2008-03-11,3.831710,3.831710,3.756570,3.756570,3.365980,508442
2008-03-12,3.865510,3.939520,3.831710,3.873030,3.470331,210298
2008-03-13,3.935760,4.019530,3.850490,4.019530,3.601599,409948
2008-03-14,4.094290,4.207360,4.019160,4.019160,3.601267,918390
2008-03-17,3.944400,4.090910,3.928630,4.090910,3.665557,31944
2008-03-18,4.094670,4.169800,4.094670,4.132230,3.702580,652190
2008-03-19,4.169800,4.169800,3.906840,3.914350,3.507354,82522
2008-03-20,3.910590,4.092790,3.907590,4.092790,3.667242,66550
2008-03-24,4.113450,4.113450,4.020290,4.105940,3.679024,47916
2008-03-25,4.113070,4.113450,3.981970,4.036440,3.616750,311454
2008-03-26,4.019530,4.053340,3.933880,3.933880,3.524854,15972
2008-03-27,4.019910,4.019910,3.944400,3.944400,3.534281,39930
2008-03-28,3.944400,4.068370,3.914350,3.914350,3.507354,39930
2008-03-31,4.019530,4.124720,4.019160,4.019160,3.601267,79860
2008-04-01,4.094670,4.094670,3.944780,4.052590,3.631221,45254
2008-04-02,4.087150,4.087150,3.907210,3.981590,3.567603,111804
2008-04-03,3.926000,3.944400,3.906840,3.944400,3.534281,85184
2008-04-04,3.907210,4.017280,3.906460,3.906460,3.500285,50578
2008-04-07,3.944400,4.000750,3.794140,3.850490,3.450135,444554
2008-04-08,3.879790,3.879790,3.831330,3.879790,3.476388,444554
2008-04-09,3.879790,3.879790,3.878660,3.878660,3.475376,7986
2008-04-10,3.764090,3.906460,3.764090,3.906460,3.500285,234256
2008-04-11,3.831710,3.831710,3.741550,3.741550,3.352522,279510
2008-04-14,3.736290,3.756570,3.700980,3.700980,3.316170,157058
2008-04-15,3.689330,3.793390,3.681440,3.681440,3.298661,194326
2008-04-16,3.719010,3.775360,3.681820,3.775360,3.382816,93170
2008-04-17,3.756570,3.756570,3.645760,3.645760,3.266691,763994
2008-04-18,3.719010,3.755820,3.608190,3.755820,3.365308,370018
2008-04-22,3.755820,3.846730,3.755820,3.846730,3.446765,29282
2008-04-23,3.794520,3.846730,3.726520,3.747180,3.357566,644204
2008-04-24,3.726520,3.726520,3.726520,3.726520,3.339054,5324
2008-04-25,3.726520,3.830950,3.711500,3.756200,3.365648,10648
2008-04-28,3.801280,3.801280,3.681440,3.756570,3.365980,276848
2008-04-29,3.719380,3.719380,3.681440,3.681440,3.298661,553696
2008-04-30,3.730280,3.794140,3.730280,3.794140,3.399644,109142
2008-05-02,4.057100,4.057100,3.944400,3.944400,3.534281,319440
2008-05-05,3.832080,4.038320,3.832080,4.000750,3.584771,47916
2008-05-06,3.981970,4.037940,3.963190,3.963190,3.551116,210298
2008-05-07,3.944780,4.019160,3.944400,3.974460,3.561215,276848
2008-05-08,4.072130,4.072130,3.906840,3.906840,3.500625,55902
