Date,Open,High,Low,Close,Adj Close,Volume
2014-08-06,107.230003,108.199997,107.000000,108.000000,108.000000,6503
2014-08-07,107.989998,108.190002,107.500000,107.889999,107.889999,9636
2014-08-08,107.790001,108.000000,107.110001,107.980003,107.980003,10161
2014-08-11,108.000000,108.000000,107.550003,107.720001,107.720001,14846
2014-08-12,107.779999,108.400002,107.550003,108.400002,108.400002,10946
2014-08-13,108.099998,108.750000,108.000000,108.199997,108.199997,6616
2014-08-14,108.199997,108.930000,108.199997,108.900002,108.900002,8508
2014-08-15,108.879997,109.190002,108.300003,108.510002,108.510002,40232
2014-08-18,108.500000,108.989998,107.959999,108.699997,108.699997,30207
2014-08-19,108.699997,108.980003,108.029999,108.750000,108.750000,39729
2014-08-20,108.500000,108.790001,108.199997,108.500000,108.500000,8255
2014-08-21,108.599998,108.949997,108.400002,108.699997,108.699997,16823
2014-08-22,108.250000,108.779999,108.000000,108.779999,108.779999,9195
2014-08-25,108.120003,109.459999,108.120003,109.000000,109.000000,30590
2014-08-26,108.650002,109.400002,108.650002,109.150002,109.150002,36607
2014-08-27,109.199997,109.989998,108.900002,109.989998,109.989998,34256
2014-08-28,109.889999,110.739998,109.610001,110.500000,110.500000,62692
2014-08-29,110.500000,110.900002,109.669998,110.690002,110.690002,12717
2014-09-01,109.849998,110.500000,109.599998,109.849998,109.849998,47220
2014-09-02,110.000000,110.500000,109.199997,110.449997,110.449997,31393
2014-09-03,110.500000,111.449997,110.250000,110.709999,110.709999,24039
2014-09-04,110.800003,111.010002,110.000000,111.000000,111.000000,42038
2014-09-05,110.599998,110.900002,110.400002,110.510002,110.510002,26817
2014-09-08,110.699997,110.900002,109.660004,109.660004,109.660004,52814
2014-09-09,109.599998,110.269997,109.129997,109.599998,109.599998,27313
2014-09-10,109.150002,109.449997,108.599998,109.000000,109.000000,10437
2014-09-11,109.300003,110.500000,109.300003,110.489998,110.489998,8055
2014-09-12,110.000000,110.199997,108.410004,108.500000,108.500000,19933
2014-09-15,108.500000,109.699997,108.449997,109.699997,109.699997,13058
2014-09-16,109.500000,110.500000,109.199997,110.000000,110.000000,14028
2014-09-17,109.610001,110.019997,109.169998,109.989998,109.989998,6701
2014-09-18,109.949997,110.000000,109.000000,109.889999,109.889999,9424
2014-09-19,109.500000,109.900002,109.010002,109.750000,109.750000,12164
2014-09-22,109.419998,109.989998,109.150002,109.989998,109.989998,14743
2014-09-23,109.239998,109.879997,109.239998,109.800003,109.800003,19304
2014-09-24,109.500000,110.480003,109.500000,110.199997,110.199997,13515
2014-09-25,110.080002,111.000000,109.570000,110.000000,110.000000,35799
2014-09-26,110.000000,110.199997,109.220001,109.910004,109.910004,13671
2014-09-29,109.000000,109.309998,108.000000,108.000000,108.000000,33840
2014-09-30,108.550003,108.550003,107.800003,108.000000,108.000000,7113
2014-10-01,107.500000,107.500000,105.900002,106.050003,106.050003,56152
2014-10-02,106.010002,106.690002,105.070000,106.209999,106.209999,45529
2014-10-03,106.209999,106.650002,105.510002,106.400002,106.400002,54122
2014-10-06,109.000000,109.099998,106.599998,107.500000,107.500000,34698
2014-10-07,107.500000,108.339996,107.010002,108.339996,108.339996,25661
2014-10-08,108.500000,109.400002,107.570000,108.750000,108.750000,32952
2014-10-09,108.519997,109.389999,108.110001,108.510002,108.510002,19104
2014-10-10,108.489998,108.870003,108.050003,108.449997,108.449997,12300
2014-10-13,108.449997,109.690002,108.449997,109.400002,109.400002,26635
2014-10-14,108.779999,109.699997,108.720001,109.500000,109.500000,10123
2014-10-15,109.629997,109.699997,108.500000,109.000000,109.000000,10777
2014-10-16,108.550003,108.699997,108.019997,108.400002,108.400002,29006
2014-10-17,108.510002,109.489998,108.510002,109.410004,109.410004,5922
2014-10-20,109.000000,109.110001,108.669998,108.699997,108.699997,14119
2014-10-21,107.889999,107.889999,107.889999,107.889999,107.889999,41890
2014-10-22,107.800003,108.300003,107.500000,107.900002,107.900002,20910
2014-10-23,107.989998,107.989998,106.510002,106.989998,106.989998,32130
2014-10-24,107.000000,107.779999,106.519997,106.699997,106.699997,16586
2014-10-27,105.690002,106.379997,105.019997,105.820000,105.820000,28271
2014-10-28,106.599998,107.080002,106.129997,106.559998,106.559998,30854
2014-10-29,106.690002,106.830002,105.849998,106.099998,106.099998,8161
2014-10-30,106.690002,107.300003,106.199997,107.010002,107.010002,16592
2014-10-31,107.010002,107.779999,106.930000,107.500000,107.500000,12596
2014-11-03,107.050003,107.050003,105.199997,105.199997,105.199997,22282
2014-11-04,105.610001,105.610001,104.849998,105.400002,105.400002,20279
2014-11-05,105.500000,105.500000,104.510002,105.000000,105.000000,22430
2014-11-06,105.000000,105.699997,104.000000,104.000000,104.000000,20038
2014-11-07,104.320000,104.519997,104.000000,104.099998,104.099998,21586
2014-11-10,104.500000,104.769997,103.750000,103.769997,103.769997,14379
2014-11-11,103.750000,103.900002,103.250000,103.599998,103.599998,21660
2014-11-12,103.500000,104.300003,103.110001,103.500000,103.500000,34343
2014-11-13,103.500000,103.500000,102.980003,103.099998,103.099998,31983
2014-11-14,103.010002,103.300003,102.519997,102.800003,102.800003,28117
2014-11-17,103.099998,103.500000,102.400002,103.500000,103.500000,17610
