Date,Open,High,Low,Close,Adj Close,Volume
2016-01-11,13.000000,13.000000,13.000000,13.000000,11.782470,200
2016-01-12,13.000000,13.000000,13.000000,13.000000,11.782470,0
2016-01-13,13.000000,13.000000,13.000000,13.000000,11.782470,0
2016-01-14,13.000000,13.000000,13.000000,13.000000,11.782470,0
2016-01-15,13.000000,13.000000,13.000000,13.000000,11.782470,0
2016-01-18,13.000000,13.000000,13.000000,13.000000,11.782470,0
2016-01-19,13.000000,13.000000,13.000000,13.000000,11.782470,0
2016-01-20,13.000000,13.000000,13.000000,13.000000,11.782470,0
2016-01-21,13.000000,13.000000,13.000000,13.000000,11.782470,0
2016-01-22,13.000000,13.000000,13.000000,13.000000,11.782470,0
2016-01-26,13.000000,13.000000,13.000000,13.000000,11.782470,0
2016-01-27,null,null,null,null,null,null
2016-01-28,null,null,null,null,null,null
2016-01-29,null,null,null,null,null,null
2016-02-01,null,null,null,null,null,null
2016-02-02,null,null,null,null,null,null
2016-02-03,null,null,null,null,null,null
2016-02-04,null,null,null,null,null,null
2016-02-05,null,null,null,null,null,null
2016-02-10,null,null,null,null,null,null
2016-02-11,null,null,null,null,null,null
2016-02-12,null,null,null,null,null,null
2016-02-15,null,null,null,null,null,null
2016-02-16,null,null,null,null,null,null
2016-02-17,null,null,null,null,null,null
2016-02-18,null,null,null,null,null,null
2016-02-19,null,null,null,null,null,null
2016-02-22,null,null,null,null,null,null
2016-02-23,null,null,null,null,null,null
2016-02-24,null,null,null,null,null,null
2016-02-25,null,null,null,null,null,null
2016-02-26,null,null,null,null,null,null
2016-02-29,13.710000,14.210000,13.710000,14.010000,12.697877,500
2016-03-01,15.010000,15.010000,14.930000,14.930000,13.531713,400
2016-03-02,16.059999,16.510000,16.059999,16.510000,14.963737,200
2016-03-03,18.000000,19.049999,17.510000,19.000000,17.220533,1000
2016-03-04,19.000000,19.000000,19.000000,19.000000,17.220533,500
2016-03-07,19.000000,19.000000,19.000000,19.000000,17.220533,0
2016-03-08,19.000000,19.000000,19.000000,19.000000,17.220533,0
2016-03-09,19.100000,20.150000,19.100000,20.150000,18.262827,400
2016-03-10,21.299999,21.299999,21.299999,21.299999,19.305122,400
2016-03-11,22.580000,22.580000,22.580000,22.580000,20.465242,300
2016-03-14,22.580000,22.580000,22.580000,22.580000,20.465242,0
2016-03-15,22.580000,22.580000,22.580000,22.580000,20.465242,0
2016-03-16,22.580000,22.580000,22.580000,22.580000,20.465242,200
2016-03-17,22.580000,22.580000,22.580000,22.580000,20.465242,200
2016-03-18,22.580000,22.580000,22.580000,22.580000,20.465242,500
2016-03-21,22.580000,22.580000,22.580000,22.580000,20.465242,0
2016-03-22,22.580000,22.580000,22.580000,22.580000,20.465242,0
