Date,Open,High,Low,Close,Adj Close,Volume
2014-10-15,3.090000,3.090000,2.910000,3.040000,3.031014,68400
2014-10-16,null,null,null,null,null,null
2014-10-17,null,null,null,null,null,null
2014-10-20,2.800000,2.800000,2.690000,2.690000,2.682049,15100
2014-10-21,null,null,null,null,null,null
2014-10-22,null,null,null,null,null,null
2014-10-23,null,null,null,null,null,null
2014-10-24,null,null,null,null,null,null
2014-10-27,2.700000,2.700000,2.530000,2.670000,2.662108,31000
2014-10-28,2.700000,2.710000,2.600000,2.650000,2.642167,68200
2014-10-29,2.640000,2.750000,2.580000,2.750000,2.741872,29700
2014-10-30,2.720000,2.850000,2.720000,2.840000,2.831605,37700
2014-10-31,2.860000,2.950000,2.800000,2.880000,2.871487,137000
2014-11-03,2.850000,2.880000,2.460000,2.460000,2.452729,4246600
2014-11-04,2.520000,2.520000,2.470000,2.490000,2.482640,35100
2014-11-05,2.520000,2.530000,2.460000,2.530000,2.522521,75700
2014-11-06,2.530000,2.530000,2.490000,2.520000,2.512551,1025400
2014-11-07,2.550000,2.550000,2.480000,2.520000,2.512551,823500
2014-11-10,2.520000,2.540000,2.490000,2.490000,2.482640,43300
2014-11-11,2.510000,2.540000,2.500000,2.520000,2.512551,10700
2014-11-12,2.490000,2.540000,2.490000,2.540000,2.532492,632200
2014-11-13,2.540000,2.540000,2.500000,2.530000,2.522521,12300
2014-11-14,2.520000,2.540000,2.500000,2.540000,2.532492,3300
2014-11-17,2.550000,2.560000,2.510000,2.560000,2.552433,1161300
2014-11-18,2.560000,2.590000,2.510000,2.560000,2.552433,60400
2014-11-19,2.650000,2.650000,2.570000,2.600000,2.592315,72100
2014-11-21,2.610000,2.620000,2.560000,2.580000,2.572374,132900
2014-11-24,2.600000,2.620000,2.540000,2.620000,2.612256,56500
2014-11-25,2.620000,2.650000,2.480000,2.480000,2.472669,123900
2014-11-26,2.510000,2.510000,2.440000,2.500000,2.492610,70900
2014-11-27,2.510000,2.520000,2.500000,2.520000,2.512551,11100
2014-11-28,2.490000,2.500000,2.400000,2.400000,2.392906,57100
2014-12-01,2.400000,2.420000,2.300000,2.400000,2.392906,240864
2014-12-02,2.400000,2.420000,2.350000,2.420000,2.412847,95413
2014-12-03,2.410000,2.420000,2.370000,2.420000,2.412847,19300
2014-12-04,2.410000,2.410000,2.400000,2.410000,2.402877,5000
2014-12-05,2.410000,2.420000,2.370000,2.420000,2.412847,25000
2014-12-08,2.410000,2.430000,2.370000,2.430000,2.422817,63000
2014-12-09,2.420000,2.430000,2.370000,2.370000,2.362994,31500
2014-12-10,2.400000,2.400000,2.230000,2.290000,2.283231,160900
2014-12-11,2.300000,2.300000,2.250000,2.300000,2.293201,525800
2014-12-12,2.270000,2.300000,2.220000,2.220000,2.213438,211300
2014-12-15,2.210000,2.230000,2.050000,2.100000,2.093793,270000
2014-12-16,2.090000,2.170000,2.050000,2.070000,2.063881,110900
2014-12-17,2.120000,2.150000,2.020000,2.100000,2.093793,390400
2014-12-18,2.150000,2.150000,2.100000,2.100000,2.093793,175300
2014-12-19,2.100000,2.100000,2.020000,2.020000,2.014029,251300
2014-12-22,2.010000,2.070000,2.000000,2.010000,2.004059,62500
2014-12-23,2.060000,2.150000,2.040000,2.150000,2.143645,98700
2014-12-26,2.220000,2.290000,2.100000,2.290000,2.283231,51300
2014-12-29,2.290000,2.290000,2.220000,2.250000,2.243350,62000
2014-12-30,2.240000,2.350000,2.210000,2.350000,2.343054,57600
2015-01-02,2.350000,2.350000,2.250000,2.300000,2.293201,33600
2015-01-05,2.300000,2.300000,2.150000,2.160000,2.153615,269700
2015-01-06,2.150000,2.170000,2.090000,2.150000,2.143645,44000
2015-01-07,2.140000,2.230000,2.080000,2.140000,2.133674,87500
2015-01-08,2.160000,2.200000,2.150000,2.200000,2.193497,20900
2015-01-09,2.210000,2.220000,2.170000,2.220000,2.213438,29000
2015-01-12,2.210000,2.220000,2.170000,2.220000,2.213438,40100
