Date,Open,High,Low,Close,Adj Close,Volume
2011-07-25,388.725006,388.725006,375.019989,381.000000,380.995117,6822
2011-07-26,null,null,null,null,null,null
2011-07-27,null,null,null,null,null,null
2011-07-28,null,null,null,null,null,null
2011-07-29,378.259003,378.507996,378.259003,378.507996,378.503143,401
2011-08-01,null,null,null,null,null,null
2011-08-02,null,null,null,null,null,null
2011-08-03,null,null,null,null,null,null
2011-08-04,null,null,null,null,null,null
2011-08-05,null,null,null,null,null,null
2011-08-08,null,null,null,null,null,null
2011-08-09,null,null,null,null,null,null
2011-08-10,null,null,null,null,null,null
2011-08-11,null,null,null,null,null,null
2011-08-12,null,null,null,null,null,null
2011-08-15,null,null,null,null,null,null
2011-08-16,null,null,null,null,null,null
2011-08-17,null,null,null,null,null,null
2011-08-18,null,null,null,null,null,null
2011-08-19,null,null,null,null,null,null
2011-08-22,null,null,null,null,null,null
2011-08-23,null,null,null,null,null,null
2011-08-24,null,null,null,null,null,null
2011-08-25,null,null,null,null,null,null
2011-08-26,null,null,null,null,null,null
2011-08-29,null,null,null,null,null,null
2011-08-30,null,null,null,null,null,null
2011-08-31,null,null,null,null,null,null
2011-09-01,null,null,null,null,null,null
2011-09-02,null,null,null,null,null,null
2011-09-05,null,null,null,null,null,null
2011-09-06,null,null,null,null,null,null
2011-09-08,null,null,null,null,null,null
2011-09-09,null,null,null,null,null,null
2011-09-12,null,null,null,null,null,null
2011-09-13,null,null,null,null,null,null
2011-09-14,null,null,null,null,null,null
2011-09-15,null,null,null,null,null,null
2011-09-16,null,null,null,null,null,null
2011-09-19,null,null,null,null,null,null
2011-09-20,null,null,null,null,null,null
2011-09-21,null,null,null,null,null,null
2011-09-22,null,null,null,null,null,null
2011-09-23,null,null,null,null,null,null
2011-09-26,null,null,null,null,null,null
2011-09-27,null,null,null,null,null,null
2011-09-28,null,null,null,null,null,null
2011-09-29,null,null,null,null,null,null
2011-09-30,null,null,null,null,null,null
2011-10-03,null,null,null,null,null,null
2011-10-04,null,null,null,null,null,null
2011-10-05,null,null,null,null,null,null
2011-10-06,null,null,null,null,null,null
2011-10-07,null,null,null,null,null,null
2011-10-10,null,null,null,null,null,null
2011-10-11,null,null,null,null,null,null
2011-10-13,null,null,null,null,null,null
2011-10-14,null,null,null,null,null,null
2011-10-17,null,null,null,null,null,null
2011-10-18,null,null,null,null,null,null
2011-10-19,null,null,null,null,null,null
2011-10-20,null,null,null,null,null,null
2011-10-21,null,null,null,null,null,null
2011-10-24,null,null,null,null,null,null
2011-10-25,null,null,null,null,null,null
2011-10-26,null,null,null,null,null,null
2011-10-27,null,null,null,null,null,null
2011-10-28,null,null,null,null,null,null
2011-10-31,null,null,null,null,null,null
2011-11-01,null,null,null,null,null,null
2011-11-03,null,null,null,null,null,null
2011-11-04,null,null,null,null,null,null
2011-11-07,null,null,null,null,null,null
2011-11-08,null,null,null,null,null,null
2011-11-09,null,null,null,null,null,null
2011-11-10,null,null,null,null,null,null
2011-11-11,null,null,null,null,null,null
2011-11-14,null,null,null,null,null,null
2011-11-16,null,null,null,null,null,null
2011-11-17,null,null,null,null,null,null
2011-11-18,null,null,null,null,null,null
2011-11-21,null,null,null,null,null,null
2011-11-22,null,null,null,null,null,null
2011-11-23,null,null,null,null,null,null
2011-11-24,null,null,null,null,null,null
2011-11-25,386.233002,388.725006,380.003998,380.003998,379.999115,3210
2011-11-28,381.250000,381.250000,381.250000,381.250000,381.245117,7224
2011-11-29,381.250000,381.250000,381.250000,381.250000,381.245117,401
2011-11-30,376.265991,432.083008,376.265991,432.083008,432.077484,12039
2011-12-01,432.083008,433.578003,424.358002,426.101990,426.096527,4414
2011-12-02,426.101990,426.101990,426.101990,426.101990,426.096527,6020
2011-12-05,425.852997,425.852997,423.610992,423.610992,423.605560,3210
2011-12-06,423.610992,423.610992,423.610992,423.610992,423.605560,0
2011-12-07,416.135010,416.135010,409.906006,409.906006,409.900757,11638
2011-12-08,409.906006,409.906006,396.200012,396.200012,396.194946,1204
2011-12-09,398.691986,398.691986,381.498993,389.971008,389.966003,6020
2011-12-12,391.217010,391.217010,391.217010,391.217010,391.212006,401
2011-12-13,388.725006,388.725006,388.725006,388.725006,388.720032,1605
2011-12-14,383.740997,383.740997,383.740997,383.740997,383.736084,4013
2011-12-15,386.233002,393.709015,386.233002,393.709015,393.703979,7224
2011-12-16,389.971008,401.183990,389.971008,401.183990,401.178864,9631
2011-12-19,393.709015,396.200012,393.709015,393.709015,393.703979,9230
2011-12-20,396.200012,398.691986,393.709015,398.691986,398.686890,5217
2011-12-21,398.691986,398.691986,398.691986,398.691986,398.686890,401
