Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,9.000000,9.000000,8.510000,9.000000,7.220338,400
2008-01-03,null,null,null,null,null,null
2008-01-04,8.410000,8.890000,8.300000,8.580000,6.883388,51200
2008-01-07,8.260000,8.700000,8.250000,8.670000,6.955592,6200
2008-01-08,8.510000,8.690000,8.500000,8.530000,6.843275,4500
2008-01-09,8.390000,8.530000,8.330000,8.530000,6.843275,46800
2008-01-10,8.550000,8.550000,8.430000,8.540000,6.851298,13500
2008-01-11,8.480000,8.480000,8.390000,8.390000,6.730960,1200
2008-01-14,8.400000,8.400000,8.380000,8.380000,6.722936,4500
2008-01-15,8.620000,8.630000,8.020000,8.300000,6.658756,7300
2008-01-16,8.210000,8.210000,7.900000,7.920000,6.353897,9100
2008-01-17,8.590000,8.590000,7.750000,7.750000,6.217513,16000
2008-01-18,8.000000,8.000000,7.000000,7.590000,6.089152,32500
2008-01-21,7.200000,7.600000,7.000000,7.200000,5.776270,53300
2008-01-22,7.500000,7.500000,6.820000,6.970000,5.591751,370400
2008-01-23,6.880000,7.140000,6.880000,7.140000,5.728134,281400
2008-01-24,7.470000,7.470000,7.010000,7.240000,5.808360,78700
2008-01-28,7.400000,7.400000,7.020000,7.280000,5.840452,9600
2008-01-29,7.350000,7.350000,7.060000,7.270000,5.832428,141600
2008-01-30,7.250000,7.270000,7.100000,7.240000,5.808360,57500
2008-01-31,7.340000,7.340000,7.010000,7.250000,5.816384,115600
2008-02-01,7.150000,7.250000,7.060000,7.150000,5.736158,41000
2008-02-06,7.140000,7.240000,7.140000,7.180000,5.760225,2500
2008-02-07,7.180000,7.200000,7.060000,7.110000,5.704067,89300
2008-02-08,7.150000,7.370000,7.090000,7.090000,5.688022,45700
2008-02-11,7.110000,7.200000,7.110000,7.200000,5.776270,21000
2008-02-12,7.250000,7.390000,7.250000,7.320000,5.872541,34900
2008-02-13,7.490000,7.790000,7.360000,7.650000,6.137287,81400
2008-02-14,7.800000,8.010000,7.760000,7.830000,6.281693,100800
2008-02-15,7.920000,7.950000,7.760000,7.950000,6.377965,18800
2008-02-18,8.050000,8.180000,8.050000,8.170000,6.554462,30600
2008-02-19,8.390000,8.390000,8.110000,8.110000,6.506326,31300
2008-02-20,8.120000,8.300000,8.100000,8.300000,6.658756,1400
2008-02-21,8.380000,8.380000,7.930000,8.000000,6.418077,32600
2008-02-22,8.140000,8.190000,8.100000,8.100000,6.498304,10800
2008-02-25,8.000000,8.010000,7.800000,7.920000,6.353897,15400
2008-02-26,8.130000,8.160000,8.000000,8.100000,6.498304,9300
2008-02-27,8.100000,8.280000,8.100000,8.250000,6.618643,13500
2008-02-28,8.100000,8.260000,8.070000,8.260000,6.626666,12700
2008-02-29,8.180000,8.220000,8.110000,8.110000,6.506326,35100
2008-03-03,8.110000,8.150000,8.110000,8.110000,6.506326,5000
2008-03-04,8.160000,8.200000,8.150000,8.150000,6.538416,27000
2008-03-05,8.120000,8.590000,8.110000,8.590000,6.891412,13800
2008-03-06,8.590000,8.800000,8.140000,8.260000,6.626666,76900
2008-03-07,8.130000,8.200000,8.120000,8.150000,6.538416,15600
2008-03-10,8.170000,8.170000,7.850000,8.000000,6.418077,79200
2008-03-11,8.100000,8.150000,7.900000,8.000000,6.418077,49600
2008-03-12,8.040000,8.040000,8.040000,8.040000,6.450169,2000
2008-03-13,7.900000,7.900000,7.900000,7.900000,6.337852,700
2008-03-14,7.910000,7.980000,7.890000,7.890000,6.329830,12000
2008-03-17,7.700000,7.700000,7.500000,7.500000,6.016948,41700
2008-03-18,7.690000,7.690000,7.400000,7.520000,6.032993,124500
2008-03-19,7.700000,7.700000,7.260000,7.270000,5.832428,59300
2008-03-20,7.270000,7.350000,7.200000,7.300000,5.856497,5200
2008-03-24,7.030000,7.370000,7.030000,7.370000,5.912654,79000
2008-03-25,7.300000,7.440000,7.210000,7.220000,5.792315,21700
