Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,11400.000000,11520.000000,11400.000000,11520.000000,9114.388672,0
2007-01-03,12300.000000,12300.000000,12300.000000,12300.000000,9731.505859,0
2007-01-04,12300.000000,12300.000000,12300.000000,12300.000000,9731.505859,0
2007-01-05,null,null,null,null,null,null
2007-01-08,null,null,null,null,null,null
2007-01-09,null,null,null,null,null,null
2007-01-10,null,null,null,null,null,null
2007-01-11,null,null,null,null,null,null
2007-01-12,null,null,null,null,null,null
2007-01-15,null,null,null,null,null,null
2007-01-16,11325.000000,11325.000000,10819.500000,10819.500000,8560.168945,0
2007-01-17,null,null,null,null,null,null
2007-01-18,null,null,null,null,null,null
2007-01-19,null,null,null,null,null,null
2007-01-22,null,null,null,null,null,null
2007-01-23,null,null,null,null,null,null
2007-01-24,null,null,null,null,null,null
2007-01-26,13501.500000,14550.000000,13501.500000,14250.000000,11274.309570,2
2007-01-29,null,null,null,null,null,null
2007-01-30,14250.000000,16350.000000,14250.000000,16350.000000,12935.788086,1
2007-01-31,null,null,null,null,null,null
2007-02-01,null,null,null,null,null,null
2007-02-02,null,null,null,null,null,null
2007-02-05,null,null,null,null,null,null
2007-02-06,null,null,null,null,null,null
2007-02-07,null,null,null,null,null,null
2007-02-08,null,null,null,null,null,null
2007-02-09,null,null,null,null,null,null
2007-02-12,null,null,null,null,null,null
2007-02-13,null,null,null,null,null,null
2007-02-14,null,null,null,null,null,null
2007-02-15,null,null,null,null,null,null
2007-02-16,null,null,null,null,null,null
2007-02-21,null,null,null,null,null,null
2007-02-22,14248.500000,14250.000000,14248.500000,14250.000000,11274.309570,3
2007-02-23,null,null,null,null,null,null
2007-02-26,null,null,null,null,null,null
2007-02-27,null,null,null,null,null,null
2007-02-28,null,null,null,null,null,null
2007-03-01,null,null,null,null,null,null
2007-03-02,13500.000000,13500.000000,13500.000000,13500.000000,10680.925781,2
2007-03-05,null,null,null,null,null,null
2007-03-06,13500.000000,13500.000000,13500.000000,13500.000000,10680.925781,2
2007-03-07,null,null,null,null,null,null
2007-03-08,null,null,null,null,null,null
2007-03-09,13650.000000,13650.000000,13350.000000,13650.000000,10799.601563,2
2007-03-12,null,null,null,null,null,null
2007-03-13,null,null,null,null,null,null
2007-03-14,13800.000000,13800.000000,13800.000000,13800.000000,10918.280273,1
2007-03-15,13800.000000,13800.000000,13800.000000,13800.000000,10918.280273,1
2007-03-16,13800.000000,13800.000000,13800.000000,13800.000000,10918.280273,1
2007-03-19,null,null,null,null,null,null
2007-03-20,13950.000000,13950.000000,13950.000000,13950.000000,11036.955078,0
2007-03-21,null,null,null,null,null,null
2007-03-22,null,null,null,null,null,null
2007-03-23,null,null,null,null,null,null
2007-03-26,null,null,null,null,null,null
2007-03-27,13912.500000,13950.000000,13912.500000,13950.000000,11036.955078,1
2007-03-28,13912.500000,13950.000000,13912.500000,13950.000000,11036.955078,1
2007-03-29,14250.000000,14250.000000,14250.000000,14250.000000,11274.309570,0
2007-03-30,14250.000000,14250.000000,14250.000000,14250.000000,11274.309570,0
2007-04-02,null,null,null,null,null,null
2007-04-03,14250.000000,14250.000000,14250.000000,14250.000000,11274.309570,0
2007-04-04,13500.000000,13500.000000,13500.000000,13500.000000,10680.925781,0
2007-04-05,13500.000000,13500.000000,13500.000000,13500.000000,10680.925781,0
2007-04-09,null,null,null,null,null,null
2007-04-10,13800.000000,13800.000000,13800.000000,13800.000000,10918.280273,0
2007-04-11,null,null,null,null,null,null
2007-04-12,null,null,null,null,null,null
2007-04-13,13275.000000,13275.000000,13275.000000,13275.000000,10502.910156,0
2007-04-16,13500.000000,13500.000000,13500.000000,13500.000000,10680.925781,2
2007-04-17,null,null,null,null,null,null
2007-04-18,null,null,null,null,null,null
2007-04-19,null,null,null,null,null,null
2007-04-20,null,null,null,null,null,null
2007-04-23,20250.000000,20250.000000,17250.000000,18000.000000,14241.234375,2
2007-04-24,18750.000000,18750.000000,18000.000000,18000.000000,14241.234375,1
2007-04-25,16725.000000,16725.000000,15000.000000,15000.000000,11867.695313,0
2007-04-26,16725.000000,16725.000000,15000.000000,15000.000000,11867.695313,0
2007-04-27,18750.000000,19500.000000,18600.000000,18600.000000,14715.942383,0
2007-04-30,19650.000000,21150.000000,19500.000000,20850.000000,16496.093750,2
2007-05-02,null,null,null,null,null,null
2007-05-03,20850.000000,20850.000000,19500.000000,20025.000000,15843.376953,3
2007-05-04,20250.000000,21000.000000,19500.000000,20250.000000,16021.388672,8
2007-05-07,null,null,null,null,null,null
2007-05-08,null,null,null,null,null,null
2007-05-09,20250.000000,20250.000000,20250.000000,20250.000000,16021.388672,0
2007-05-10,19350.000000,19350.000000,19350.000000,19350.000000,15309.326172,0
2007-05-11,19500.000000,19500.000000,18750.000000,19500.000000,15428.004883,7
2007-05-14,19498.500000,19498.500000,19498.500000,19498.500000,15426.816406,0
2007-05-15,18150.000000,18150.000000,18150.000000,18150.000000,14359.912109,0
2007-05-16,18750.000000,19125.000000,18750.000000,19125.000000,15131.309570,0
2007-05-17,19185.000000,19500.000000,19125.000000,19125.000000,15131.309570,1
2007-05-18,19500.000000,27900.000000,19500.000000,27900.000000,22073.910156,8
2007-05-21,27750.000000,36900.000000,27750.000000,31500.000000,24922.160156,5
2007-05-22,31350.000000,31350.000000,28501.500000,29250.000000,23142.003906,1
2007-05-23,27900.000000,31650.000000,27900.000000,31650.000000,25040.837891,1
2007-05-24,29998.500000,31500.000000,29998.500000,30000.000000,23735.390625,2
2007-05-25,31501.500000,31501.500000,30000.000000,30000.000000,23735.390625,0
2007-05-28,30000.000000,30001.500000,30000.000000,30001.500000,23736.574219,0
2007-05-29,29250.000000,29250.000000,28500.000000,29250.000000,23142.003906,0
2007-05-30,30898.500000,30898.500000,30898.500000,30898.500000,24446.259766,0
2007-05-31,null,null,null,null,null,null
2007-06-01,null,null,null,null,null,null
2007-06-04,30720.000000,31050.000000,30720.000000,31050.000000,24566.128906,1
2007-06-05,30750.000000,30750.000000,30750.000000,30750.000000,24328.775391,0
2007-06-06,null,null,null,null,null,null
2007-06-08,null,null,null,null,null,null
2007-06-11,null,null,null,null,null,null
2007-06-12,30750.000000,30750.000000,28498.500000,28498.500000,22547.431641,0
2007-06-13,30000.000000,30000.000000,29250.000000,29250.000000,23142.003906,0
2007-06-14,30000.000000,30000.000000,29250.000000,29250.000000,23142.003906,0
2007-06-15,null,null,null,null,null,null
2007-06-18,30000.000000,30000.000000,30000.000000,30000.000000,23735.390625,0
2007-06-19,null,null,null,null,null,null
2007-06-20,30000.000000,31500.000000,30000.000000,31500.000000,24922.160156,2
2007-06-21,30000.000000,31500.000000,30000.000000,31500.000000,24922.160156,2
2007-06-22,30000.000000,31500.000000,30000.000000,31500.000000,24922.160156,2
2007-06-25,26251.500000,26251.500000,25800.000000,25800.000000,20412.433594,0
2007-06-26,25950.000000,25950.000000,25800.000000,25800.000000,20412.433594,0
2007-06-27,26250.000000,26250.000000,25950.000000,25950.000000,20531.115234,1
2007-06-28,null,null,null,null,null,null
2007-06-29,26250.000000,26250.000000,25950.000000,25950.000000,20531.115234,1
2007-07-02,27000.000000,27000.000000,27000.000000,27000.000000,21361.851563,0
2007-07-03,27000.000000,27000.000000,24000.000000,24000.000000,18988.310547,1
2007-07-04,24748.500000,24748.500000,24748.500000,24748.500000,19580.507813,0
2007-07-05,24750.000000,24750.000000,24750.000000,24750.000000,19581.693359,0
2007-07-06,24750.000000,24750.000000,24750.000000,24750.000000,19581.693359,0
2007-07-10,null,null,null,null,null,null
2007-07-11,null,null,null,null,null,null
2007-07-12,null,null,null,null,null,null
2007-07-13,null,null,null,null,null,null
2007-07-16,null,null,null,null,null,null
2007-07-17,null,null,null,null,null,null
2007-07-18,null,null,null,null,null,null
2007-07-19,null,null,null,null,null,null
2007-07-20,null,null,null,null,null,null
2007-07-23,25500.000000,26250.000000,25500.000000,26250.000000,20768.464844,0
