Date,Open,High,Low,Close,Adj Close,Volume
2012-05-25,73.000000,90.000000,71.599998,85.099998,85.099998,850130
2012-05-28,85.300003,93.400002,81.500000,82.000000,82.000000,141690
2012-05-29,83.900002,84.000000,75.800003,75.800003,75.800003,174760
2012-05-30,76.300003,77.800003,68.000000,70.000000,70.000000,155440
2012-05-31,70.000000,73.000000,59.400002,59.400002,59.400002,344260
2012-06-01,58.900002,58.900002,49.500000,49.500000,49.500000,275200
2012-06-04,49.500000,55.799999,46.299999,54.000000,54.000000,417860
2012-06-05,54.500000,59.000000,52.900002,53.799999,53.799999,108470
2012-06-06,54.500000,57.000000,51.500000,54.000000,54.000000,227960
2012-06-08,54.000000,59.099998,53.500000,58.000000,58.000000,56400
2012-06-11,59.500000,61.900002,55.900002,56.099998,56.099998,44250
2012-06-12,57.000000,57.900002,54.700001,56.500000,56.500000,17170
2012-06-13,57.900002,60.000000,56.500000,57.200001,57.200001,66220
2012-06-14,58.099998,58.099998,55.500000,57.500000,57.500000,33690
2012-06-15,58.000000,58.200001,54.599998,56.099998,56.099998,37450
2012-06-18,56.000000,56.400002,53.000000,53.400002,53.400002,17360
2012-06-19,53.500000,53.500000,50.500000,50.500000,50.500000,60080
2012-06-20,50.799999,51.599998,47.500000,48.099998,48.099998,39860
2012-06-21,47.799999,49.500000,45.500000,48.500000,48.500000,36280
2012-06-22,49.000000,51.000000,48.000000,49.700001,49.700001,38400
2012-06-25,48.200001,49.500000,48.200001,48.500000,48.500000,19520
2012-06-26,48.500000,49.400002,46.400002,48.500000,48.500000,59930
2012-06-27,47.500000,47.900002,44.500000,46.599998,46.599998,120280
2012-06-28,46.299999,46.700001,42.200001,42.500000,42.500000,33010
2012-06-29,44.000000,45.900002,41.200001,45.000000,45.000000,50920
2012-07-02,45.000000,45.000000,43.500000,43.500000,43.500000,9380
2012-07-03,42.599998,44.400002,41.400002,42.500000,42.500000,48060
2012-07-04,42.799999,43.500000,42.000000,42.900002,42.900002,27860
2012-07-05,43.700001,43.900002,41.500000,43.000000,43.000000,40900
2012-07-06,43.000000,43.000000,41.500000,41.799999,41.799999,10940
2012-07-10,41.799999,43.000000,39.299999,40.000000,40.000000,34370
2012-07-11,40.000000,40.299999,39.299999,39.799999,39.799999,2800
2012-07-12,39.799999,39.799999,37.299999,37.299999,37.299999,10290
2012-07-13,37.599998,39.700001,37.599998,38.799999,38.799999,15280
2012-07-16,38.500000,39.400002,38.099998,39.299999,39.299999,17170
2012-07-17,39.700001,41.000000,38.299999,39.900002,39.900002,84550
2012-07-18,40.900002,41.299999,38.599998,39.799999,39.799999,32440
2012-07-19,40.799999,40.900002,39.599998,40.000000,40.000000,59310
2012-07-20,39.799999,42.700001,37.299999,42.700001,42.700001,71200
2012-07-23,42.700001,48.000000,42.500000,47.500000,47.500000,255850
2012-07-24,47.599998,49.500000,45.000000,45.000000,45.000000,108880
2012-07-25,43.900002,46.000000,40.500000,44.900002,44.900002,127360
2012-07-26,45.200001,49.200001,44.799999,47.700001,47.700001,50810
2012-07-27,48.000000,51.200001,47.900002,51.000000,51.000000,81420
2012-07-30,50.299999,50.700001,47.099998,47.099998,47.099998,41150
2012-07-31,46.799999,46.900002,42.200001,42.200001,42.200001,69120
2012-08-01,43.000000,45.400002,42.099998,43.599998,43.599998,77280
2012-08-02,44.700001,45.200001,43.599998,44.299999,44.299999,14440
2012-08-03,44.799999,46.799999,43.200001,43.200001,43.200001,81000
2012-08-06,43.500000,44.700001,42.900002,42.900002,42.900002,55750
2012-08-07,43.099998,43.599998,41.799999,43.000000,43.000000,23270
2012-08-08,42.099998,43.900002,42.099998,43.200001,43.200001,10950
2012-08-09,42.799999,43.400002,42.500000,43.099998,43.099998,7930
2012-08-10,42.799999,43.400002,42.500000,43.099998,43.099998,7930
2012-08-13,44.900002,44.900002,42.700001,42.700001,42.700001,12920
2012-08-14,43.400002,40.799999,39.400002,39.400002,39.400002,40030
2012-08-15,39.400002,40.000000,37.599998,37.599998,37.599998,40250
2012-08-16,37.599998,39.000000,37.500000,38.700001,38.700001,86180
2012-08-17,38.299999,38.299999,36.299999,37.000000,37.000000,58230
2012-08-20,36.500000,38.099998,36.200001,36.799999,36.799999,27840
2012-08-21,37.900002,37.900002,36.200001,37.000000,37.000000,56080
2012-08-22,37.200001,37.599998,36.000000,36.299999,36.299999,52390
2012-08-23,36.599998,36.900002,34.500000,35.500000,35.500000,82360
2012-08-24,35.400002,37.500000,35.000000,37.500000,37.500000,16730
2012-08-27,37.400002,38.000000,36.000000,36.000000,36.000000,21080
2012-08-28,36.400002,37.299999,36.200001,37.000000,37.000000,19680
2012-08-29,36.500000,36.500000,33.799999,34.799999,34.799999,66540
2012-08-30,35.000000,35.799999,33.299999,34.400002,34.400002,91680
2012-08-31,35.000000,35.500000,34.200001,34.500000,34.500000,95610
2012-09-03,34.500000,35.500000,33.700001,34.799999,34.799999,25760
2012-09-04,34.799999,34.799999,32.799999,32.799999,32.799999,41180
2012-09-05,33.000000,35.500000,31.700001,33.700001,33.700001,123560
2012-09-06,34.400002,35.400002,33.400002,35.200001,35.200001,46030
2012-09-10,35.200001,36.500000,33.200001,34.200001,34.200001,70320
2012-09-11,34.200001,35.400002,33.799999,35.000000,35.000000,27770
2012-09-12,35.400002,35.400002,33.500000,34.299999,34.299999,29150
2012-09-13,33.700001,34.000000,32.299999,32.700001,32.700001,58410
2012-09-14,33.099998,34.900002,32.799999,34.400002,34.400002,34960
2012-09-17,33.500000,34.900002,33.500000,33.599998,33.599998,5660
2012-09-18,33.900002,34.000000,33.500000,33.900002,33.900002,12200
2012-09-19,34.299999,34.900002,34.000000,34.000000,34.000000,35280
2012-09-20,34.400002,34.099998,33.299999,33.900002,33.900002,5780
2012-09-21,33.900002,34.200001,33.700001,33.900002,33.900002,11200
2012-09-24,33.500000,33.700001,32.799999,33.099998,33.099998,12300
2012-09-25,33.099998,33.299999,32.099998,32.099998,32.099998,24260
2012-09-26,32.500000,32.500000,31.900000,32.299999,32.299999,38770
2012-09-27,32.099998,32.400002,31.600000,32.000000,32.000000,17530
2012-09-28,31.500000,31.700001,30.700001,30.799999,30.799999,23320
2012-10-01,30.600000,31.000000,29.200001,29.200001,29.200001,30400
2012-10-02,29.299999,29.500000,28.100000,28.200001,28.200001,23010
2012-10-03,28.900000,28.900000,26.500000,26.799999,26.799999,57020
2012-10-04,27.000000,27.000000,25.400000,25.500000,25.500000,69860
2012-10-05,26.299999,26.299999,24.100000,24.600000,24.600000,67670
2012-10-08,24.700001,25.000000,23.799999,24.700001,24.700001,28190
2012-10-09,24.900000,24.900000,23.900000,24.500000,24.500000,26180
2012-10-10,24.500000,24.600000,24.200001,24.500000,24.500000,23700
2012-10-11,24.500000,28.000000,24.500000,26.799999,26.799999,64940
2012-10-15,26.799999,27.400000,25.600000,25.799999,25.799999,36860
2012-10-16,25.799999,26.000000,24.799999,25.299999,25.299999,52990
2012-10-17,25.299999,25.700001,25.000000,25.400000,25.400000,33740
2012-10-18,26.100000,26.100000,24.299999,24.299999,24.299999,31940
2012-10-19,24.299999,24.700001,23.500000,23.600000,23.600000,29080
2012-10-22,24.000000,24.799999,23.400000,24.299999,24.299999,38380
2012-10-23,24.100000,24.200001,23.500000,24.000000,24.000000,21120
2012-10-24,24.100000,24.200001,23.000000,23.400000,23.400000,30130
2012-10-25,23.900000,24.400000,23.400000,24.000000,24.000000,13640
2012-10-26,24.000000,24.000000,22.200001,23.200001,23.200001,55200
2012-10-29,22.900000,22.900000,21.500000,22.100000,22.100000,64720
2012-10-30,22.500000,22.500000,21.700001,21.799999,21.799999,56270
2012-10-31,22.200001,22.500000,21.500000,22.000000,22.000000,41910
2012-11-01,21.700001,23.600000,21.700001,23.600000,23.600000,26130
2012-11-05,23.600000,23.600000,22.100000,22.100000,22.100000,46330
2012-11-06,22.100000,23.700001,22.000000,23.299999,23.299999,71870
2012-11-07,23.000000,24.200001,22.299999,22.799999,22.799999,29820
2012-11-08,22.500000,23.400000,22.400000,22.400000,22.400000,12310
2012-11-09,22.400000,23.400000,22.100000,22.799999,22.799999,18080
2012-11-12,22.600000,23.400000,22.299999,22.500000,22.500000,15030
2012-11-13,22.600000,22.600000,21.900000,22.000000,22.000000,36780
2012-11-14,21.900000,22.200001,21.500000,21.600000,21.600000,15960
2012-11-16,21.900000,22.200001,20.200001,20.799999,20.799999,37470
2012-11-19,21.000000,21.000000,20.299999,20.500000,20.500000,10900
2012-11-21,20.500000,20.799999,19.600000,19.700001,19.700001,52720
2012-11-22,19.600000,20.000000,18.700001,18.700001,18.700001,37000
2012-11-23,18.600000,19.400000,18.299999,19.000000,19.000000,16920
2012-11-26,19.200001,19.500000,18.700001,19.500000,19.500000,24510
2012-11-27,19.700001,21.000000,19.500000,20.400000,20.400000,30610
2012-11-28,20.700001,21.299999,20.200001,20.799999,20.799999,26960
2012-11-29,21.400000,22.000000,21.100000,21.400000,21.400000,22730
2012-11-30,21.700001,22.700001,21.299999,21.500000,21.500000,21780
2012-12-03,22.100000,22.900000,21.799999,22.500000,22.500000,35320
2012-12-04,22.000000,22.700001,22.000000,22.100000,22.100000,19550
2012-12-05,22.600000,22.799999,22.000000,22.200001,22.200001,14320
2012-12-06,22.400000,23.600000,21.799999,23.100000,23.100000,20170
2012-12-07,23.600000,24.400000,23.000000,24.299999,24.299999,34820
2012-12-10,25.000000,25.700001,24.500000,25.000000,25.000000,22660
2012-12-11,24.799999,25.700001,24.799999,25.500000,25.500000,21160
2012-12-12,25.799999,25.799999,24.400000,25.400000,25.400000,31230
2012-12-13,25.400000,25.799999,25.000000,25.100000,25.100000,15990
2012-12-14,25.000000,25.400000,24.700001,24.799999,24.799999,15990
2012-12-17,24.799999,24.799999,23.400000,23.400000,23.400000,35440
2012-12-18,22.900000,23.400000,21.600000,21.900000,21.900000,57840
2012-12-19,21.700001,21.900000,20.900000,21.100000,21.100000,49290
2012-12-20,21.299999,22.299999,21.100000,21.400000,21.400000,37550
2012-12-21,21.500000,21.500000,20.700001,20.700001,20.700001,30420
2012-12-26,20.700001,20.700001,20.400000,20.500000,20.500000,16180
2012-12-27,20.500000,20.700001,20.299999,20.600000,20.600000,9750
2012-12-28,20.600000,21.200001,20.400000,20.500000,20.500000,26430
2013-01-02,20.500000,22.000000,20.500000,21.600000,21.600000,41200
2013-01-03,21.700001,22.799999,21.700001,22.400000,22.400000,34350
2013-01-04,22.400000,23.000000,21.700001,22.100000,22.100000,26360
2013-01-07,22.100000,22.299999,21.100000,21.299999,21.299999,19590
2013-01-08,21.500000,21.500000,20.400000,20.600000,20.600000,30100
2013-01-09,20.900000,21.000000,20.100000,20.799999,20.799999,22400
2013-01-10,20.799999,20.799999,20.500000,20.600000,20.600000,10200
2013-01-11,20.500000,21.000000,20.100000,20.200001,20.200001,56110
2013-01-14,20.400000,20.400000,19.799999,20.100000,20.100000,49610
2013-01-15,20.400000,20.400000,19.100000,19.100000,19.100000,97230
2013-01-16,19.200001,19.299999,18.700001,19.000000,19.000000,20080
2013-01-17,19.400000,20.299999,19.200001,20.000000,20.000000,115490
2013-01-18,20.500000,22.000000,20.400000,21.600000,21.600000,188090
2013-01-21,22.200001,32.000000,22.200001,31.299999,31.299999,541900
2013-01-22,39.500000,39.799999,38.000000,38.000000,38.000000,927600
2013-01-23,37.700001,38.299999,36.599998,37.500000,37.500000,599500
2013-01-24,37.200001,37.900002,36.200001,37.299999,37.299999,109840
2013-01-28,37.299999,38.400002,37.200001,37.799999,37.799999,49930
2013-01-29,37.500000,38.400002,37.500000,38.400002,38.400002,49000
2013-01-30,37.900002,38.700001,37.599998,37.900002,37.900002,60100
2013-01-31,37.700001,38.200001,35.299999,37.400002,37.400002,92410
2013-02-01,37.000000,37.799999,36.500000,37.400002,37.400002,119200
2013-02-04,36.799999,37.000000,36.299999,36.900002,36.900002,41040
2013-02-05,36.599998,36.799999,36.000000,36.099998,36.099998,38540
2013-02-06,35.500000,36.000000,34.000000,35.500000,35.500000,134120
2013-02-07,35.099998,36.500000,35.099998,36.299999,36.299999,15110
2013-02-08,36.599998,37.299999,36.500000,36.799999,36.799999,35390
2013-02-13,36.799999,37.099998,36.500000,36.700001,36.700001,2130
2013-02-14,36.900002,37.299999,36.000000,36.500000,36.500000,26370
2013-02-15,36.500000,36.599998,35.900002,36.000000,36.000000,75910
2013-02-18,36.099998,36.700001,35.599998,36.500000,36.500000,15880
2013-02-19,36.000000,36.900002,35.799999,36.700001,36.700001,43860
2013-02-20,36.700001,36.900002,36.000000,36.099998,36.099998,68930
2013-02-21,36.000000,36.700001,35.900002,36.000000,36.000000,54770
2013-02-22,36.599998,36.900002,35.700001,36.500000,36.500000,69590
2013-02-25,39.000000,39.799999,39.000000,39.200001,39.200001,134400
2013-02-26,39.400002,40.799999,39.400002,40.099998,40.099998,2148970
2013-02-27,40.299999,40.299999,39.099998,39.799999,39.799999,580120
