Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,25.400000,25.400000,25.400000,25.400000,25.400000,6200
2017-06-01,25.400000,25.400000,25.400000,25.400000,25.400000,0
2017-06-02,25.400000,25.400000,25.400000,25.400000,25.400000,0
2017-06-05,25.400000,25.400000,25.400000,25.400000,25.400000,0
2017-06-06,25.400000,25.400000,25.400000,25.400000,25.400000,0
2017-06-07,25.400000,25.400000,25.400000,25.400000,25.400000,0
2017-06-08,25.400000,25.400000,25.400000,25.400000,25.400000,0
2017-06-09,25.400000,25.400000,25.400000,25.400000,25.400000,0
2017-06-12,25.400000,25.400000,25.400000,25.400000,25.400000,0
2017-06-13,25.400000,25.400000,25.400000,25.400000,25.400000,0
2017-06-14,25.400000,25.400000,25.400000,25.400000,25.400000,0
2017-06-15,25.400000,25.400000,25.400000,25.400000,25.400000,0
2017-06-16,25.400000,25.400000,25.400000,25.400000,25.400000,0
2017-06-19,null,null,null,null,null,null
2017-06-20,null,null,null,null,null,null
2017-06-21,null,null,null,null,null,null
2017-06-22,null,null,null,null,null,null
2017-06-23,null,null,null,null,null,null
2017-06-26,null,null,null,null,null,null
2017-06-27,null,null,null,null,null,null
2017-06-28,null,null,null,null,null,null
2017-06-29,null,null,null,null,null,null
2017-06-30,null,null,null,null,null,null
2017-07-03,null,null,null,null,null,null
2017-07-04,null,null,null,null,null,null
2017-07-05,null,null,null,null,null,null
2017-07-06,null,null,null,null,null,null
2017-07-07,null,null,null,null,null,null
2017-07-10,null,null,null,null,null,null
2017-07-11,null,null,null,null,null,null
2017-07-12,null,null,null,null,null,null
2017-07-13,25.000000,25.000000,25.000000,25.000000,25.000000,100
2017-07-14,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-07-17,25.000000,25.000000,25.000000,25.000000,25.000000,100
2017-07-18,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-07-19,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-07-20,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-07-21,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-07-24,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-07-25,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-07-26,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-07-27,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-07-28,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-07-31,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-08-01,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-08-02,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-08-03,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-08-04,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-08-07,25.000000,25.000000,25.000000,25.000000,25.000000,0
2017-08-08,25.000000,25.000000,25.000000,25.000000,25.000000,0
