Date,Open,High,Low,Close,Adj Close,Volume
2013-09-06,139.764999,139.985001,139.764999,141.324997,136.523514,2400
2013-09-09,null,null,null,null,null,null
2013-09-10,139.559998,139.559998,139.559998,141.520004,136.711884,1800
2013-09-11,null,null,null,null,null,null
2013-09-12,null,null,null,null,null,null
2013-09-13,null,null,null,null,null,null
2013-09-16,null,null,null,null,null,null
2013-09-17,null,null,null,null,null,null
2013-09-18,null,null,null,null,null,null
2013-09-19,null,null,null,null,null,null
2013-09-20,null,null,null,null,null,null
2013-09-23,null,null,null,null,null,null
2013-09-24,null,null,null,null,null,null
2013-09-25,null,null,null,null,null,null
2013-09-26,null,null,null,null,null,null
2013-09-27,null,null,null,null,null,null
2013-09-30,null,null,null,null,null,null
2013-10-01,null,null,null,null,null,null
2013-10-02,null,null,null,null,null,null
2013-10-03,null,null,null,null,null,null
2013-10-04,null,null,null,null,null,null
2013-10-07,null,null,null,null,null,null
2013-10-08,null,null,null,null,null,null
2013-10-09,null,null,null,null,null,null
2013-10-10,125.360001,125.360001,125.360001,127.849998,123.506317,3800
2013-10-11,null,null,null,null,null,null
2013-10-14,null,null,null,null,null,null
2013-10-15,null,null,null,null,null,null
2013-10-16,null,null,null,null,null,null
2013-10-17,null,null,null,null,null,null
2013-10-18,null,null,null,null,null,null
2013-10-21,null,null,null,null,null,null
2013-10-22,null,null,null,null,null,null
2013-10-23,null,null,null,null,null,null
2013-10-24,null,null,null,null,null,null
2013-10-25,132.505005,132.505005,132.505005,132.960007,128.442719,200
2013-10-28,null,null,null,null,null,null
2013-10-29,null,null,null,null,null,null
2013-10-30,null,null,null,null,null,null
2013-10-31,null,null,null,null,null,null
2013-11-01,null,null,null,null,null,null
2013-11-04,null,null,null,null,null,null
2013-11-05,134.000000,134.000000,134.000000,136.854996,132.205368,600
2013-11-06,null,null,null,null,null,null
2013-11-07,null,null,null,null,null,null
2013-11-08,null,null,null,null,null,null
2013-11-11,null,null,null,null,null,null
2013-11-12,null,null,null,null,null,null
2013-11-13,null,null,null,null,null,null
2013-11-14,null,null,null,null,null,null
2013-11-18,null,null,null,null,null,null
2013-11-19,null,null,null,null,null,null
