Date,Open,High,Low,Close,Adj Close,Volume
2011-07-25,99.800003,107.000000,99.800003,107.000000,98.748177,2600
2011-07-26,null,null,null,null,null,null
2011-07-27,null,null,null,null,null,null
2011-07-28,null,null,null,null,null,null
2011-07-29,null,null,null,null,null,null
2011-08-01,null,null,null,null,null,null
2011-08-02,null,null,null,null,null,null
2011-08-03,null,null,null,null,null,null
2011-08-04,null,null,null,null,null,null
2011-08-05,null,null,null,null,null,null
2011-08-08,null,null,null,null,null,null
2011-08-09,null,null,null,null,null,null
2011-08-10,null,null,null,null,null,null
2011-08-11,null,null,null,null,null,null
2011-08-12,null,null,null,null,null,null
2011-08-15,null,null,null,null,null,null
2011-08-16,null,null,null,null,null,null
2011-08-17,null,null,null,null,null,null
2011-08-18,null,null,null,null,null,null
2011-08-19,null,null,null,null,null,null
2011-08-22,null,null,null,null,null,null
2011-08-23,null,null,null,null,null,null
2011-08-24,null,null,null,null,null,null
2011-08-25,null,null,null,null,null,null
2011-08-26,null,null,null,null,null,null
2011-08-29,null,null,null,null,null,null
2011-08-30,null,null,null,null,null,null
2011-08-31,null,null,null,null,null,null
2011-09-01,null,null,null,null,null,null
2011-09-02,null,null,null,null,null,null
2011-09-05,null,null,null,null,null,null
2011-09-06,null,null,null,null,null,null
2011-09-08,null,null,null,null,null,null
2011-09-09,null,null,null,null,null,null
2011-09-12,null,null,null,null,null,null
2011-09-13,null,null,null,null,null,null
2011-09-14,null,null,null,null,null,null
2011-09-15,null,null,null,null,null,null
2011-09-16,null,null,null,null,null,null
2011-09-19,null,null,null,null,null,null
2011-09-20,null,null,null,null,null,null
2011-09-21,null,null,null,null,null,null
2011-09-22,null,null,null,null,null,null
2011-09-23,125.370003,125.370003,125.370003,125.370003,115.701492,200
2011-09-26,128.339996,128.339996,128.339996,128.339996,118.442436,200
2011-09-27,null,null,null,null,null,null
2011-09-28,null,null,null,null,null,null
2011-09-29,null,null,null,null,null,null
2011-09-30,null,null,null,null,null,null
2011-10-03,null,null,null,null,null,null
2011-10-04,null,null,null,null,null,null
2011-10-05,null,null,null,null,null,null
2011-10-06,null,null,null,null,null,null
2011-10-07,null,null,null,null,null,null
2011-10-10,null,null,null,null,null,null
2011-10-11,null,null,null,null,null,null
2011-10-13,null,null,null,null,null,null
2011-10-14,null,null,null,null,null,null
2011-10-17,null,null,null,null,null,null
2011-10-18,null,null,null,null,null,null
2011-10-19,null,null,null,null,null,null
2011-10-20,null,null,null,null,null,null
2011-10-21,null,null,null,null,null,null
2011-10-24,null,null,null,null,null,null
2011-10-25,null,null,null,null,null,null
2011-10-26,null,null,null,null,null,null
2011-10-27,null,null,null,null,null,null
2011-10-28,null,null,null,null,null,null
2011-10-31,null,null,null,null,null,null
2011-11-01,null,null,null,null,null,null
2011-11-03,120.320000,120.320000,120.320000,120.320000,111.040932,200
2011-11-04,null,null,null,null,null,null
2011-11-07,null,null,null,null,null,null
2011-11-08,null,null,null,null,null,null
2011-11-09,null,null,null,null,null,null
2011-11-10,null,null,null,null,null,null
2011-11-11,null,null,null,null,null,null
2011-11-14,null,null,null,null,null,null
2011-11-16,null,null,null,null,null,null
2011-11-17,120.320000,120.320000,120.320000,120.320000,111.040932,0
2011-11-18,120.320000,120.320000,120.320000,120.320000,111.040932,0
2011-11-21,120.320000,120.320000,120.320000,120.320000,111.040932,0
2011-11-22,120.320000,120.320000,120.320000,120.320000,111.040932,0
2011-11-23,120.320000,120.320000,120.320000,120.320000,111.040932,0
2011-11-24,120.320000,120.320000,120.320000,120.320000,111.040932,0
2011-11-25,120.320000,120.320000,120.320000,120.320000,111.040932,0
2011-11-28,120.320000,120.320000,120.320000,120.320000,111.040932,0
2011-11-29,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-11-30,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-01,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-02,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-05,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-06,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-07,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-08,null,null,null,null,null,null
2011-12-09,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-12,null,null,null,null,null,null
2011-12-13,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-14,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-15,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-16,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-19,null,null,null,null,null,null
2011-12-20,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-21,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-22,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-23,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-26,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-27,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-28,120.320000,120.320000,120.320000,120.320000,111.809509,0
2011-12-29,131.000000,131.149994,131.000000,131.149994,121.873482,1800
2012-01-02,131.149994,131.149994,131.149994,131.149994,121.873482,0
2012-01-03,134.250000,134.250000,129.800003,129.800003,120.618973,2900
2012-01-04,129.800003,129.800003,129.800003,129.800003,120.618973,0
2012-01-05,129.800003,129.800003,129.800003,129.800003,120.618973,0
2012-01-06,129.800003,129.800003,129.800003,129.800003,120.618973,0
2012-01-09,128.800003,128.800003,128.800003,128.800003,119.689697,100
2012-01-10,128.800003,128.800003,128.800003,128.800003,119.689697,0
2012-01-11,128.800003,128.800003,128.800003,128.800003,119.689697,0
2012-01-12,128.800003,128.800003,128.800003,128.800003,119.689697,0
2012-01-13,128.800003,128.800003,128.800003,128.800003,119.689697,0
