Date,Open,High,Low,Close,Adj Close,Volume
2015-09-10,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-09-11,null,null,null,null,null,null
2015-09-14,null,null,null,null,null,null
2015-09-15,null,null,null,null,null,null
2015-09-16,null,null,null,null,null,null
2015-09-17,null,null,null,null,null,null
2015-09-18,null,null,null,null,null,null
2015-09-21,null,null,null,null,null,null
2015-09-22,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-09-23,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-09-24,null,null,null,null,null,null
2015-09-25,null,null,null,null,null,null
2015-09-28,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-09-29,null,null,null,null,null,null
2015-09-30,null,null,null,null,null,null
2015-10-01,null,null,null,null,null,null
2015-10-02,null,null,null,null,null,null
2015-10-05,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-10-06,null,null,null,null,null,null
2015-10-07,null,null,null,null,null,null
2015-10-08,null,null,null,null,null,null
2015-10-09,null,null,null,null,null,null
2015-10-13,null,null,null,null,null,null
2015-10-14,null,null,null,null,null,null
2015-10-15,null,null,null,null,null,null
2015-10-16,null,null,null,null,null,null
2015-10-19,null,null,null,null,null,null
2015-10-20,null,null,null,null,null,null
2015-10-21,null,null,null,null,null,null
2015-10-22,null,null,null,null,null,null
2015-10-23,null,null,null,null,null,null
2015-10-26,null,null,null,null,null,null
2015-10-27,null,null,null,null,null,null
2015-10-28,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-10-29,null,null,null,null,null,null
2015-10-30,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-11-03,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-11-04,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-11-05,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-11-06,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-11-09,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-11-10,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-11-11,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-11-12,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-11-13,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-11-16,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-11-17,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-11-18,3.690000,3.690000,3.690000,3.690000,3.190402,0
2015-11-19,3.800000,3.800000,3.800000,3.800000,3.285508,1000
2015-11-23,3.800000,3.800000,3.800000,3.800000,3.285508,0
2015-11-24,null,null,null,null,null,null
2015-11-25,3.800000,3.800000,3.800000,3.800000,3.285508,0
2015-11-26,3.800000,3.800000,3.800000,3.800000,3.285508,0
2015-11-27,3.800000,3.800000,3.800000,3.800000,3.285508,0
2015-11-30,3.800000,3.800000,3.800000,3.800000,3.285508,0
2015-12-01,3.800000,3.800000,3.800000,3.800000,3.285508,0
2015-12-02,3.800000,3.800000,3.800000,3.800000,3.285508,0
2015-12-03,3.800000,3.800000,3.800000,3.800000,3.285508,0
2015-12-04,3.800000,3.800000,3.800000,3.800000,3.285508,0
2015-12-07,null,null,null,null,null,null
2015-12-08,null,null,null,null,null,null
2015-12-09,null,null,null,null,null,null
2015-12-10,null,null,null,null,null,null
2015-12-11,null,null,null,null,null,null
2015-12-14,null,null,null,null,null,null
2015-12-15,null,null,null,null,null,null
2015-12-16,null,null,null,null,null,null
2015-12-17,null,null,null,null,null,null
2015-12-18,null,null,null,null,null,null
2015-12-21,null,null,null,null,null,null
2015-12-22,null,null,null,null,null,null
2015-12-23,null,null,null,null,null,null
2015-12-28,3.780000,3.780000,3.780000,3.780000,3.268216,30000
2015-12-29,3.780000,3.780000,3.780000,3.780000,3.268216,0
2015-12-30,3.780000,3.780000,3.780000,3.780000,3.268216,0
2016-01-04,3.780000,3.780000,3.780000,3.780000,3.268216,0
2016-01-05,3.780000,3.780000,3.780000,3.780000,3.268216,0
2016-01-06,3.780000,3.780000,3.780000,3.780000,3.268216,0
2016-01-07,3.780000,3.780000,3.780000,3.780000,3.268216,0
2016-01-08,3.780000,3.780000,3.780000,3.780000,3.268216,0
2016-01-11,3.780000,3.780000,3.780000,3.780000,3.268216,0
2016-01-12,3.780000,3.780000,3.780000,3.780000,3.268216,0
2016-01-13,3.780000,3.780000,3.780000,3.780000,3.268216,0
2016-01-14,3.000000,3.000000,3.000000,3.000000,2.593822,1000
2016-01-15,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-01-18,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-01-19,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-01-20,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-01-21,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-01-22,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-01-26,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-01-27,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-01-28,null,null,null,null,null,null
2016-01-29,null,null,null,null,null,null
2016-02-01,null,null,null,null,null,null
2016-02-02,null,null,null,null,null,null
2016-02-03,null,null,null,null,null,null
2016-02-04,null,null,null,null,null,null
2016-02-05,null,null,null,null,null,null
2016-02-10,null,null,null,null,null,null
2016-02-11,null,null,null,null,null,null
2016-02-12,null,null,null,null,null,null
2016-02-15,null,null,null,null,null,null
2016-02-16,null,null,null,null,null,null
2016-02-17,null,null,null,null,null,null
2016-02-18,null,null,null,null,null,null
2016-02-19,null,null,null,null,null,null
2016-02-22,null,null,null,null,null,null
2016-02-23,null,null,null,null,null,null
2016-02-24,null,null,null,null,null,null
2016-02-25,null,null,null,null,null,null
2016-02-26,3.200000,3.200000,3.200000,3.200000,2.766744,100
2016-02-29,3.200000,3.200000,3.200000,3.200000,2.766744,0
2016-03-01,3.200000,3.200000,3.200000,3.200000,2.766744,0
2016-03-02,3.200000,3.200000,3.200000,3.200000,2.766744,0
2016-03-03,3.190000,3.400000,3.000000,3.000000,2.593822,1000
2016-03-04,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-03-07,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-03-08,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-03-09,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-03-10,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-03-11,3.000000,3.000000,3.000000,3.000000,2.593822,0
2016-03-14,2.800000,2.800000,2.400000,2.400000,2.075058,3900
2016-03-15,2.400000,2.400000,2.400000,2.400000,2.075058,0
2016-03-16,2.400000,2.400000,2.400000,2.400000,2.075058,0
2016-03-17,2.000000,2.000000,2.000000,2.000000,1.729215,4000
2016-03-18,1.700000,1.700000,1.600000,1.600000,1.383372,17000
2016-03-21,1.600000,1.600000,1.600000,1.600000,1.383372,127200
2016-03-22,1.770000,1.800000,1.700000,1.790000,1.547647,171300
2016-03-23,1.950000,2.200000,1.820000,1.950000,1.685985,117400
2016-03-24,1.500000,1.590000,1.490000,1.500000,1.296911,1674700
2016-03-28,1.500000,1.580000,1.500000,1.540000,1.331495,36600
2016-03-29,1.540000,1.550000,1.480000,1.500000,1.296911,15800
2016-03-30,1.450000,1.540000,1.410000,1.410000,1.219096,14700
2016-03-31,1.420000,1.490000,1.410000,1.490000,1.288265,11000
2016-04-01,1.420000,1.540000,1.420000,1.470000,1.270973,13600
2016-04-04,1.550000,1.590000,1.500000,1.500000,1.296911,6600
2016-04-05,1.490000,1.590000,1.450000,1.550000,1.340141,15400
2016-04-06,1.550000,1.550000,1.550000,1.550000,1.340141,0
2016-04-07,1.590000,1.590000,1.550000,1.550000,1.340141,5500
2016-04-08,1.540000,1.690000,1.540000,1.660000,1.435248,91800
2016-04-11,1.700000,1.900000,1.700000,1.850000,1.599524,18600
2016-04-12,1.930000,1.930000,1.880000,1.880000,1.625462,3000
2016-04-13,1.880000,1.930000,1.810000,1.900000,1.642754,14700
2016-04-14,1.880000,1.920000,1.880000,1.920000,1.660046,7700
2016-04-15,1.920000,1.920000,1.920000,1.920000,1.660046,0
2016-04-18,1.990000,2.130000,1.990000,2.130000,1.841614,6700
2016-04-19,2.170000,2.390000,2.110000,2.110000,1.824322,6200
2016-04-20,2.050000,2.050000,2.050000,2.050000,1.772445,2300
2016-04-22,2.050000,2.190000,2.050000,2.190000,1.893490,8000
2016-04-25,2.190000,2.190000,2.190000,2.190000,1.893490,0
2016-04-26,2.200000,2.200000,2.190000,2.200000,1.902136,800
2016-04-27,2.150000,2.150000,2.120000,2.120000,1.832968,2100
2016-04-28,2.200000,2.200000,2.060000,2.070000,1.789737,3000
2016-04-29,2.140000,2.200000,2.110000,2.110000,2.063577,7700
2016-05-02,2.110000,2.110000,2.110000,2.110000,2.063577,0
2016-05-03,2.110000,2.110000,2.110000,2.110000,2.063577,0
2016-05-04,2.110000,2.110000,2.110000,2.110000,2.063577,0
2016-05-05,2.110000,2.110000,2.110000,2.110000,2.063577,0
2016-05-06,2.050000,2.200000,2.050000,2.200000,2.151597,2400
2016-05-09,2.060000,2.060000,2.040000,2.040000,1.995117,2600
2016-05-10,2.040000,2.040000,2.040000,2.040000,1.995117,0
2016-05-11,2.100000,2.140000,2.050000,2.090000,2.044017,3200
2016-05-12,2.090000,2.090000,2.090000,2.090000,2.044017,0
2016-05-13,2.080000,2.250000,2.080000,2.250000,2.200497,2200
2016-05-16,2.390000,2.640000,2.390000,2.500000,2.444996,2700
2016-05-17,2.500000,2.500000,2.500000,2.500000,2.444996,0
2016-05-18,2.500000,2.500000,2.500000,2.500000,2.444996,0
2016-05-19,2.500000,2.500000,2.500000,2.500000,2.444996,0
2016-05-20,2.310000,2.310000,2.310000,2.310000,2.259176,100
2016-05-23,2.310000,2.310000,2.310000,2.310000,2.259176,0
2016-05-24,2.310000,2.310000,2.310000,2.310000,2.259176,0
2016-05-25,2.500000,2.590000,2.500000,2.590000,2.533016,3600
2016-05-27,2.590000,2.590000,2.590000,2.590000,2.533016,0
2016-05-30,2.590000,2.590000,2.590000,2.590000,2.533016,0
2016-05-31,2.590000,2.590000,2.590000,2.590000,2.533016,0
2016-06-01,2.590000,2.590000,2.590000,2.590000,2.533016,0
2016-06-02,2.360000,2.420000,2.300000,2.300000,2.249397,57500
2016-06-03,2.310000,2.310000,2.300000,2.300000,2.249397,1100
2016-06-06,2.340000,2.340000,2.340000,2.340000,2.288517,600
2016-06-07,2.350000,2.500000,2.350000,2.500000,2.444996,2700
2016-06-08,2.520000,2.570000,2.500000,2.570000,2.513456,12200
2016-06-09,2.500000,2.570000,2.500000,2.570000,2.513456,5100
2016-06-10,2.570000,2.570000,2.570000,2.570000,2.513456,0
2016-06-13,2.570000,2.570000,2.570000,2.570000,2.513456,0
2016-06-14,2.570000,2.570000,2.570000,2.570000,2.513456,0
2016-06-15,2.660000,2.700000,2.660000,2.700000,2.640596,1100
2016-06-16,2.700000,2.700000,2.700000,2.700000,2.640596,0
2016-06-17,2.700000,2.700000,2.700000,2.700000,2.640596,0
2016-06-20,2.700000,2.700000,2.700000,2.700000,2.640596,0
2016-06-21,2.650000,2.650000,2.650000,2.650000,2.591696,100
2016-06-22,2.650000,2.650000,2.650000,2.650000,2.591696,0
2016-06-23,2.650000,2.650000,2.650000,2.650000,2.591696,0
2016-06-24,2.650000,2.650000,2.650000,2.650000,2.591696,0
2016-06-27,2.650000,2.650000,2.650000,2.650000,2.591696,0
2016-06-28,null,null,null,null,null,null
2016-06-29,2.640000,2.640000,2.640000,2.640000,2.581916,0
2016-06-30,2.650000,2.650000,2.600000,2.600000,2.542796,1600
2016-07-01,2.690000,2.920000,2.690000,2.920000,2.855756,8800
2016-07-04,2.920000,2.920000,2.920000,2.920000,2.855756,0
2016-07-05,2.910000,3.340000,2.910000,2.950000,2.885096,4400
2016-07-06,2.970000,3.200000,2.970000,3.200000,3.129596,6200
2016-07-07,3.200000,3.200000,3.190000,3.190000,3.119815,1100
2016-07-08,3.190000,3.190000,3.190000,3.190000,3.119815,1100
2016-07-11,3.190000,3.200000,3.190000,3.200000,3.129596,1000
2016-07-12,3.200000,3.200000,3.200000,3.200000,3.129596,0
2016-07-13,3.200000,3.200000,3.200000,3.200000,3.129596,0
2016-07-14,3.190000,3.490000,3.190000,3.380000,3.305635,5000
2016-07-15,3.450000,3.500000,3.450000,3.500000,3.422995,2200
2016-07-18,3.500000,3.500000,3.500000,3.500000,3.422995,0
2016-07-19,3.300000,3.500000,3.010000,3.500000,3.422995,5600
2016-07-20,3.500000,4.200000,3.500000,4.000000,3.911994,5300
2016-07-21,4.000000,4.000000,4.000000,4.000000,3.911994,48300
2016-07-22,4.000000,4.000000,4.000000,4.000000,3.911994,0
2016-07-25,4.000000,4.000000,3.800000,4.000000,3.911994,1000
2016-07-26,4.000000,4.000000,4.000000,4.000000,3.911994,1000
2016-07-27,4.000000,4.000000,3.900000,4.000000,3.911994,1000
2016-07-28,4.100000,4.100000,4.100000,4.100000,4.009794,100
2016-07-29,4.190000,4.190000,4.000000,4.080000,3.990234,1100
2016-08-01,4.300000,4.400000,4.300000,4.400000,4.303194,300
2016-08-02,4.500000,4.980000,4.500000,4.980000,4.870433,1800
2016-08-03,5.000000,6.350000,5.000000,5.300000,5.183393,2500
2016-08-04,5.450000,5.990000,4.500000,4.500000,4.400993,8400
2016-08-05,4.500000,4.500000,4.500000,4.500000,4.400993,200
2016-08-08,4.500000,4.500000,4.500000,4.500000,4.400993,0
2016-08-09,4.700000,4.830000,4.400000,4.780000,4.674833,1400
2016-08-10,4.540000,4.540000,4.540000,4.540000,4.440114,2000
2016-08-11,4.450000,4.450000,4.300000,4.450000,4.352093,9600
2016-08-12,4.450000,4.600000,4.450000,4.450000,4.352093,17700
2016-08-15,4.700000,4.800000,4.600000,4.600000,4.498793,1200
2016-08-16,4.600000,4.600000,4.600000,4.600000,4.498793,1200
2016-08-17,4.500000,4.550000,4.500000,4.550000,4.449893,8500
2016-08-18,4.600000,5.500000,4.550000,4.600000,4.498793,2900
2016-08-19,4.600000,5.450000,4.600000,5.450000,5.330092,11000
2016-08-22,5.450000,5.500000,5.450000,5.500000,5.378992,200
2016-08-23,5.000000,5.290000,4.900000,5.200000,5.085592,1500
2016-08-24,5.300000,5.300000,5.190000,5.190000,5.075812,500
2016-08-25,5.190000,5.190000,5.190000,5.190000,5.075812,0
2016-08-26,5.190000,5.190000,5.190000,5.190000,5.075812,0
2016-08-29,5.150000,5.150000,5.150000,5.150000,5.036693,500
2016-08-30,5.150000,5.150000,5.150000,5.150000,5.036693,0
2016-08-31,5.150000,5.150000,5.150000,5.150000,5.036693,0
2016-09-01,5.140000,5.150000,5.140000,5.150000,5.036693,1300
2016-09-02,5.150000,5.150000,5.150000,5.150000,5.036693,1800
2016-09-05,5.190000,5.190000,5.160000,5.160000,5.046473,200
2016-09-06,5.160000,5.500000,5.160000,5.500000,5.378992,2500
2016-09-08,5.500000,6.000000,5.210000,5.490000,5.369212,12600
2016-09-09,5.490000,5.490000,5.490000,5.490000,5.369212,0
2016-09-12,6.400000,6.400000,6.400000,6.400000,6.259191,100
2016-09-13,6.400000,6.400000,6.400000,6.400000,6.259191,0
2016-09-14,6.400000,6.400000,6.400000,6.400000,6.259191,0
2016-09-15,6.100000,6.100000,6.100000,6.100000,5.965791,600
2016-09-16,5.990000,5.990000,5.990000,5.990000,5.858211,100
2016-09-19,5.990000,5.990000,5.990000,5.990000,5.858211,0
2016-09-20,5.310000,5.700000,5.300000,5.500000,5.378992,172400
2016-09-21,5.700000,6.400000,5.700000,6.400000,6.259191,400
2016-09-22,6.140000,6.200000,6.100000,6.180000,6.044031,1600
2016-09-23,6.040000,6.040000,5.400000,5.700000,5.574592,12700
2016-09-26,6.000000,6.000000,5.220000,5.220000,5.105152,2900
2016-09-27,5.090000,5.090000,5.040000,5.040000,4.929113,2100
2016-09-28,5.000000,5.000000,4.800000,4.970000,4.860652,3500
2016-09-29,4.970000,4.970000,4.970000,4.970000,4.860652,0
2016-09-30,5.090000,5.280000,5.090000,5.280000,5.163833,1100
2016-10-03,5.300000,5.300000,4.800000,4.800000,4.694393,3900
2016-10-04,4.850000,4.890000,4.800000,4.800000,4.694393,2100
2016-10-05,4.790000,4.790000,4.600000,4.700000,4.596593,2700
2016-10-06,4.700000,4.700000,4.700000,4.700000,4.596593,0
2016-10-07,4.490000,4.490000,4.400000,4.400000,4.303194,400
2016-10-10,4.400000,4.400000,4.400000,4.400000,4.303194,0
2016-10-11,4.500000,4.500000,4.400000,4.400000,4.303194,1200
2016-10-13,4.400000,5.480000,4.400000,5.480000,5.359432,2000
2016-10-14,4.990000,4.990000,4.990000,4.990000,4.880213,100
2016-10-17,4.500000,4.500000,4.490000,4.500000,4.400993,6000
2016-10-18,4.600000,4.600000,4.500000,4.500000,4.400993,1300
2016-10-19,4.500000,4.500000,4.400000,4.400000,4.303194,2600
2016-10-20,4.350000,4.350000,4.250000,4.250000,4.156494,6000
2016-10-21,4.300000,4.500000,4.300000,4.500000,4.400993,4100
2016-10-24,4.850000,5.370000,4.850000,5.200000,5.085592,2200
2016-10-25,5.000000,5.000000,4.990000,5.000000,4.889993,600
2016-10-26,5.000000,5.000000,5.000000,5.000000,4.889993,0
2016-10-27,5.000000,5.000000,5.000000,5.000000,4.889993,0
2016-10-28,5.000000,5.000000,5.000000,5.000000,4.889993,0
2016-10-31,5.100000,5.100000,5.000000,5.000000,4.889993,900
2016-11-01,4.900000,4.900000,4.900000,4.900000,4.792193,100
2016-11-03,4.900000,4.900000,4.900000,4.900000,4.792193,0
2016-11-04,5.000000,5.210000,5.000000,5.210000,5.095373,900
2016-11-07,5.000000,5.100000,5.000000,5.100000,4.987792,10300
2016-11-08,5.000000,5.000000,4.900000,5.000000,4.889993,500
2016-11-09,5.000000,5.000000,5.000000,5.000000,4.889993,500
2016-11-10,5.000000,5.000000,5.000000,5.000000,4.889993,1300
2016-11-11,5.000000,5.100000,5.000000,5.050000,4.938893,4100
2016-11-14,5.050000,5.050000,5.000000,5.000000,4.889993,12900
2016-11-16,5.000000,5.450000,5.000000,5.000000,4.889993,15900
2016-11-17,5.000000,5.000000,5.000000,5.000000,4.889993,0
2016-11-18,5.200000,5.300000,5.200000,5.300000,5.183393,200
2016-11-21,5.300000,5.300000,5.300000,5.300000,5.183393,0
2016-11-22,5.300000,5.300000,5.300000,5.300000,5.183393,0
2016-11-23,5.300000,5.300000,5.300000,5.300000,5.183393,0
2016-11-24,5.300000,5.300000,5.300000,5.300000,5.183393,0
2016-11-25,5.400000,5.400000,5.300000,5.300000,5.183393,400
2016-11-28,5.300000,5.300000,5.300000,5.300000,5.183393,0
2016-11-29,5.300000,5.390000,5.260000,5.390000,5.271412,1000
2016-11-30,5.400000,5.990000,5.400000,5.990000,5.858211,1000
2016-12-01,5.990000,5.990000,5.990000,5.990000,5.858211,0
2016-12-02,5.990000,5.990000,5.990000,5.990000,5.858211,0
2016-12-05,5.800000,5.800000,5.800000,5.800000,5.672392,100
2016-12-06,5.800000,5.800000,5.600000,5.700000,5.574592,1000
2016-12-07,5.500000,5.500000,5.500000,5.500000,5.378992,300
2016-12-08,5.700000,5.700000,5.500000,5.700000,5.574592,1900
2016-12-09,5.700000,5.700000,5.700000,5.700000,5.574592,0
2016-12-12,5.700000,5.700000,5.700000,5.700000,5.574592,0
2016-12-13,5.700000,5.700000,5.700000,5.700000,5.574592,0
2016-12-14,5.400000,5.400000,5.300000,5.300000,5.183393,500
2016-12-15,5.300000,5.300000,5.300000,5.300000,5.183393,0
2016-12-16,5.400000,5.600000,5.400000,5.600000,5.476792,1000
2016-12-19,5.600000,5.600000,5.600000,5.600000,5.476792,0
2016-12-20,5.600000,5.600000,5.600000,5.600000,5.476792,0
2016-12-21,5.700000,5.700000,5.700000,5.700000,5.574592,500
2016-12-22,5.600000,5.900000,5.600000,5.900000,5.770192,600
2016-12-23,5.890000,5.900000,5.890000,5.900000,5.770192,600
2016-12-26,5.800000,5.800000,5.800000,5.800000,5.672392,400
2016-12-27,5.860000,5.920000,5.700000,5.920000,5.789752,500
2016-12-28,5.920000,6.100000,5.920000,6.100000,5.965791,700
2016-12-29,6.100000,6.200000,6.100000,6.200000,6.063591,300
2017-01-02,6.200000,6.200000,5.850000,5.850000,5.721292,700
2017-01-03,5.850000,5.850000,5.850000,5.850000,5.721292,0
2017-01-04,5.850000,5.850000,5.850000,5.850000,5.721292,0
2017-01-05,5.850000,5.850000,5.850000,5.850000,5.721292,0
2017-01-06,5.850000,5.850000,5.850000,5.850000,5.721292,0
2017-01-09,5.850000,5.850000,5.850000,5.850000,5.721292,0
2017-01-10,5.500000,5.500000,5.500000,5.500000,5.378992,3300
2017-01-11,5.550000,5.550000,5.550000,5.550000,5.427892,300
2017-01-12,5.550000,5.550000,5.550000,5.550000,5.427892,0
2017-01-13,5.550000,5.550000,5.550000,5.550000,5.427892,0
2017-01-16,5.550000,5.550000,5.550000,5.550000,5.427892,0
2017-01-17,5.550000,5.550000,5.550000,5.550000,5.427892,0
2017-01-18,5.500000,5.600000,5.500000,5.600000,5.476792,400
2017-01-19,5.600000,5.600000,5.600000,5.600000,5.476792,0
2017-01-20,5.600000,5.600000,5.600000,5.600000,5.476792,0
2017-01-23,5.590000,5.590000,5.590000,5.590000,5.467012,200
2017-01-24,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-01-26,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-01-27,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-01-30,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-01-31,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-01,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-02,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-03,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-06,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-07,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-08,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-09,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-10,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-13,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-14,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-15,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-16,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-17,5.590000,5.590000,5.590000,5.590000,5.467012,0
2017-02-20,null,null,null,null,null,null
2017-02-21,null,null,null,null,null,null
2017-02-22,7.010000,9.500000,7.010000,8.040000,7.863108,71700
2017-02-23,8.860000,9.000000,6.600000,6.750000,6.601490,10200
2017-02-24,7.290000,7.290000,7.060000,7.060000,6.904670,1700
2017-03-01,7.060000,7.060000,7.060000,7.060000,6.904670,0
2017-03-02,7.060000,7.060000,7.060000,7.060000,6.904670,0
2017-03-03,7.060000,7.200000,6.500000,7.200000,7.041589,6600
2017-03-06,7.000000,8.490000,6.700000,6.700000,6.552590,5100
2017-03-07,6.990000,6.990000,6.570000,6.570000,6.425451,2800
