Date,Open,High,Low,Close,Adj Close,Volume
2014-08-08,861.020020,861.020020,861.020020,861.020020,861.020020,19
2014-08-11,861.020020,861.020020,861.020020,861.020020,861.020020,0
2014-08-12,920.000000,960.000000,920.000000,959.989990,959.989990,15
2014-08-13,959.989990,959.989990,959.989990,959.989990,959.989990,0
2014-08-14,null,null,null,null,null,null
2014-08-15,959.989990,959.989990,959.989990,959.989990,959.989990,0
2014-08-18,959.989990,959.989990,959.989990,959.989990,959.989990,0
2014-08-19,959.989990,959.989990,959.989990,959.989990,959.989990,0
2014-08-20,959.989990,959.989990,959.989990,959.989990,959.989990,0
2014-08-21,959.989990,959.989990,959.989990,959.989990,959.989990,0
2014-08-22,959.989990,959.989990,959.989990,959.989990,959.989990,0
2014-08-25,959.989990,959.989990,959.989990,959.989990,959.989990,0
2014-08-26,959.989990,959.989990,959.989990,959.989990,959.989990,0
2014-08-27,959.989990,959.989990,959.989990,959.989990,959.989990,0
2014-08-28,959.989990,959.989990,959.989990,959.989990,959.989990,0
2014-08-29,null,null,null,null,null,null
2014-09-01,null,null,null,null,null,null
2014-09-02,null,null,null,null,null,null
2014-09-03,null,null,null,null,null,null
2014-09-04,null,null,null,null,null,null
2014-09-05,null,null,null,null,null,null
2014-09-08,null,null,null,null,null,null
2014-09-09,null,null,null,null,null,null
2014-09-10,null,null,null,null,null,null
2014-09-11,null,null,null,null,null,null
2014-09-12,null,null,null,null,null,null
2014-09-15,null,null,null,null,null,null
2014-09-16,null,null,null,null,null,null
2014-09-17,null,null,null,null,null,null
2014-09-18,null,null,null,null,null,null
2014-09-19,null,null,null,null,null,null
2014-09-22,null,null,null,null,null,null
2014-09-23,null,null,null,null,null,null
2014-09-24,null,null,null,null,null,null
2014-09-25,null,null,null,null,null,null
2014-09-26,null,null,null,null,null,null
2014-09-29,null,null,null,null,null,null
2014-09-30,null,null,null,null,null,null
2014-10-01,null,null,null,null,null,null
2014-10-02,null,null,null,null,null,null
2014-10-03,null,null,null,null,null,null
2014-10-06,null,null,null,null,null,null
2014-10-07,null,null,null,null,null,null
2014-10-08,null,null,null,null,null,null
2014-10-09,null,null,null,null,null,null
2014-10-10,null,null,null,null,null,null
2014-10-13,null,null,null,null,null,null
2014-10-14,null,null,null,null,null,null
2014-10-15,null,null,null,null,null,null
2014-10-16,null,null,null,null,null,null
2014-10-17,null,null,null,null,null,null
2014-10-20,null,null,null,null,null,null
2014-10-21,null,null,null,null,null,null
2014-10-22,null,null,null,null,null,null
2014-10-23,null,null,null,null,null,null
2014-10-24,null,null,null,null,null,null
2014-10-27,null,null,null,null,null,null
2014-10-28,null,null,null,null,null,null
2014-10-29,null,null,null,null,null,null
2014-10-30,null,null,null,null,null,null
2014-10-31,null,null,null,null,null,null
2014-11-03,null,null,null,null,null,null
2014-11-04,null,null,null,null,null,null
