Date,Open,High,Low,Close,Adj Close,Volume
2010-04-05,10.380000,10.500000,10.380000,10.500000,7.979162,1000
2010-04-06,10.400000,10.490000,10.360000,10.400000,7.903169,36200
2010-04-07,10.400000,10.450000,10.200000,10.200000,7.751185,15800
2010-04-08,10.000000,10.000000,10.000000,10.000000,7.599202,1
2010-04-09,10.150000,10.150000,9.890000,9.890000,7.515612,5900
2010-04-12,10.000000,10.390000,9.910000,9.910000,7.530808,30600
2010-04-13,9.980000,10.020000,9.920000,9.980000,7.584002,8800
2010-04-14,10.000000,10.400000,9.960000,10.000000,7.599202,28300
2010-04-15,10.010000,10.250000,10.000000,10.000000,7.599202,44400
2010-04-16,10.050000,10.050000,10.000000,10.000000,7.599202,10700
2010-04-19,10.000000,10.200000,9.920000,10.190000,7.743586,3600
2010-04-20,10.100000,10.500000,10.100000,10.450000,7.941165,35400
2010-04-22,10.790000,10.790000,10.400000,10.450000,7.941165,16400
2010-04-23,10.400000,10.500000,10.400000,10.400000,7.903169,50600
2010-04-26,10.700000,10.780000,10.500000,10.550000,8.017158,4800
2010-04-27,10.500000,10.500000,10.100000,10.100000,7.675195,138200
2010-04-28,10.400000,10.400000,10.000000,10.200000,7.751185,47000
2010-04-29,10.500000,10.500000,10.400000,10.400000,7.903169,7800
2010-04-30,10.400000,10.400000,10.300000,10.300000,7.827178,16600
2010-05-03,9.550000,10.020000,9.550000,10.020000,7.614401,86
2010-05-04,10.100000,10.350000,10.100000,10.350000,7.865174,2500
2010-05-05,10.290000,10.290000,10.200000,10.200000,7.751185,2900
2010-05-06,10.200000,10.200000,10.200000,10.200000,7.751185,2000
2010-05-07,9.900000,10.090000,9.900000,10.030000,7.621999,6600
2010-05-10,10.400000,10.400000,10.000000,10.000000,7.599202,8800
2010-05-11,10.000000,10.000000,10.000000,10.000000,7.599202,400
2010-05-12,10.000000,10.000000,9.910000,10.000000,7.599202,2700
2010-05-13,10.100000,10.650000,10.100000,10.400000,7.903169,9000
2010-05-14,10.200000,10.360000,10.200000,10.360000,7.872772,1900
2010-05-17,10.360000,10.360000,10.000000,10.270000,7.804380,17000
2010-05-18,10.400000,10.400000,9.900000,10.000000,7.599202,3700
2010-05-19,9.710000,10.000000,9.500000,9.550000,7.257237,8500
2010-05-20,9.270000,9.400000,9.100000,9.400000,7.143249,82000
2010-05-21,9.500000,9.600000,9.500000,9.500000,7.219242,12200
2010-05-24,10.000000,10.000000,9.700000,9.900000,7.523211,9700
2010-05-25,null,null,null,null,null,null
2010-05-26,9.800000,10.000000,9.800000,10.000000,7.599202,900
2010-05-27,9.990000,10.000000,9.720000,9.990000,7.591602,16200
2010-05-28,10.000000,10.100000,10.000000,10.100000,7.675195,185800
2010-05-31,10.100000,10.400000,10.000000,10.400000,7.903169,131000
2010-06-01,10.480000,10.480000,10.300000,10.300000,7.827178,1600
2010-06-02,10.350000,10.390000,10.250000,10.250000,7.789180,14400
2010-06-04,10.250000,10.390000,10.250000,10.390000,7.895569,9200
2010-06-07,10.400000,10.480000,10.400000,10.480000,7.963963,7500
2010-06-08,10.110000,10.110000,10.110000,10.110000,7.682793,2800
2010-06-09,10.450000,10.450000,10.450000,10.450000,7.941165,100
2010-06-10,null,null,null,null,null,null
2010-06-11,10.140000,10.390000,10.140000,10.390000,7.895569,200
2010-06-14,10.300000,10.400000,10.300000,10.400000,7.903169,400
2010-06-15,10.400000,10.480000,10.400000,10.450000,7.941165,30100
2010-06-16,10.400000,10.400000,10.400000,10.400000,7.903169,7600
2010-06-17,null,null,null,null,null,null
2010-06-18,10.590000,10.590000,10.300000,10.490000,7.971562,5200
2010-06-21,null,null,null,null,null,null
2010-06-22,null,null,null,null,null,null
2010-06-23,null,null,null,null,null,null
2010-06-24,null,null,null,null,null,null
2010-06-25,null,null,null,null,null,null
2010-06-28,10.600000,10.890000,10.600000,10.800000,8.207138,5200
