Date,Open,High,Low,Close,Adj Close,Volume
2012-10-26,50.970001,51.150002,50.700001,50.700001,50.700001,3580
2012-10-29,50.349998,51.500000,50.310001,51.500000,51.500000,5090
2012-10-30,51.500000,51.700001,51.279999,51.700001,51.700001,6390
2012-10-31,null,null,null,null,null,null
2012-11-01,51.750000,51.779999,50.950001,51.080002,51.080002,4210
2012-11-05,null,null,null,null,null,null
2012-11-06,null,null,null,null,null,null
2012-11-07,null,null,null,null,null,null
2012-11-08,null,null,null,null,null,null
2012-11-09,null,null,null,null,null,null
2012-11-12,51.299999,51.840000,51.049999,51.750000,51.750000,195420
2012-11-13,null,null,null,null,null,null
2012-11-14,null,null,null,null,null,null
2012-11-16,52.000000,52.000000,51.259998,51.610001,51.610001,8520
2012-11-19,null,null,null,null,null,null
2012-11-21,null,null,null,null,null,null
2012-11-22,52.650002,52.750000,52.400002,52.750000,52.750000,312700
2012-11-23,52.400002,53.580002,52.400002,53.580002,53.580002,30720
2012-11-26,53.180000,53.299999,52.529999,53.299999,53.299999,25850
2012-11-27,53.000000,53.230000,52.500000,52.669998,52.669998,4800
2012-11-28,null,null,null,null,null,null
2012-11-29,null,null,null,null,null,null
2012-11-30,53.259998,54.009998,52.900002,53.869999,53.869999,22400
2012-12-03,54.279999,54.490002,53.060001,54.490002,54.490002,26580
2012-12-04,null,null,null,null,null,null
2012-12-05,53.360001,53.950001,53.360001,53.830002,53.830002,14930
2012-12-06,52.900002,53.900002,52.900002,53.900002,53.900002,10270
2012-12-07,52.400002,54.200001,52.220001,54.080002,54.080002,22280
2012-12-10,53.790001,54.650002,53.400002,54.650002,54.650002,25820
2012-12-11,54.650002,54.990002,54.000000,54.990002,54.990002,17070
2012-12-12,54.459999,55.020000,54.099998,54.970001,54.970001,18110
2012-12-13,54.369999,55.299999,54.299999,55.040001,55.040001,17450
2012-12-14,55.000000,55.150002,54.000000,54.000000,54.000000,16630
2012-12-17,53.410000,55.299999,53.410000,55.299999,55.299999,31410
2012-12-18,54.930000,55.849998,54.930000,55.849998,55.849998,31670
2012-12-19,55.040001,56.439999,55.040001,56.439999,56.439999,17240
2012-12-20,55.910000,56.400002,55.590000,56.400002,56.400002,9050
2012-12-21,54.750000,56.500000,54.750000,56.500000,56.500000,9940
2012-12-26,55.799999,56.500000,55.799999,56.500000,56.500000,7800
2012-12-27,56.259998,56.380001,55.970001,56.049999,56.049999,2890
2012-12-28,55.389999,56.500000,55.389999,56.500000,56.500000,77860
2013-01-02,56.130001,57.840000,56.130001,57.610001,57.610001,121940
2013-01-03,57.500000,58.430000,57.500000,58.299999,58.299999,17120
2013-01-04,58.259998,58.259998,57.590000,57.810001,57.810001,7240
2013-01-07,57.360001,57.889999,57.209999,57.320000,57.320000,8870
2013-01-08,57.270000,57.630001,57.130001,57.200001,57.200001,8290
2013-01-09,57.150002,57.889999,56.150002,57.889999,57.889999,23990
2013-01-10,57.900002,58.000000,57.520000,58.000000,58.000000,9180
2013-01-11,57.500000,57.610001,57.090000,57.540001,57.540001,10300
2013-01-14,57.419998,57.990002,57.419998,57.990002,57.990002,8350
2013-01-15,57.419998,57.990002,57.340000,57.509998,57.509998,4870
2013-01-16,57.060001,58.000000,57.060001,58.000000,58.000000,7810
2013-01-17,57.830002,58.650002,57.540001,58.650002,58.650002,17550
2013-01-18,58.009998,58.500000,57.740002,58.490002,58.490002,14030
2013-01-21,57.810001,58.419998,57.730000,58.419998,58.419998,9960
2013-01-22,58.009998,58.590000,57.950001,58.419998,58.419998,17100
2013-01-23,58.270000,58.549999,58.189999,58.500000,58.500000,13380
2013-01-24,58.369999,58.590000,57.950001,57.950001,57.950001,6590
2013-01-28,57.680000,57.720001,56.619999,56.880001,56.880001,414260
2013-01-29,56.500000,57.400002,56.500000,57.400002,57.400002,27810
2013-01-30,56.910000,56.910000,56.529999,56.720001,56.720001,7110
2013-01-31,56.330002,57.299999,55.590000,57.299999,57.299999,18540
2013-02-01,57.330002,57.599998,57.160000,57.500000,57.500000,7750
2013-02-04,56.450001,57.130001,56.450001,57.000000,57.000000,8460
2013-02-05,56.259998,57.500000,56.259998,57.080002,57.080002,11240
2013-02-06,57.099998,57.099998,56.340000,56.500000,56.500000,4280
2013-02-07,56.500000,56.910000,55.840000,56.150002,56.150002,9540
2013-02-08,55.889999,56.500000,55.750000,56.500000,56.500000,7890
2013-02-13,56.799999,56.799999,55.110001,56.400002,56.400002,3320
2013-02-14,55.610001,56.000000,55.570000,56.000000,56.000000,4070
2013-02-15,55.349998,56.349998,55.349998,56.349998,56.349998,7920
2013-02-18,56.000000,56.400002,55.880001,56.400002,56.400002,5230
2013-02-19,55.750000,56.450001,55.750000,56.259998,56.259998,8390
2013-02-20,55.900002,55.900002,54.750000,55.349998,55.349998,6270
2013-02-21,55.000000,55.099998,54.130001,54.900002,54.900002,11130
2013-02-22,54.950001,55.400002,54.700001,55.400002,55.400002,6390
2013-02-25,55.299999,55.549999,54.860001,55.369999,55.369999,10820
2013-02-26,54.630001,55.529999,54.570000,55.529999,55.529999,11960
2013-02-27,55.349998,55.619999,55.020000,55.509998,55.509998,11520
2013-02-28,54.020000,56.230000,54.020000,56.110001,56.110001,13030
2013-03-01,55.500000,56.099998,55.490002,56.099998,56.099998,11780
2013-03-04,54.849998,55.799999,54.849998,55.799999,55.799999,9090
2013-03-05,56.000000,56.330002,55.639999,55.959999,55.959999,19210
2013-03-06,56.250000,56.869999,55.779999,56.860001,56.860001,15680
2013-03-07,57.009998,57.189999,56.730000,56.799999,56.799999,20180
2013-03-08,56.020000,57.259998,55.759998,57.259998,57.259998,11540
2013-03-11,57.000000,57.169998,56.049999,57.139999,57.139999,3740
2013-03-12,56.910000,56.910000,56.529999,56.529999,56.529999,12980
2013-03-13,56.490002,56.520000,55.869999,55.930000,55.930000,9400
2013-03-14,56.040001,56.040001,55.380001,55.900002,55.900002,5890
2013-03-15,55.480000,55.880001,55.459999,55.700001,55.700001,3220
2013-03-18,55.299999,55.730000,55.160000,55.720001,55.720001,4350
2013-03-19,55.299999,55.730000,54.950001,55.250000,55.250000,5290
2013-03-20,54.410000,55.369999,54.150002,55.299999,55.299999,11100
2013-03-21,54.459999,55.009998,54.459999,54.500000,54.500000,9350
2013-03-22,54.500000,54.860001,54.180000,54.610001,54.610001,10360
2013-03-25,54.540001,54.779999,53.360001,54.189999,54.189999,6670
2013-03-26,54.299999,54.919998,53.320000,54.919998,54.919998,6810
2013-03-27,54.630001,55.299999,54.529999,55.299999,55.299999,4750
2013-03-28,null,null,null,null,null,null
2013-04-01,55.770000,55.849998,53.000000,53.000000,53.000000,9760
2013-04-02,55.770000,55.849998,53.000000,54.980000,54.980000,5270
2013-04-03,54.520000,55.500000,54.520000,55.500000,55.500000,5000
2013-04-04,55.189999,55.189999,54.380001,54.500000,54.500000,5380
