Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,27.250000,27.500000,26.975000,27.500000,6.741060,0
2007-01-03,27.500000,27.625000,26.775000,27.250000,6.679779,5
2007-01-04,27.250000,27.490000,26.750000,27.065001,6.634430,1
2007-01-05,26.764999,27.250000,25.252501,26.125000,6.404008,4
2007-01-08,26.137501,26.775000,26.000000,26.252501,6.435261,0
2007-01-09,25.882500,26.320000,25.825001,25.950001,6.361110,1
2007-01-10,25.305000,25.950001,25.250000,25.950001,6.361110,1946
2007-01-11,26.637501,27.225000,25.375000,26.737499,6.554150,42
2007-01-12,26.187500,27.162500,25.844999,26.975000,6.612368,0
2007-01-15,27.242500,27.242500,26.250000,26.750000,6.557214,1300
2007-01-16,26.275000,26.990000,25.750000,26.475000,6.489805,1
2007-01-17,26.230000,26.600000,25.927500,26.350000,6.459162,2748
2007-01-18,26.375000,27.075001,25.780001,25.825001,6.330470,2028
2007-01-19,26.120001,26.350000,25.905001,26.110001,6.400331,1602
2007-01-22,26.750000,27.497499,25.590000,26.375000,6.465290,2
2007-01-23,26.250000,26.375000,26.000000,26.100000,6.397881,1209
2007-01-24,26.250000,26.500000,25.975000,25.975000,6.367238,1042
2007-01-26,25.975000,25.975000,25.195000,25.622499,6.280830,21
2007-01-29,25.674999,25.750000,25.225000,25.250000,6.189519,2835
2007-01-30,25.305000,26.250000,25.305000,26.125000,6.404008,4
2007-01-31,25.752501,26.250000,25.452499,26.097500,6.397266,2112
2007-02-01,26.225000,26.350000,25.750000,26.000000,6.373367,4580
2007-02-02,26.247499,26.275000,25.725000,25.875000,6.342726,1
2007-02-05,25.875000,26.375000,25.862499,26.062500,6.388688,0
2007-02-06,26.247499,26.502501,26.002501,26.375000,6.465290,5466
2007-02-07,26.625000,26.719999,26.052500,26.625000,6.526573,3106
2007-02-08,26.575001,26.575001,26.075001,26.275000,6.440778,3935
2007-02-09,26.549999,26.549999,25.997499,26.062500,6.388688,1
2007-02-12,26.375000,26.799999,25.750000,26.475000,6.489805,3076
2007-02-13,26.325001,26.547501,25.627501,26.375000,6.465290,1936
2007-02-14,26.250000,27.250000,25.907499,26.875000,6.587857,3358
2007-02-15,26.725000,27.200001,26.627501,26.875000,6.587857,0
2007-02-16,26.900000,27.122499,26.502501,26.957500,6.608079,0
2007-02-21,26.625000,27.225000,26.215000,27.125000,6.649137,703
2007-02-22,27.122499,27.475000,26.752501,27.000000,6.618497,1
2007-02-23,27.247499,27.247499,26.650000,26.924999,6.600112,1431
2007-02-26,27.197500,27.197500,26.375000,26.875000,6.587857,1097
2007-02-27,26.475000,26.475000,25.625000,25.750000,6.312085,0
2007-02-28,25.875000,26.455000,25.400000,26.150000,6.410137,1799
2007-03-01,25.475000,25.737499,25.000000,25.025000,6.134366,4
2007-03-02,25.225000,25.990000,24.500000,25.000000,6.128239,2
2007-03-05,24.740000,25.025000,24.055000,24.662500,6.045508,677
2007-03-06,25.472500,25.950001,25.080000,25.950001,6.361110,7
2007-03-07,26.002501,26.135000,25.004999,25.004999,6.129464,4629
2007-03-08,25.750000,26.000000,25.125000,25.200001,6.177264,2745
2007-03-09,25.747499,25.752501,24.862499,25.247499,6.188907,0
2007-03-12,25.247499,25.250000,24.907499,24.962500,6.119046,4616
2007-03-13,24.962500,25.027500,23.830000,23.830000,5.841436,6092
2007-03-14,24.004999,24.250000,22.875000,23.312500,5.714582,5
2007-03-15,23.754999,24.475000,23.150000,24.000000,5.883107,0
2007-03-16,23.757500,24.497499,23.674999,24.497499,6.005060,0
2007-03-19,24.497499,24.725000,23.750000,24.500000,6.005673,0
2007-03-20,24.625000,25.375000,24.500000,24.555000,6.019155,1
2007-03-21,24.750000,25.472500,24.555000,25.250000,6.189519,4
2007-03-22,25.350000,25.382500,24.424999,24.500000,6.005673,4
2007-03-23,24.875000,25.010000,24.625000,24.625000,6.036314,0
2007-03-26,24.625000,24.625000,24.264999,24.315001,5.960324,1144
2007-03-27,24.500000,24.987499,24.250000,24.257500,5.946229,1
2007-03-28,24.250000,24.254999,24.000000,24.002501,5.883721,0
2007-03-29,24.617500,24.617500,24.000000,24.150000,5.919877,0
2007-03-30,24.547501,24.875000,23.750000,24.000000,5.883107,0
2007-04-02,24.122499,24.745001,24.000000,24.725000,6.060828,1
2007-04-03,24.750000,25.184999,24.652500,25.002501,6.128850,2
2007-04-04,24.875000,25.344999,24.802500,25.025000,6.134366,1
2007-04-05,25.000000,25.687500,25.000000,25.625000,6.281444,3
2007-04-09,25.799999,26.125000,25.507500,26.000000,6.373367,2
2007-04-10,26.122499,26.122499,25.309999,25.792500,6.322503,0
2007-04-11,25.750000,26.112499,25.352501,25.625000,6.281444,1657
2007-04-12,25.500000,25.627501,25.052500,25.287500,6.198712,0
2007-04-13,25.627501,25.817499,25.142500,25.700001,6.299828,1
2007-04-16,25.742500,26.245001,25.705000,25.900000,6.348855,1
2007-04-17,25.975000,26.375000,25.975000,26.375000,6.465290,2098
2007-04-18,26.375000,27.122499,26.209999,26.375000,6.465290,1
2007-04-19,26.125000,27.125000,25.877501,26.450001,6.483676,0
2007-04-20,26.122499,26.347500,25.385000,26.192499,7.314941,2471
2007-04-23,26.174999,26.750000,26.174999,26.650000,7.442710,0
2007-04-24,26.650000,26.747499,26.002501,26.424999,7.379872,6
2007-04-25,26.840000,26.840000,26.250000,26.562500,7.418272,1
2007-04-26,26.625000,26.815001,26.025000,26.025000,7.268162,0
2007-04-27,26.299999,26.450001,25.504999,26.250000,7.331001,0
2007-04-30,26.375000,26.752501,26.125000,26.200001,7.317036,0
2007-05-02,26.780001,26.780001,25.787500,26.014999,7.265369,2937
2007-05-03,26.245001,26.875000,26.129999,26.525000,7.407802,0
2007-05-04,26.525000,26.947500,26.525000,26.625000,7.435728,1
2007-05-07,26.375000,26.772499,26.275000,26.687500,7.453182,2207
2007-05-08,26.597500,26.799999,26.002501,26.674999,7.449691,2504
2007-05-09,26.715000,27.245001,26.254999,27.000000,7.540454,1
2007-05-10,27.125000,27.500000,26.752501,27.250000,7.610276,5
2007-05-11,27.472500,28.497499,27.122499,28.025000,7.826714,2
2007-05-14,28.027500,28.372499,27.375000,27.500000,7.680094,1
2007-05-15,27.500000,28.367500,27.287500,27.500000,7.680094,0
2007-05-16,27.995001,29.250000,27.775000,28.500000,7.959370,3
2007-05-17,29.100000,29.250000,28.295000,29.187500,8.151373,1
2007-05-18,29.200001,29.995001,28.514999,29.575001,8.259591,1
2007-05-21,29.625000,30.075001,29.362499,29.875000,8.343376,8
2007-05-22,29.725000,29.872499,29.500000,29.750000,8.308467,3
2007-05-23,29.875000,29.902500,29.275000,29.325001,8.189774,1
2007-05-24,29.625000,29.625000,28.750000,29.000000,8.099010,4
2007-05-25,28.850000,30.125000,28.850000,29.757500,8.310561,1
2007-05-28,29.757500,31.049999,29.757500,30.625000,8.552834,1
2007-05-29,30.712500,31.372499,30.514999,31.125000,8.692471,16
2007-05-30,30.375000,32.497501,30.127501,31.750000,8.867017,0
2007-05-31,32.472500,32.872501,31.527500,32.247501,9.005958,4
2007-06-01,32.575001,32.700001,31.545000,32.200001,8.992693,2
2007-06-04,32.250000,32.742500,31.127501,32.250000,9.006657,5
2007-06-05,32.025002,32.250000,31.000000,31.000000,8.657560,1
2007-06-06,31.250000,31.250000,30.075001,30.262501,8.451595,3771
2007-06-08,30.250000,31.742500,30.000000,31.375000,8.762289,1
2007-06-11,31.625000,32.195000,30.902500,31.875000,8.901929,1325
2007-06-12,31.357500,32.075001,30.750000,31.695000,8.851659,3
2007-06-13,31.500000,32.002499,31.139999,31.500000,8.797198,0
2007-06-14,31.500000,31.990000,31.500000,31.752501,8.867717,0
2007-06-15,32.000000,32.250000,31.750000,31.750000,8.867017,2701
2007-06-18,32.237499,32.372501,31.575001,32.000000,8.936837,0
2007-06-19,32.000000,32.000000,31.250000,31.250000,8.727379,1
2007-06-20,31.500000,31.500000,31.049999,31.049999,8.671524,1
2007-06-21,31.055000,32.127499,30.924999,31.962500,8.926365,0
2007-06-22,32.242500,32.242500,31.450001,32.075001,8.957784,1
2007-06-25,32.099998,32.099998,31.252501,31.252501,8.728077,2311
2007-06-26,31.492500,31.629999,31.200001,31.205000,8.714813,2819
2007-06-27,31.127501,31.722500,31.075001,31.487499,8.793707,2
2007-06-28,31.487499,32.145000,31.247499,32.122501,8.971047,1524
2007-06-29,32.247501,32.472500,31.500000,31.722500,8.859337,0
2007-07-02,32.365002,32.625000,31.750000,32.487499,9.072984,0
2007-07-03,32.747501,33.125000,31.000000,31.150000,8.699453,1
2007-07-04,31.202499,31.462500,31.075001,31.254999,8.728776,3843
2007-07-05,31.254999,31.254999,30.775000,30.825001,8.608688,4383
2007-07-06,30.750000,30.750000,30.655001,30.750000,8.587742,0
2007-07-10,31.000000,31.000000,30.347500,30.347500,8.475333,4236
2007-07-11,31.097500,31.097500,29.887501,29.975000,8.371304,4775
2007-07-12,30.250000,31.125000,30.250000,30.937500,8.640106,6
2007-07-13,30.877501,31.000000,30.467501,30.752501,8.588439,0
2007-07-16,30.825001,31.122499,30.540001,30.549999,8.531886,1
2007-07-17,30.750000,31.750000,30.750000,31.350000,8.755308,0
2007-07-18,31.000000,31.825001,31.000000,31.500000,8.797198,0
2007-07-19,31.799999,32.465000,31.797501,32.462502,9.066003,16
2007-07-20,32.459999,32.525002,32.014999,32.450001,9.062511,12
2007-07-23,32.625000,32.625000,31.750000,31.775000,8.874001,6
2007-07-24,31.775000,31.875000,31.250000,31.750000,8.867017,10
2007-07-25,32.002499,32.224998,29.750000,32.224998,8.999673,13
2007-07-26,31.875000,31.875000,30.625000,31.227501,8.721095,1
2007-07-27,30.525000,31.875000,30.252501,30.252501,8.448803,29
2007-07-30,31.025000,31.450001,30.377501,31.075001,8.678507,1
2007-07-31,31.375000,31.847500,30.004999,30.750000,8.587742,3688
2007-08-01,30.500000,30.725000,30.002501,30.575001,8.538868,9
2007-08-02,30.625000,31.000000,30.000000,30.165001,8.424367,0
2007-08-03,30.055000,30.377501,29.250000,29.250000,8.168828,1
2007-08-06,30.147499,30.549999,29.125000,30.450001,8.503958,20
2007-08-07,30.000000,31.375000,29.827499,31.227501,8.721095,0
2007-08-08,31.350000,31.959999,31.250000,31.959999,8.925668,0
2007-08-09,30.500000,31.922501,30.555000,30.802500,8.602403,0
2007-08-10,30.000000,30.625000,29.837500,30.497499,8.517225,2
2007-08-13,31.200001,31.219999,30.500000,30.875000,8.622652,85
2007-08-14,32.027500,32.250000,30.777500,30.875000,8.622652,1
2007-08-15,30.299999,31.600000,30.299999,30.475000,8.510941,0
2007-08-16,29.437500,30.000000,26.250000,28.802500,8.043851,15799
2007-08-17,29.764999,30.250000,28.500000,29.750000,8.308467,22
2007-08-20,30.625000,30.625000,29.830000,30.250000,8.448105,2912
2007-08-21,30.472500,30.695000,29.875000,30.674999,8.566795,0
2007-08-22,30.875000,31.350000,30.875000,31.252501,8.728077,0
2007-08-23,31.500000,31.500000,30.875000,31.360001,8.758101,0
2007-08-24,31.500000,32.247501,31.125000,32.099998,8.964763,0
2007-08-27,28.500000,28.514999,27.500000,28.207500,12.643050,6496
2007-08-28,28.125000,28.125000,27.375000,27.549999,12.348346,4615
2007-08-29,27.825001,28.372499,27.639999,27.900000,12.505226,3133
2007-08-30,27.897499,27.897499,26.802500,26.850000,12.034595,1
2007-08-31,27.262501,28.125000,27.262501,27.650000,12.393169,9862
2007-09-03,27.780001,27.782499,27.375000,27.625000,12.381965,2396
2007-09-04,27.674999,28.250000,27.379999,28.195000,12.637446,3186
2007-09-05,27.700001,28.174999,27.700001,27.924999,12.516424,1516
2007-09-06,28.072500,28.142500,27.549999,27.750000,12.437991,2430
2007-09-10,27.247499,27.475000,26.750000,26.802500,12.013308,2595
2007-09-11,27.222500,27.875000,26.875000,27.500000,12.325936,3378
2007-09-12,27.547501,27.959999,26.650000,26.875000,12.045800,4495
2007-09-13,27.075001,27.650000,27.075001,27.547501,12.347225,2533
2007-09-14,27.495001,28.000000,27.487499,27.635000,12.386445,2856
2007-09-17,27.635000,27.875000,27.250000,27.825001,12.471607,1536
2007-09-18,28.010000,28.375000,27.424999,28.322500,12.694593,3846
2007-09-19,28.612499,28.625000,28.250000,28.337500,12.701319,4104
2007-09-20,27.252501,28.500000,27.250000,27.934999,12.520909,1
2007-09-21,27.950001,28.424999,27.750000,28.222500,12.649773,3133
2007-09-24,28.225000,28.500000,28.225000,28.500000,12.774153,3225
2007-09-25,28.250000,28.549999,28.250000,28.549999,12.796560,2300
2007-09-26,28.500000,29.500000,28.500000,29.372499,13.165220,5518
2007-09-27,29.375000,29.850000,28.962500,29.750000,13.334420,6
2007-09-28,29.625000,30.500000,29.372499,30.500000,13.670583,1
2007-10-01,31.312500,31.475000,30.764999,31.187500,13.978732,8775
2007-10-02,30.750000,31.250000,30.512501,31.174999,13.973127,3256
2007-10-03,31.250000,31.250000,30.775000,31.225000,13.995540,1
2007-10-04,31.014999,31.750000,31.014999,31.750000,14.230853,3
2007-10-05,31.750000,31.847500,31.025000,31.025000,13.905895,3
2007-10-08,31.747499,31.747499,30.775000,31.000000,13.894692,2283
2007-10-09,31.297501,31.299999,30.750000,30.750000,13.782635,0
2007-10-10,31.250000,31.250000,30.250000,30.250000,13.558533,2932
2007-10-11,31.000000,31.500000,30.000000,30.000000,13.446475,0
2007-10-15,30.372499,31.387501,30.372499,31.350000,14.051566,3247
2007-10-16,30.750000,30.992500,30.502501,30.674999,13.749022,0
2007-10-17,30.799999,31.424999,30.287500,31.424999,14.085183,3941
2007-10-18,31.000000,31.997499,30.962500,31.872499,14.285760,0
2007-10-19,31.975000,31.995001,31.049999,31.625000,14.174829,0
2007-10-22,31.200001,31.500000,30.750000,31.497499,14.117679,3400
2007-10-23,31.502501,32.122501,31.502501,32.122501,14.397815,1
2007-10-24,32.744999,33.027500,32.075001,32.674999,14.645450,0
2007-10-25,32.994999,33.037498,31.950001,32.750000,14.679071,1
2007-10-26,32.877499,33.000000,32.502499,32.724998,14.667866,0
2007-10-29,32.775002,33.369999,32.775002,33.025002,14.802328,1769
2007-10-30,32.974998,33.500000,32.025002,33.372501,14.958082,1
2007-10-31,33.400002,33.674999,33.375000,33.375000,14.959208,0
2007-11-01,32.877499,32.877499,32.150002,32.562500,14.595028,3
2007-11-05,32.500000,33.477501,32.302502,32.847500,14.722768,2795
2007-11-06,33.247501,33.250000,33.000000,33.250000,14.903176,0
2007-11-07,33.125000,33.750000,32.875000,33.625000,15.071259,2725
2007-11-08,33.625000,33.625000,32.750000,32.750000,14.679071,0
2007-11-09,32.537498,32.747501,31.500000,32.000000,14.342907,3291
2007-11-12,31.920000,32.497501,31.502501,32.250000,14.454962,2984
2007-11-13,32.525002,34.750000,32.525002,34.747501,15.574382,4640
2007-11-14,34.500000,37.125000,34.305000,36.250000,16.247824,10970
2007-11-16,36.750000,36.750000,35.275002,35.750000,16.023720,1
2007-11-19,36.099998,36.099998,33.750000,34.000000,15.239341,2268
2007-11-21,33.049999,33.500000,30.500000,32.299999,14.477374,8
2007-11-22,32.299999,34.224998,32.299999,33.750000,15.127286,5
2007-11-23,33.775002,34.322498,33.525002,33.525002,15.026434,2856
2007-11-26,33.525002,33.577499,32.125000,32.500000,14.567016,2278
2007-11-27,32.472500,33.247501,32.099998,32.500000,14.567016,3532
2007-11-28,32.525002,34.375000,32.525002,33.787498,15.144092,2462
2007-11-29,33.799999,35.250000,33.375000,34.075001,15.272957,4768
2007-11-30,34.252499,35.237499,34.252499,35.022499,15.697641,0
2007-12-03,34.875000,35.212502,34.275002,34.737499,15.569900,1305
2007-12-04,34.695000,34.695000,33.775002,34.362499,15.401813,1764
2007-12-05,34.674999,35.334999,34.250000,34.250000,15.351394,2374
2007-12-06,34.650002,35.487499,34.299999,35.200001,15.777199,3408
2007-12-07,35.247501,35.247501,34.325001,34.375000,15.407419,2113
2007-12-10,34.382500,35.470001,34.375000,35.200001,15.777199,4388
2007-12-11,35.250000,35.625000,34.477501,34.505001,15.465688,0
2007-12-12,34.750000,34.997501,34.375000,34.540001,15.481379,3513
2007-12-13,34.224998,34.494999,33.122501,33.700001,15.104876,0
2007-12-14,33.950001,33.950001,32.375000,33.000000,14.791122,2
2007-12-17,33.002499,33.002499,32.250000,32.250000,14.454962,0
2007-12-18,32.570000,34.240002,32.570000,34.240002,15.346910,3895
2007-12-19,33.900002,35.127499,33.172501,34.772499,15.585588,0
2007-12-20,34.812500,35.212502,32.887501,34.275002,15.362599,6210
2007-12-21,34.472500,35.997501,34.049999,35.000000,16.496727,2555
2007-12-26,35.224998,36.799999,35.224998,36.377499,17.145987,1778
2007-12-27,36.250000,36.875000,36.000000,36.250000,17.085896,240
2007-12-28,36.500000,36.625000,34.825001,36.375000,17.144808,2986
2008-01-02,36.500000,36.500000,34.837502,34.912498,16.455481,3439
2008-01-03,35.125000,36.250000,34.889999,35.900002,16.920931,560
2008-01-04,35.912498,35.915001,33.755001,34.599998,16.308187,2577
2008-01-07,35.250000,35.750000,34.500000,35.750000,16.850225,2140
2008-01-08,35.750000,36.247501,35.392502,35.437500,16.702932,3681
2008-01-09,35.500000,35.750000,35.000000,35.375000,16.673477,720
2008-01-10,35.372501,36.122501,35.372501,35.875000,16.909142,200
2008-01-11,35.700001,36.122501,35.125000,35.375000,16.673477,4000
2008-01-14,35.375000,36.470001,35.299999,36.424999,17.168377,40
2008-01-15,36.049999,36.049999,34.250000,34.500000,16.261055,360
2008-01-16,34.512501,34.512501,33.250000,33.427502,15.755552,3560
2008-01-17,33.502499,34.000000,31.612499,32.500000,15.318386,32640
2008-01-18,32.872501,33.282501,31.750000,32.500000,15.318386,760
2008-01-21,30.250000,32.494999,29.987499,30.712500,14.475874,160480
2008-01-22,30.250000,34.097500,30.250000,33.625000,15.848640,1360
2008-01-23,32.250000,32.500000,31.375000,31.827499,15.001415,80
2008-01-24,32.750000,33.122501,32.250000,32.250000,15.200553,4012
