Date,Open,High,Low,Close,Adj Close,Volume
2010-08-30,8.650000,8.650000,8.630000,8.630000,5.918077,200
2010-08-31,null,null,null,null,null,null
2010-09-01,null,null,null,null,null,null
2010-09-02,null,null,null,null,null,null
2010-09-03,null,null,null,null,null,null
2010-09-06,null,null,null,null,null,null
2010-09-08,null,null,null,null,null,null
2010-09-09,null,null,null,null,null,null
2010-09-10,null,null,null,null,null,null
2010-09-13,8.900000,8.900000,8.900000,8.900000,6.103230,300
2010-09-14,8.700000,8.700000,8.650000,8.650000,5.931791,2800
2010-09-15,8.650000,8.700000,8.600000,8.600000,5.897504,1800
2010-09-16,8.570000,8.570000,8.510000,8.510000,5.835786,3300
2010-09-17,8.510000,8.610000,8.500000,8.610000,5.904361,2000
2010-09-20,8.700000,8.700000,8.360000,8.360000,5.732922,104
2010-09-21,8.600000,8.700000,8.450000,8.700000,5.966080,700
2010-09-22,8.700000,8.800000,8.700000,8.800000,6.034655,200
2010-09-23,8.500000,8.600000,8.450000,8.600000,5.897504,2500
2010-09-24,8.700000,8.800000,8.700000,8.800000,6.034655,200
2010-09-27,8.900000,8.900000,8.750000,8.750000,6.000368,200
2010-09-28,8.600000,8.900000,8.600000,8.900000,6.103230,1900
2010-09-29,8.990000,8.990000,8.990000,8.990000,6.164949,100
2010-09-30,8.990000,9.200000,8.750000,9.190000,6.302101,2500
2010-10-01,9.000000,9.000000,8.700000,8.700000,5.966080,2200
2010-10-04,9.000000,9.000000,9.000000,9.000000,6.171807,100
2010-10-05,8.800000,8.800000,8.620000,8.620000,5.911219,1900
2010-10-06,8.730000,8.730000,8.600000,8.600000,5.897504,3100
2010-10-07,8.510000,8.700000,8.510000,8.510000,5.835786,0
2010-10-08,8.700000,8.700000,8.700000,8.700000,5.966080,100
2010-10-11,null,null,null,null,null,null
2010-10-13,8.800000,8.800000,8.510000,8.790000,6.027798,500
2010-10-14,null,null,null,null,null,null
2010-10-15,null,null,null,null,null,null
2010-10-18,8.750000,8.800000,8.750000,8.750000,6.000368,700
2010-10-19,8.530000,8.550000,8.510000,8.520000,5.842644,2900
2010-10-20,8.700000,8.700000,8.530000,8.700000,5.966080,400
2010-10-21,8.550000,8.550000,8.300000,8.350000,5.726065,7300
2010-10-22,8.400000,8.500000,8.400000,8.500000,5.828928,300
2010-10-25,8.500000,8.500000,8.360000,8.360000,5.732922,3900
2010-10-26,8.360000,8.500000,8.350000,8.500000,5.828928,600
2010-10-27,8.600000,8.700000,8.600000,8.700000,5.966080,200
2010-10-28,8.800000,8.880000,8.500000,8.880000,6.089516,300
2010-10-29,8.500000,8.750000,8.400000,8.750000,6.000368,1200
2010-11-01,8.700000,8.800000,8.700000,8.800000,6.034655,200
2010-11-03,8.800000,8.800000,8.510000,8.690000,5.959222,700
2010-11-04,8.500000,8.500000,8.410000,8.410000,5.767210,500
2010-11-05,8.410000,8.410000,8.410000,8.410000,5.767210,100
2010-11-08,8.400000,8.400000,8.350000,8.350000,5.726065,6500
2010-11-09,8.320000,8.320000,8.320000,8.320000,5.705492,700
2010-11-10,8.600000,8.900000,8.550000,8.900000,6.103230,1700
2010-11-11,8.600000,9.100000,8.600000,9.100000,6.240383,31000
2010-11-12,9.100000,9.100000,9.000000,9.000000,6.171807,200
2010-11-16,null,null,null,null,null,null
2010-11-17,8.900000,8.900000,8.900000,8.900000,6.103230,100
2010-11-18,null,null,null,null,null,null
2010-11-19,8.800000,8.800000,8.800000,8.800000,6.034655,100
2010-11-22,8.700000,8.700000,8.700000,8.700000,5.966080,1900
2010-11-23,null,null,null,null,null,null
2010-11-24,null,null,null,null,null,null
2010-11-25,null,null,null,null,null,null
2010-11-26,8.600000,8.600000,8.600000,8.600000,5.897504,100
2010-11-29,8.530000,8.690000,8.520000,8.690000,5.959222,1100
2010-11-30,8.690000,8.700000,8.690000,8.700000,5.966080,1100
2010-12-01,8.690000,8.700000,8.500000,8.500000,5.828928,4700
2010-12-02,8.500000,8.690000,8.300000,8.690000,5.959222,3400
2010-12-03,8.690000,8.700000,8.690000,8.700000,5.966080,26600
2010-12-06,8.700000,8.700000,8.700000,8.700000,5.966080,2000
2010-12-07,8.700000,8.700000,8.700000,8.700000,5.966080,200
2010-12-08,8.690000,8.690000,8.690000,8.690000,5.959222,200
2010-12-09,8.500000,8.650000,8.500000,8.500000,5.828928,1200
2010-12-10,8.400000,8.900000,8.400000,8.900000,6.103230,1400
2010-12-13,8.500000,8.900000,8.300000,8.500000,5.828928,3800
2010-12-14,null,null,null,null,null,null
2010-12-15,8.500000,8.500000,8.500000,8.500000,5.828928,100
2010-12-16,8.400000,8.700000,8.310000,8.700000,5.966080,10600
2010-12-17,null,null,null,null,null,null
2010-12-20,8.700000,8.700000,8.400000,8.400000,5.760352,400
2010-12-21,8.600000,8.800000,8.600000,8.800000,6.034655,2000
2010-12-22,8.880000,8.880000,8.880000,8.880000,6.089516,200
2010-12-23,null,null,null,null,null,null
2010-12-27,8.800000,8.800000,8.800000,8.800000,6.034655,200
2010-12-28,8.500000,8.790000,8.500000,8.790000,6.027798,400
2010-12-29,8.790000,8.800000,8.790000,8.800000,6.034655,400
2010-12-30,null,null,null,null,null,null
2011-01-03,8.700000,8.700000,8.500000,8.700000,5.966080,1400
2011-01-04,8.440000,8.700000,8.390000,8.700000,5.966080,4000
2011-01-05,8.600000,8.700000,8.390000,8.690000,5.959222,3400
2011-01-06,null,null,null,null,null,null
2011-01-07,null,null,null,null,null,null
2011-01-10,null,null,null,null,null,null
2011-01-11,null,null,null,null,null,null
2011-01-12,null,null,null,null,null,null
2011-01-13,8.500000,8.500000,8.500000,8.500000,5.828928,200
2011-01-14,8.500000,8.620000,8.500000,8.620000,5.911219,700
2011-01-17,8.500000,8.640000,8.400000,8.640000,5.924935,1000
2011-01-18,null,null,null,null,null,null
2011-01-19,8.400000,8.550000,8.350000,8.540000,5.856358,4300
2011-01-20,8.540000,8.540000,8.540000,8.540000,5.856358,300
2011-01-21,8.550000,8.550000,8.550000,8.550000,5.863216,300
2011-01-24,8.550000,8.670000,8.550000,8.670000,5.945507,5900
2011-01-26,8.670000,8.670000,8.350000,8.650000,5.931791,3500
2011-01-27,8.670000,8.750000,8.670000,8.750000,6.000368,15200
2011-01-28,null,null,null,null,null,null
2011-01-31,null,null,null,null,null,null
2011-02-01,null,null,null,null,null,null
2011-02-02,8.700000,8.840000,8.700000,8.840000,6.062086,2400
2011-02-03,null,null,null,null,null,null
2011-02-04,8.700000,8.700000,8.600000,8.600000,5.897504,300
2011-02-07,null,null,null,null,null,null
2011-02-08,8.500000,8.500000,8.500000,8.500000,5.828928,100
2011-02-09,8.500000,8.600000,8.400000,8.600000,5.897504,700
2011-02-10,8.410000,8.600000,8.410000,8.600000,5.897504,200
2011-02-11,8.410000,8.590000,8.400000,8.400000,5.760352,800
2011-02-14,8.360000,8.500000,8.350000,8.500000,5.828928,700
2011-02-15,8.580000,8.580000,8.580000,8.580000,5.883789,100
2011-02-16,null,null,null,null,null,null
2011-02-17,8.500000,8.500000,8.500000,8.500000,5.828928,100
2011-02-18,8.450000,8.580000,8.440000,8.580000,5.883789,1500
2011-02-21,null,null,null,null,null,null
2011-02-22,8.480000,8.580000,8.480000,8.580000,5.883789,200
2011-02-23,8.570000,8.800000,8.570000,8.800000,6.034655,4600
2011-02-24,null,null,null,null,null,null
2011-02-25,8.800000,8.880000,8.700000,8.880000,6.089516,1400
2011-02-28,8.880000,8.950000,8.880000,8.950000,6.137518,1100
