Date,Open,High,Low,Close,Adj Close,Volume
2017-03-07,4.080000,4.080000,4.080000,4.080000,4.030555,0
2017-03-08,null,null,null,null,null,null
2017-03-09,null,null,null,null,null,null
2017-03-10,null,null,null,null,null,null
2017-03-13,null,null,null,null,null,null
2017-03-14,null,null,null,null,null,null
2017-03-15,null,null,null,null,null,null
2017-03-16,null,null,null,null,null,null
2017-03-17,null,null,null,null,null,null
2017-03-20,null,null,null,null,null,null
2017-03-21,null,null,null,null,null,null
2017-03-22,null,null,null,null,null,null
2017-03-23,null,null,null,null,null,null
2017-03-24,null,null,null,null,null,null
2017-03-27,null,null,null,null,null,null
2017-03-28,null,null,null,null,null,null
2017-03-29,null,null,null,null,null,null
2017-03-30,null,null,null,null,null,null
2017-03-31,null,null,null,null,null,null
2017-04-03,null,null,null,null,null,null
2017-04-04,null,null,null,null,null,null
2017-04-05,null,null,null,null,null,null
2017-04-06,null,null,null,null,null,null
2017-04-07,null,null,null,null,null,null
2017-04-10,null,null,null,null,null,null
2017-04-11,null,null,null,null,null,null
2017-04-12,null,null,null,null,null,null
2017-04-13,4.010000,4.010000,4.010000,4.010000,3.961403,100
2017-04-17,4.010000,4.010000,4.010000,4.010000,3.961403,0
2017-04-18,4.010000,4.010000,4.010000,4.010000,3.961403,0
2017-04-19,4.010000,4.010000,4.010000,4.010000,3.961403,0
2017-04-20,4.010000,4.010000,4.010000,4.010000,3.961403,0
2017-04-24,4.010000,4.010000,4.010000,4.010000,3.961403,0
2017-04-25,4.010000,4.010000,4.010000,4.010000,3.961403,0
2017-04-26,4.010000,4.010000,4.010000,4.010000,4.010000,0
2017-04-27,4.010000,4.010000,4.010000,4.010000,4.010000,0
2017-04-28,4.010000,4.010000,4.010000,4.010000,4.010000,0
2017-05-02,4.010000,4.010000,4.010000,4.010000,4.010000,0
2017-05-03,4.010000,4.010000,4.010000,4.010000,4.010000,100
2017-05-04,4.010000,4.010000,4.010000,4.010000,4.010000,0
2017-05-05,null,null,null,null,null,null
2017-05-08,null,null,null,null,null,null
2017-05-09,null,null,null,null,null,null
2017-05-10,4.010000,4.010000,4.010000,4.010000,4.010000,0
2017-05-11,null,null,null,null,null,null
2017-05-12,null,null,null,null,null,null
2017-05-15,null,null,null,null,null,null
2017-05-16,null,null,null,null,null,null
2017-05-17,null,null,null,null,null,null
2017-05-18,null,null,null,null,null,null
2017-05-19,null,null,null,null,null,null
2017-05-22,null,null,null,null,null,null
2017-05-23,null,null,null,null,null,null
2017-05-24,null,null,null,null,null,null
2017-05-25,null,null,null,null,null,null
2017-05-26,null,null,null,null,null,null
2017-05-29,null,null,null,null,null,null
2017-05-30,null,null,null,null,null,null
2017-05-31,null,null,null,null,null,null
2017-06-01,null,null,null,null,null,null
2017-06-02,null,null,null,null,null,null
2017-06-05,null,null,null,null,null,null
2017-06-06,null,null,null,null,null,null
2017-06-07,null,null,null,null,null,null
2017-06-08,4.010000,4.010000,4.010000,4.010000,4.010000,0
2017-06-09,null,null,null,null,null,null
2017-06-12,4.020000,4.020000,4.020000,4.020000,4.020000,400
2017-06-13,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-06-14,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-06-15,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-06-16,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-06-19,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-06-20,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-06-21,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-06-22,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-06-23,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-06-26,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-06-27,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-06-28,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-06-29,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-06-30,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-07-03,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-07-04,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-07-05,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-07-06,4.020000,4.020000,4.020000,4.020000,4.020000,0
2017-07-07,4.020000,4.020000,4.020000,4.020000,4.020000,0
