Date,Open,High,Low,Close,Adj Close,Volume
2010-08-30,187.906998,187.906998,187.608994,187.707993,187.707993,43
2010-08-31,null,null,null,null,null,null
2010-09-01,null,null,null,null,null,null
2010-09-02,null,null,null,null,null,null
2010-09-03,null,null,null,null,null,null
2010-09-06,null,null,null,null,null,null
2010-09-08,null,null,null,null,null,null
2010-09-09,null,null,null,null,null,null
2010-09-10,null,null,null,null,null,null
2010-09-13,null,null,null,null,null,null
2010-09-14,187.906998,187.906998,186.419006,187.906998,187.906998,131
2010-09-15,186.429001,187.707993,186.429001,187.410995,187.410995,121
2010-09-16,187.421005,187.421005,187.410995,187.410995,187.410995,128
2010-09-17,187.410995,188.848999,187.410995,187.410995,187.410995,721
2010-09-20,null,null,null,null,null,null
2010-09-21,187.529999,187.529999,187.421005,187.421005,187.421005,340
2010-09-22,188.888000,188.888000,187.410995,188.888000,188.888000,152
2010-09-23,188.888000,188.888000,187.421005,187.421005,187.421005,93
2010-09-24,187.421005,187.421005,187.421005,187.421005,187.421005,13
2010-09-27,186.429001,188.888000,186.429001,188.888000,188.888000,120
2010-09-28,187.410995,188.878006,187.410995,188.878006,188.878006,25
2010-09-29,188.878006,188.897995,188.878006,188.897995,188.897995,118
2010-09-30,188.897995,190.376007,188.897995,189.393997,189.393997,408
2010-10-01,188.401993,188.401993,186.914993,186.914993,186.914993,208
2010-10-04,186.449005,186.914993,186.449005,186.914993,186.914993,7
2010-10-05,188.401993,188.401993,188.401993,188.401993,188.401993,50
2010-10-06,188.938004,188.938004,188.401993,188.401993,188.401993,43
2010-10-07,188.401993,188.401993,186.925003,186.925003,186.925003,164
2010-10-08,188.401993,188.938004,186.925003,187.162994,187.162994,154
2010-10-11,187.162994,188.401993,186.914993,188.401993,188.401993,29
2010-10-13,188.401993,188.878006,186.925003,188.878006,188.878006,94
2010-10-14,188.878006,188.878006,188.878006,188.878006,188.878006,2
2010-10-15,188.888000,188.888000,187.421005,187.421005,187.421005,253
2010-10-18,188.878006,188.878006,187.410995,187.421005,187.421005,138
2010-10-19,188.878006,188.878006,186.964996,186.964996,186.964996,291
2010-10-20,188.779007,188.779007,188.779007,188.779007,188.779007,114
2010-10-21,null,null,null,null,null,null
2010-10-22,null,null,null,null,null,null
2010-10-25,188.897995,188.897995,188.897995,188.897995,188.897995,45
2010-10-26,188.897995,188.947998,188.798996,188.947998,188.947998,234
2010-10-27,188.927994,188.927994,188.927994,188.927994,188.927994,16
2010-10-28,188.947998,188.996994,188.947998,188.996994,188.996994,379
2010-10-29,190.386002,190.386002,190.386002,190.386002,190.386002,1
2010-11-01,189.037003,189.393997,188.412003,188.412003,188.412003,237
2010-11-03,190.386002,190.386002,190.386002,190.386002,190.386002,98
2010-11-04,190.386002,203.276001,190.386002,203.276001,203.276001,39
2010-11-05,193.360001,198.317993,193.360001,198.307999,198.307999,48
2010-11-08,198.317993,198.317993,190.880997,193.360001,193.360001,110
2010-11-09,194.362000,195.343002,194.352005,194.352005,194.352005,92
2010-11-10,null,null,null,null,null,null
2010-11-11,196.335007,203.156998,196.335007,203.156998,203.156998,10
2010-11-12,null,null,null,null,null,null
2010-11-16,202.285004,203.156998,194.858002,194.858002,194.858002,40
2010-11-17,199.309998,201.292999,193.459000,201.292999,201.292999,21
2010-11-18,193.459000,198.317993,193.459000,198.317993,198.317993,101
2010-11-19,198.317993,198.317993,198.317993,198.317993,198.317993,3
2010-11-22,198.317993,198.317993,190.494995,190.494995,190.494995,155
2010-11-23,198.317993,198.317993,197.326996,198.317993,198.317993,195
2010-11-24,197.326996,198.317993,197.326996,198.317993,198.317993,74
2010-11-25,198.317993,198.317993,198.317993,198.317993,198.317993,33
2010-11-26,191.436996,198.317993,191.436996,198.317993,198.317993,3
2010-11-29,198.317993,198.317993,198.317993,198.317993,198.317993,4
2010-11-30,196.335007,201.283005,196.335007,201.283005,201.283005,122
2010-12-01,201.292999,201.292999,198.317993,200.796997,200.796997,98
2010-12-02,198.317993,199.934998,198.317993,199.934998,199.934998,190
2010-12-03,198.813995,200.300995,193.369995,199.309998,199.309998,530
2010-12-06,null,null,null,null,null,null
2010-12-07,198.317993,198.317993,197.822006,198.317993,198.317993,64
2010-12-08,198.317993,198.317993,198.317993,198.317993,198.317993,97
2010-12-09,200.300995,200.796997,200.300995,200.796997,200.796997,161
2010-12-10,198.317993,200.300995,198.317993,198.317993,198.317993,269
2010-12-13,200.201996,200.201996,198.317993,198.317993,198.317993,469
2010-12-14,null,null,null,null,null,null
2010-12-15,200.201996,200.201996,195.343002,199.309998,199.309998,177
2010-12-16,200.201996,200.201996,200.201996,200.201996,200.201996,113
2010-12-17,200.201996,200.201996,200.201996,200.201996,200.201996,76
2010-12-20,200.201996,200.201996,199.309998,199.309998,199.309998,194
2010-12-21,200.003998,200.003998,200.003998,200.003998,200.003998,1
2010-12-22,200.003998,200.054001,200.003998,200.054001,200.054001,66
2010-12-23,200.102997,200.102997,200.102997,200.102997,200.102997,51
2010-12-27,200.102997,200.102997,197.921997,197.921997,197.921997,157
2010-12-28,null,null,null,null,null,null
2010-12-29,200.300995,200.300995,198.317993,200.292007,200.292007,189
2010-12-30,200.292007,200.401001,198.912994,198.912994,198.912994,95
2011-01-03,200.300995,200.300995,197.425995,197.425995,197.425995,50
2011-01-04,null,null,null,null,null,null
2011-01-05,200.300995,200.300995,198.317993,198.317993,198.317993,204
2011-01-06,201.194000,201.194000,198.367996,201.194000,201.194000,13
2011-01-07,198.317993,200.201996,198.317993,198.317993,198.317993,31
2011-01-10,200.201996,200.201996,198.516998,198.516998,198.516998,97
2011-01-11,198.516998,200.201996,198.516998,199.309998,199.309998,142
2011-01-12,200.201996,200.201996,200.201996,200.201996,200.201996,3
2011-01-13,199.806000,200.201996,199.806000,200.201996,200.201996,66
2011-01-14,200.072998,200.201996,198.516998,200.201996,200.201996,195
2011-01-17,200.201996,200.201996,199.309998,199.507996,199.507996,31
2011-01-18,199.606995,199.606995,198.317993,198.317993,198.317993,143
2011-01-19,198.307999,198.317993,198.307999,198.317993,198.317993,52
2011-01-20,198.317993,198.317993,197.832001,197.852005,197.852005,164
2011-01-21,198.317993,198.317993,198.317993,198.317993,198.317993,6
2011-01-24,198.317993,198.317993,198.317993,198.317993,198.317993,23
