Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,213.705994,216.807007,213.031998,214.110001,210.956146,51457
2007-01-03,214.042999,216.740005,209.660995,212.358002,209.229935,74894
2007-01-04,211.345993,217.751007,209.727997,217.414001,214.211456,69035
2007-01-05,217.682999,222.401993,211.009003,212.695007,209.562012,33791
2007-01-08,215.660995,218.425003,212.358002,213.705994,210.558075,64540
2007-01-09,215.727997,215.727997,202.919006,214.380005,211.222168,89312
2007-01-10,214.042999,214.042999,208.313004,209.660995,206.572662,16154
2007-01-11,209.660995,211.615997,206.761993,208.380005,205.310547,36431
2007-01-12,208.380005,212.020004,207.098999,207.369003,204.314438,80857
2007-01-15,212.289993,212.289993,203.257004,203.998001,200.993088,24297
2007-01-16,203.257004,203.257004,195.772995,200.830002,197.871750,65089
2007-01-17,202.244995,204.199997,198.199997,199.548996,196.609634,40822
2007-01-18,200.695007,200.897003,191.391006,192.132996,189.302841,91701
2007-01-19,191.459000,199.212006,191.391006,198.740005,195.812546,44827
2007-01-22,199.886002,202.042999,195.503998,198.942001,196.011566,13869
2007-01-23,199.414001,199.751007,194.964005,198.875000,195.945541,47170
2007-01-24,199.548996,206.358002,199.212006,204.604996,201.591141,58370
2007-01-26,204.604996,217.009003,200.559998,217.009003,213.812454,53490
2007-01-29,216.470001,217.345993,209.391006,211.009003,207.900818,37024
2007-01-30,216.470001,217.345993,209.188995,209.391006,206.306641,37188
2007-01-31,208.852005,208.987000,202.582001,208.987000,205.908600,65430
2007-02-01,212.358002,213.369003,208.987000,212.358002,209.229935,91968
2007-02-02,212.358002,215.796005,212.020004,215.660995,212.484283,49069
2007-02-05,212.020004,212.358002,209.324005,211.009003,207.900818,8885
2007-02-06,211.076996,213.705994,209.324005,210.873993,207.767807,27813
2007-02-07,211.345993,211.345993,204.671997,208.716995,205.642548,47882
2007-02-08,211.009003,211.076996,206.964005,208.313004,205.244553,5711
2007-02-09,208.313004,211.682999,202.244995,208.987000,205.908600,55106
2007-02-12,208.987000,213.705994,208.785004,208.987000,205.908600,25825
2007-02-13,208.987000,219.098999,207.639008,219.098999,215.871643,33746
2007-02-14,208.987000,219.098999,207.639008,218.087997,214.875519,33776
2007-02-15,217.076996,221.796005,215.727997,219.098999,215.871643,11273
2007-02-16,220.110001,224.897003,219.098999,224.897003,221.584244,6586
2007-02-21,224.897003,242.626999,224.897003,237.300995,233.805527,33746
2007-02-22,235.953003,241.345993,225.841003,229.143997,225.768677,31402
2007-02-23,229.143997,229.143997,219.841003,222.807007,219.525040,126648
