Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,225.000000,225.000000,225.000000,225.000000,225.000000,0
2007-01-03,210.000000,210.000000,210.000000,210.000000,210.000000,0
2007-01-04,210.000000,210.000000,210.000000,210.000000,210.000000,3000
2007-01-05,null,null,null,null,null,null
2007-01-08,210.000000,210.000000,210.000000,210.000000,210.000000,0
2007-01-09,210.000000,210.000000,210.000000,210.000000,210.000000,1000
2007-01-10,180.000000,180.000000,180.000000,180.000000,180.000000,10000
2007-01-11,190.000000,190.000000,190.000000,190.000000,190.000000,0
2007-01-12,180.000000,180.000000,180.000000,180.000000,180.000000,0
2007-01-15,null,null,null,null,null,null
2007-01-16,180.100006,180.100006,180.100006,180.100006,180.100006,0
2007-01-17,null,null,null,null,null,null
2007-01-18,null,null,null,null,null,null
2007-01-19,null,null,null,null,null,null
2007-01-22,180.000000,180.000000,180.000000,180.000000,180.000000,0
2007-01-23,200.000000,200.000000,200.000000,200.000000,200.000000,0
2007-01-24,200.000000,200.000000,200.000000,200.000000,200.000000,2000
2007-01-26,181.000000,181.000000,181.000000,181.000000,181.000000,2
2007-01-29,null,null,null,null,null,null
2007-01-30,181.100006,181.100006,181.100006,181.100006,181.100006,9000
2007-01-31,null,null,null,null,null,null
2007-02-01,null,null,null,null,null,null
2007-02-02,null,null,null,null,null,null
2007-02-05,181.100006,181.100006,181.100006,181.100006,181.100006,0
2007-02-06,181.100006,181.100006,181.100006,181.100006,181.100006,0
2007-02-07,181.100006,181.100006,181.100006,181.100006,181.100006,0
2007-02-08,181.100006,181.100006,181.100006,181.100006,181.100006,0
2007-02-09,181.100006,181.100006,181.100006,181.100006,181.100006,0
2007-02-12,181.100006,181.100006,181.100006,181.100006,181.100006,2000
2007-02-13,181.100006,181.100006,181.100006,181.100006,181.100006,47000
2007-02-14,181.100006,181.100006,181.100006,181.100006,181.100006,47
2007-02-15,181.100006,181.100006,181.100006,181.100006,181.100006,17
2007-02-16,181.100006,181.100006,181.100006,181.100006,181.100006,17
2007-02-21,181.100006,181.100006,181.100006,181.100006,181.100006,0
2007-02-22,181.100006,181.100006,181.100006,181.100006,181.100006,0
2007-02-23,181.100006,181.100006,181.100006,181.100006,181.100006,0
2007-02-26,181.100006,181.100006,181.100006,181.100006,181.100006,4000
2007-02-27,181.100006,181.100006,181.100006,181.100006,181.100006,4
2007-02-28,181.100006,181.100006,181.100006,181.100006,181.100006,8000
2007-03-01,null,null,null,null,null,null
2007-03-02,null,null,null,null,null,null
2007-03-05,181.100006,181.100006,181.100006,181.100006,181.100006,0
2007-03-06,null,null,null,null,null,null
2007-03-07,null,null,null,null,null,null
2007-03-08,null,null,null,null,null,null
2007-03-09,181.100006,181.100006,181.100006,181.100006,181.100006,0
2007-03-12,null,null,null,null,null,null
2007-03-13,181.100006,181.100006,181.100006,181.100006,181.100006,0
