Date,Open,High,Low,Close,Adj Close,Volume
2015-05-29,68.269997,68.730003,68.269997,68.489998,68.489998,12670
2015-06-01,null,null,null,null,null,null
2015-06-02,67.559998,67.610001,67.470001,67.500000,67.500000,14210
2015-06-03,67.470001,67.639999,67.269997,67.639999,67.639999,700
2015-06-05,67.559998,67.559998,67.300003,67.339996,67.339996,72920
2015-06-08,66.500000,66.639999,65.989998,65.989998,65.989998,4610
2015-06-09,65.500000,65.959999,65.500000,65.760002,65.760002,68600
2015-06-10,65.550003,66.970001,65.550003,66.919998,66.919998,22450
2015-06-11,68.019997,68.309998,66.699997,66.699997,66.699997,10120
2015-06-12,66.690002,66.730003,66.500000,66.730003,66.730003,16540
2015-06-15,null,null,null,null,null,null
2015-06-16,null,null,null,null,null,null
2015-06-17,null,null,null,null,null,null
2015-06-18,null,null,null,null,null,null
2015-06-19,66.480003,66.910004,66.480003,66.900002,66.900002,86580
2015-06-22,66.769997,66.870003,66.690002,66.870003,66.870003,8470
2015-06-23,67.449997,67.599998,66.650002,66.650002,66.650002,10180
2015-06-24,66.599998,66.750000,66.559998,66.559998,66.559998,16340
2015-06-25,66.500000,67.019997,66.500000,66.660004,66.660004,360
2015-06-26,67.019997,67.169998,66.860001,67.099998,67.099998,18380
2015-06-29,66.580002,66.580002,65.470001,65.510002,65.510002,56820
2015-06-30,65.410004,65.739998,65.309998,65.500000,65.500000,15600
2015-07-01,65.900002,68.000000,65.900002,66.699997,66.699997,38400
2015-07-02,66.500000,66.500000,65.570000,65.580002,65.580002,12810
2015-07-03,66.540001,66.900002,66.309998,66.900002,66.900002,13730
2015-07-06,65.839996,66.519997,65.839996,66.389999,66.389999,51720
2015-07-07,66.940002,67.629997,66.690002,67.629997,67.629997,40720
2015-07-08,68.019997,68.019997,67.580002,67.599998,67.599998,1780
2015-07-10,67.599998,67.620003,67.029999,67.110001,67.110001,8930
2015-07-13,67.620003,67.709999,66.529999,66.529999,66.529999,8800
2015-07-14,null,null,null,null,null,null
2015-07-15,67.959999,68.099998,67.410004,67.440002,67.440002,70360
2015-07-16,68.199997,68.370003,68.110001,68.250000,68.250000,12700
2015-07-17,null,null,null,null,null,null
2015-07-20,null,null,null,null,null,null
2015-07-21,69.230003,69.440002,68.500000,68.629997,68.629997,23490
2015-07-22,null,null,null,null,null,null
2015-07-23,null,null,null,null,null,null
2015-07-24,71.300003,71.470001,70.930000,71.000000,71.000000,49440
2015-07-27,70.800003,71.120003,70.800003,70.900002,70.900002,4660
2015-07-28,71.400002,73.050003,71.370003,72.040001,72.040001,9200
2015-07-29,71.849998,71.849998,71.550003,71.599998,71.599998,27800
2015-07-30,72.000000,72.800003,72.000000,72.599998,72.599998,53560
2015-07-31,72.440002,73.589996,72.440002,73.459999,73.459999,17420
2015-08-03,74.300003,74.300003,73.589996,73.680000,73.680000,31180
2015-08-04,74.400002,74.519997,73.849998,73.910004,73.910004,83150
2015-08-05,75.180000,75.379997,74.690002,74.739998,74.739998,24260
2015-08-06,75.129997,75.800003,74.910004,75.330002,75.330002,15800
2015-08-07,75.070000,75.150002,74.199997,74.480003,74.480003,47830
2015-08-10,74.660004,74.660004,73.879997,73.879997,73.879997,840
2015-08-11,74.699997,74.970001,74.419998,74.500000,74.500000,46460
