Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,1.600000,1.600000,1.600000,1.600000,0.528530,0
2007-01-03,1.200000,1.200000,1.200000,1.200000,0.396398,0
2007-01-04,1.200000,1.200000,1.200000,1.200000,0.396398,0
2007-01-05,1.320000,1.320000,1.320000,1.320000,0.436038,0
2007-01-08,1.320000,1.320000,1.320000,1.320000,0.436038,15000
2007-01-09,1.100000,1.100000,1.100000,1.100000,0.363365,0
2007-01-10,1.200000,1.200000,1.200000,1.200000,0.396398,1500
2007-01-11,1.598000,1.598000,1.598000,1.598000,0.527870,2000
2007-01-12,1.220000,1.220000,1.220000,1.220000,0.403004,0
2007-01-15,1.598000,1.598000,1.598000,1.598000,0.527870,6500
2007-01-16,1.598000,1.598000,1.598000,1.598000,0.527870,0
2007-01-17,1.598000,1.598000,1.598000,1.598000,0.527870,0
2007-01-18,1.600000,1.600000,1.600000,1.600000,0.528530,3000
2007-01-19,1.600000,1.600000,1.600000,1.600000,0.528530,0
2007-01-22,1.240000,1.240000,1.240000,1.240000,0.409611,0
2007-01-23,1.400000,1.400000,1.400000,1.400000,0.462464,0
2007-01-24,1.400000,1.400000,1.400000,1.400000,0.462464,0
2007-01-26,1.400000,1.400000,1.300000,1.300000,0.429431,0
2007-01-29,1.240000,1.240000,1.240000,1.240000,0.409611,0
2007-01-30,1.600000,1.600000,1.600000,1.600000,0.528530,3000
2007-01-31,1.600000,1.600000,1.600000,1.600000,0.528530,0
2007-02-01,1.220000,1.220000,1.220000,1.220000,0.403004,0
2007-02-02,1.220000,1.220000,1.220000,1.220000,0.403004,0
2007-02-05,1.590000,1.590000,1.590000,1.590000,0.525227,10500
2007-02-06,1.596000,1.596000,1.596000,1.596000,0.527209,3000
2007-02-07,1.596000,1.596000,1.596000,1.596000,0.527209,3000
2007-02-08,1.596000,1.596000,1.596000,1.596000,0.527209,3000
2007-02-09,1.220000,1.220000,1.220000,1.220000,0.403004,0
2007-02-12,1.800000,1.800000,1.800000,1.800000,0.594597,2500
2007-02-13,1.800000,1.800000,1.800000,1.800000,0.594597,4000
2007-02-14,1.600000,1.600000,1.600000,1.600000,0.528530,1000
2007-02-15,1.600000,1.600000,1.600000,1.600000,0.528530,1000
2007-02-16,1.202000,1.202000,1.202000,1.202000,0.397058,0
2007-02-21,1.202000,1.202000,1.202000,1.202000,0.397058,0
2007-02-22,1.600000,1.600000,1.600000,1.600000,0.528530,1500
2007-02-23,1.202000,1.202000,1.202000,1.202000,0.397058,0
2007-02-26,1.620000,1.620000,1.620000,1.620000,0.535137,3000
2007-02-27,1.300000,1.300000,1.300000,1.300000,0.429431,0
2007-02-28,1.700000,1.700000,1.700000,1.700000,0.561563,500
2007-03-01,1.600000,1.600000,1.600000,1.600000,0.528530,500
2007-03-02,1.360000,1.360000,1.360000,1.360000,0.449251,6000
2007-03-05,1.460000,1.460000,1.460000,1.460000,0.482284,6000
2007-03-06,1.600000,1.600000,1.600000,1.600000,0.528530,500
2007-03-07,1.600000,1.600000,1.600000,1.600000,0.528530,500
2007-03-08,1.600000,1.600000,1.600000,1.600000,0.528530,0
2007-03-09,1.300000,1.300000,1.300000,1.300000,0.429431,0
2007-03-12,1.300000,1.300000,1.300000,1.300000,0.429431,0
2007-03-13,1.430000,1.430000,1.430000,1.430000,0.472374,0
2007-03-14,1.300000,1.300000,1.300000,1.300000,0.429431,0
2007-03-15,1.300000,1.300000,1.300000,1.300000,0.429431,0
2007-03-16,1.590000,1.590000,1.590000,1.590000,0.525227,6000
2007-03-19,1.590000,1.590000,1.590000,1.590000,0.525227,0
2007-03-20,1.600000,1.600000,1.600000,1.600000,0.528530,5000
2007-03-21,1.460000,1.460000,1.460000,1.460000,0.482284,0
2007-03-22,1.460000,1.460000,1.460000,1.460000,0.482284,0
2007-03-23,1.056000,1.056000,1.056000,1.056000,0.348830,0
2007-03-26,1.700000,1.700000,1.700000,1.700000,0.561563,0
2007-03-27,1.100000,1.100000,1.100000,1.100000,0.363365,0
2007-03-28,1.600000,1.600000,1.600000,1.600000,0.528530,0
2007-03-29,1.100000,1.100000,1.100000,1.100000,0.363365,0
2007-03-30,1.576000,1.576000,1.576000,1.576000,0.520602,0
