Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,5.628280,5.628280,5.628280,5.628280,5.160892,102
2007-01-03,5.525950,5.525950,5.525950,5.525950,5.067060,63
2007-01-04,5.527480,5.527480,5.527480,5.527480,5.068464,74
2007-01-05,5.330490,5.330490,5.330490,5.330490,4.887832,10
2007-01-08,5.500880,5.500880,5.500880,5.500880,5.044072,107
2007-01-09,5.474780,5.474780,5.474780,5.474780,5.020140,21
2007-01-10,5.525440,5.525440,5.525440,5.525440,5.066593,20
2007-01-11,5.423620,5.423620,5.423620,5.423620,4.973228,0
2007-01-12,5.372960,5.372960,5.372960,5.372960,4.926775,0
2007-01-15,5.474780,5.474780,5.474780,5.474780,5.020140,332
2007-01-16,5.577110,5.577110,5.577110,5.577110,5.113973,4
2007-01-17,5.325380,5.325380,5.325380,5.325380,4.883145,0
2007-01-18,5.474780,5.474780,5.474780,5.474780,5.020140,391
2007-01-19,5.270120,5.270120,5.270120,5.270120,4.832475,0
2007-01-22,5.500370,5.500370,5.500370,5.500370,5.043605,20
2007-01-23,5.730610,5.730610,5.730610,5.730610,5.254724,20
2007-01-24,5.730610,5.730610,5.730610,5.730610,5.254724,254
2007-01-26,5.730610,5.781780,5.730610,5.781780,5.301645,21
2007-01-29,5.832950,5.832950,5.832950,5.832950,5.348566,1016
2007-01-30,5.935280,5.935280,5.935280,5.935280,5.442397,102
2007-01-31,5.935280,5.935280,5.935280,5.935280,5.442397,39
2007-02-01,5.909690,5.909690,5.909690,5.909690,5.418934,0
2007-02-02,5.832950,5.832950,5.832950,5.832950,5.348566,0
2007-02-05,5.832950,5.832950,5.832950,5.832950,5.348566,0
2007-02-06,5.832950,5.832950,5.832950,5.832950,5.348566,0
2007-02-07,6.139430,6.139430,6.139430,6.139430,5.629595,98
2007-02-08,5.960860,5.960860,5.960860,5.960860,5.465853,0
2007-02-09,6.139430,6.139430,6.139430,6.139430,5.629595,10
2007-02-12,6.139940,6.139940,6.139940,6.139940,5.630063,39
2007-02-13,6.139940,6.139940,6.139940,6.139940,5.630063,20
2007-02-14,6.165530,6.165530,6.165530,6.165530,5.653527,2
2007-02-15,6.242270,6.242270,6.242270,6.242270,5.723895,385
2007-02-16,6.293440,6.293440,6.293440,6.293440,5.770815,520
2007-02-21,6.293440,6.293440,6.037610,6.037610,5.536231,0
2007-02-22,6.293440,6.293440,6.293440,6.293440,5.770815,752
2007-02-23,6.037610,6.037610,6.037610,6.037610,5.536231,0
2007-02-26,6.293440,6.293440,6.293440,6.293440,5.770815,26775
2007-02-27,5.884110,5.884110,5.884110,5.884110,5.395478,2678
2007-02-28,6.037610,6.037610,6.037610,6.037610,5.536231,1603
2007-03-01,5.986440,5.986440,5.986440,5.986440,5.489310,92
2007-03-02,6.037610,6.037610,6.037610,6.037610,5.536231,784
2007-03-05,6.139940,6.139940,6.139940,6.139940,5.630063,98
2007-03-06,5.372450,5.372450,5.372450,5.372450,4.926307,0
2007-03-07,5.986440,5.986440,5.986440,5.986440,5.489310,919
2007-03-08,5.884110,5.884110,5.884110,5.884110,5.395478,0
2007-03-09,5.628280,5.628280,5.628280,5.628280,5.160892,92
2007-03-12,5.116620,5.116620,5.116620,5.116620,4.691722,0
2007-03-13,5.986440,5.986440,5.986440,5.986440,5.489310,1169
2007-03-14,5.116620,5.116620,5.116620,5.116620,4.691722,1169
2007-03-15,5.986440,5.986440,5.986440,5.986440,5.489310,23
2007-03-16,5.884110,5.884110,5.884110,5.884110,5.395478,2
2007-03-19,5.218950,5.218950,5.218950,5.218950,4.785554,0
2007-03-20,5.167780,5.167780,5.167780,5.167780,4.738632,0
2007-03-21,6.293440,6.293440,6.293440,6.293440,5.770815,2
2007-03-22,6.293440,6.293440,6.293440,6.293440,5.770815,21
2007-03-23,6.292420,6.292420,6.292420,6.292420,5.769881,6
2007-03-26,6.191110,6.191110,6.191110,6.191110,5.676983,0
2007-03-27,6.293440,6.293440,6.293440,6.293440,5.770815,18
2007-03-28,5.884110,5.884110,5.884110,5.884110,5.395478,18
2007-03-29,6.037610,6.037610,6.037610,6.037610,5.536231,0
2007-03-30,6.344610,6.344610,6.344610,6.344610,5.817737,2
2007-04-02,5.935280,5.935280,5.935280,5.935280,5.442397,0
2007-04-03,6.395770,6.395770,6.395770,6.395770,5.864648,10
2007-04-04,6.446940,6.446940,6.446940,6.446940,5.911568,10
2007-04-05,6.498110,6.498110,6.498110,6.498110,5.958489,10
2007-04-09,6.498110,6.498110,6.472520,6.472520,5.935025,16
2007-04-10,6.498110,6.498110,6.498110,6.498110,5.958489,16
2007-04-11,6.498110,6.498110,6.498110,6.498110,5.958489,0
2007-04-12,6.421360,6.421360,6.421360,6.421360,5.888112,0
2007-04-13,6.498110,6.498110,6.498110,6.498110,5.958489,102
2007-04-16,6.498620,6.498620,6.498620,6.498620,5.958958,127
2007-04-17,6.641370,6.641370,6.641370,6.641370,6.089853,391
2007-04-18,6.446940,6.446940,6.446940,6.446940,5.911568,0
2007-04-19,6.523690,6.523690,6.523690,6.523690,5.981945,0
2007-04-20,6.523690,6.523690,6.523690,6.523690,5.981945,0
2007-04-23,6.523690,6.523690,6.523690,6.523690,5.981945,0
2007-04-24,6.523690,6.523690,6.523690,6.523690,5.981945,2
2007-04-25,6.498110,6.498110,6.498110,6.498110,5.958489,4
2007-04-26,6.421360,6.421360,6.421360,6.421360,5.888112,4
2007-04-27,6.421360,6.421360,6.421360,6.421360,5.888112,4
2007-04-30,6.421360,6.421360,6.421360,6.421360,5.888112,0
2007-05-02,6.421360,6.446940,6.421360,6.446940,5.911568,293
2007-05-03,6.446940,6.446940,6.446940,6.446940,5.911568,29
2007-05-04,6.242270,6.242270,6.242270,6.242270,5.723895,8
2007-05-07,6.395770,6.395770,6.395770,6.395770,5.864648,0
2007-05-08,6.446940,6.446940,6.446940,6.446940,5.911568,20
2007-05-09,6.600440,6.600440,6.600440,6.600440,6.052321,59
2007-05-10,6.626020,6.626020,6.626020,6.626020,6.075777,6
2007-05-11,6.651600,6.651600,6.651600,6.651600,6.099232,23
2007-05-14,6.753940,6.753940,6.753940,6.753940,6.193074,12
2007-05-15,6.753940,6.753940,6.753940,6.753940,6.193074,12
2007-05-16,6.902320,6.902320,6.902320,6.902320,6.329132,21
2007-05-17,6.958600,6.958600,6.958600,6.958600,6.380738,8
2007-05-18,6.702770,6.702770,6.702770,6.702770,6.146155,0
2007-05-21,6.907440,6.907440,6.907440,6.907440,6.333828,0
2007-05-22,7.060930,7.060930,7.060930,7.060930,6.474572,2
2007-05-23,7.255370,7.255370,7.255370,7.255370,6.652864,39
2007-05-24,6.959110,6.959110,6.959110,6.959110,6.381205,2
