Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,5.636360,5.909090,5.474550,5.818180,2.204492,1912350
2007-01-03,5.781820,5.878180,5.725450,5.790910,2.194159,1865050
2007-01-04,5.749090,6.072730,5.578180,6.072730,2.300941,6424550
2007-01-05,6.000000,6.180000,5.800000,5.890910,2.232049,5430700
2007-01-08,5.776360,6.090910,5.509090,5.776360,2.188647,1881550
2007-01-09,5.807270,5.845450,5.400000,5.618180,2.128713,3542550
2007-01-10,5.727270,5.854550,5.365450,5.727270,2.170047,7064750
2007-01-11,5.727270,5.843640,5.645450,5.763640,2.183828,1140700
2007-01-12,5.763640,5.870910,5.547270,5.636360,2.135601,1537800
2007-01-15,5.672730,5.721820,5.572730,5.636360,2.135601,774400
2007-01-16,5.636360,5.663640,5.590910,5.636360,2.135601,1398650
2007-01-17,5.720000,5.720000,5.483640,5.545450,2.101155,424600
2007-01-18,5.545450,5.781820,5.525450,5.690910,2.156270,2638350
2007-01-19,5.636360,5.990910,5.581820,5.945450,2.252714,5511550
2007-01-22,5.987270,6.090910,5.718180,6.000000,2.273383,3764750
2007-01-23,5.956360,6.000000,5.860000,5.881820,2.228606,1135200
2007-01-24,5.909090,6.081820,5.747270,6.001820,2.274073,5155700
2007-01-26,6.001820,6.001820,5.401820,5.436360,2.059821,10313600
2007-01-29,5.545450,5.600000,5.456360,5.483640,2.077736,7118650
2007-01-30,5.512730,5.572730,5.436360,5.527270,2.094267,7124150
2007-01-31,5.518180,5.518180,5.281820,5.409090,2.049489,8434800
2007-02-01,5.474550,5.590910,5.281820,5.318180,2.015044,4932950
2007-02-02,5.381820,5.507270,5.338180,5.400000,2.046045,4479750
2007-02-05,5.445450,5.500000,5.320000,5.409090,2.049489,2034450
2007-02-06,5.436360,5.609090,5.418180,5.545450,2.101155,3197700
2007-02-07,5.592730,5.609090,5.309090,5.309090,2.011599,4699750
2007-02-08,5.338180,5.400000,5.227270,5.254550,1.990935,7283100
2007-02-09,5.305450,5.305450,5.003640,5.054550,1.915155,9271900
2007-02-12,5.136360,5.209090,4.927270,5.172730,1.959933,7969500
2007-02-13,5.212730,5.361820,5.163640,5.318180,2.015044,10795950
2007-02-14,5.372730,5.400000,5.229090,5.254550,1.990935,10830050
2007-02-15,5.290910,5.400000,5.272730,5.272730,1.997823,7026250
2007-02-16,5.285450,5.358180,5.272730,5.345450,2.025376,1772650
2007-02-21,5.345450,5.345450,5.145450,5.290910,2.004711,4601300
2007-02-22,5.274550,5.507270,5.274550,5.445450,2.063266,8900100
2007-02-23,5.452730,5.576360,5.363640,5.363640,2.032268,3109150
2007-02-26,5.400000,5.550910,5.223640,5.545450,2.101155,4005100
2007-02-27,5.345450,5.483640,5.021820,5.272730,1.997823,4013900
2007-02-28,5.272730,5.434550,5.172730,5.434550,2.059135,3787300
2007-03-01,5.272730,5.325450,5.090910,5.272730,1.997823,3573350
2007-03-02,5.185450,5.223640,5.096360,5.143640,1.948911,7218200
2007-03-05,4.952730,5.072730,4.723640,5.000000,1.894486,10406550
2007-03-06,4.927270,5.120000,4.836360,5.018180,1.901374,11898150
2007-03-07,5.092730,5.127270,4.912730,5.070910,1.921353,6642350
2007-03-08,5.181820,5.245450,5.100000,5.236360,1.984042,4294950
2007-03-09,5.272730,5.345450,5.229090,5.290910,2.004711,4300450
2007-03-12,5.296360,5.360000,5.221820,5.236360,1.984042,1280950
2007-03-13,5.236360,5.236360,4.945450,4.996360,1.893107,3036550
2007-03-14,4.974550,5.090910,4.727270,4.963640,1.880710,2987050
2007-03-15,5.018180,5.054550,4.910910,5.018180,1.901374,1692900
2007-03-16,5.052730,5.181820,4.987270,5.109090,1.935820,2830300
2007-03-19,5.125450,5.136360,5.085450,5.109090,1.935820,3490850
2007-03-20,5.094550,5.109090,4.963640,5.067270,1.919974,2798950
2007-03-21,5.109090,5.109090,4.909090,5.089090,1.928241,9125050
2007-03-22,5.090910,5.090910,4.938180,4.954550,1.877265,4726150
2007-03-23,4.998180,5.063640,4.874550,5.063640,1.918599,4044150
2007-03-26,5.061820,5.125450,4.969090,5.089090,1.928241,8889100
2007-03-27,5.085450,5.085450,4.892730,4.909090,1.860041,5171100
2007-03-28,4.892730,4.905450,4.734550,4.763640,1.804930,8190050
2007-03-29,4.834550,4.865450,4.736360,4.850910,1.837996,10371350
2007-03-30,4.854550,4.909090,4.781820,4.854550,1.839375,3555750
2007-04-02,4.863640,4.963640,4.778180,4.927270,1.866929,7381550
2007-04-03,4.945450,5.163640,4.945450,5.136360,1.946152,8724100
2007-04-04,5.145450,5.381820,5.127270,5.354550,2.028824,7890300
2007-04-05,5.276360,5.463640,5.221820,5.400000,2.046045,4269100
2007-04-09,5.400000,5.436360,5.274550,5.276360,1.999198,2171400
2007-04-10,5.236360,5.363640,5.163640,5.345450,2.025376,3805450
2007-04-11,5.334550,5.343640,5.109090,5.181820,1.963377,2027850
2007-04-12,5.172730,5.181820,5.076360,5.109090,1.935820,4807000
2007-04-13,5.136360,5.178180,5.056360,5.063640,1.918599,3956700
2007-04-16,5.200000,5.278180,5.100000,5.272730,1.997823,7443150
2007-04-17,5.290910,5.454550,5.227270,5.454550,2.066713,7575700
2007-04-18,5.434550,5.534550,5.383640,5.472730,2.073602,3425950
2007-04-19,5.452730,5.452730,5.281820,5.327270,2.018487,3831300
2007-04-20,5.389090,5.454550,5.309090,5.367270,2.033644,4815800
2007-04-23,5.372730,5.436360,5.272730,5.272730,1.997823,2829200
2007-04-24,5.340000,5.518180,5.285450,5.472730,2.073602,7667000
2007-04-25,5.485450,5.541820,5.400000,5.472730,2.073602,3845050
2007-04-26,5.520000,5.521820,5.418180,5.454550,2.066713,3477100
2007-04-27,5.345450,5.563640,5.336360,5.534550,2.097025,4037550
2007-04-30,5.545450,5.636360,5.096360,5.227270,1.980598,14770800
2007-05-02,5.227270,5.663640,5.227270,5.641820,2.137670,11284900
2007-05-03,5.672730,5.745450,5.390910,5.410910,2.050179,11293700
2007-05-04,5.490910,5.536360,5.338180,5.381820,2.039156,11188650
2007-05-07,5.418180,5.472730,5.300000,5.307270,2.010909,2831400
2007-05-08,5.363640,5.365450,5.243640,5.341820,2.024001,4769600
2007-05-09,5.301820,5.490910,5.301820,5.470910,2.072912,4786100
2007-05-10,5.420000,5.581820,5.363640,5.436360,2.059821,4044700
2007-05-11,5.480000,5.545450,5.403640,5.527270,2.094267,4925250
2007-05-14,5.527270,5.583640,5.400000,5.489090,2.079801,3432000
2007-05-15,5.483640,5.685450,5.436360,5.636360,2.135601,4101900
2007-05-16,5.672730,5.818180,5.672730,5.818180,2.204492,5079250
2007-05-17,5.781820,5.936360,5.674550,5.827270,2.207936,4904350
2007-05-18,5.814550,5.945450,5.745450,5.945450,2.252714,2723050
2007-05-21,5.916360,6.109090,5.872730,6.072730,2.300941,5352600
2007-05-22,6.070910,6.089090,5.856360,5.856360,2.218958,3049200
2007-05-23,5.943640,6.010910,5.618180,5.780000,2.190026,5423000
2007-05-24,5.745450,5.814550,5.520000,5.658180,2.143868,3974850
2007-05-25,5.685450,5.810910,5.638180,5.772730,2.187271,2549800
2007-05-28,5.767270,5.998180,5.767270,5.954550,2.256162,2074600
2007-05-29,5.996360,6.052730,5.681820,5.838180,2.212070,5825600
2007-05-30,5.690910,5.807270,5.638180,5.807270,2.200358,4117300
2007-05-31,5.821820,5.998180,5.729090,5.998180,2.272693,2509650
2007-06-01,5.854550,6.018180,5.805450,5.881820,2.228606,5481300
2007-06-04,5.809090,5.907270,5.781820,5.781820,2.190716,3565100
2007-06-05,5.818180,5.878180,5.672730,5.672730,2.149381,4980800
2007-06-06,5.798180,5.798180,5.634550,5.692730,2.156960,8681750
2007-06-08,5.798180,5.889090,5.365450,5.872730,2.225161,13899050
2007-06-11,5.845450,5.905450,5.745450,5.905450,2.237558,2002550
2007-06-12,5.818180,5.905450,5.623640,5.661820,2.145248,2013550
2007-06-13,5.761820,5.805450,5.565450,5.654550,2.142493,6834300
2007-06-14,5.692730,5.832730,5.692730,5.832730,2.210004,2586100
2007-06-15,5.825450,5.925450,5.821820,5.909090,2.238937,4860900
2007-06-18,5.963640,6.138180,5.918180,6.060000,2.296117,4190450
2007-06-19,6.000000,6.140000,6.000000,6.109090,2.314717,2730200
2007-06-20,6.136360,6.374550,6.094550,6.181820,2.342274,10740400
2007-06-21,6.183640,6.236360,6.036360,6.154550,2.331942,3639350
2007-06-22,6.154550,6.154550,5.918180,5.927270,2.245826,2923800
2007-06-25,5.972730,6.136360,5.825450,6.109090,2.314717,3499650
2007-06-26,6.109090,6.236360,6.038180,6.127270,2.321605,2028950
2007-06-27,6.118180,6.327270,5.927270,6.327270,2.397385,2901250
2007-06-28,6.325450,6.527270,6.236360,6.527270,2.473163,6827700
2007-06-29,6.527270,6.636360,6.300000,6.600000,2.500721,3182300
