Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,13494.000000,14265.200195,13489.799805,14033.400391,14033.400391,716
2007-01-03,14117.700195,14286.299805,13949.200195,14096.700195,14096.700195,1085
2007-01-04,14075.599609,14589.700195,13864.900391,14206.200195,14206.200195,1612
2007-01-05,14138.799805,14328.400391,13489.799805,13696.299805,13696.299805,629
2007-01-08,13612.000000,14286.299805,13612.000000,13907.000000,13907.000000,518
2007-01-09,13864.900391,13877.500000,13527.700195,13696.299805,13696.299805,565
2007-01-10,13675.200195,13675.200195,13274.900391,13582.500000,13582.500000,335
2007-01-11,13569.900391,13801.700195,13527.700195,13696.299805,13696.299805,461
2007-01-12,13696.299805,13949.200195,13696.299805,13907.000000,13907.000000,1012
2007-01-15,13801.700195,14282.099609,13801.700195,14202.000000,14202.000000,296
2007-01-16,14206.200195,14518.099609,13907.000000,14282.099609,14282.099609,498
2007-01-17,14286.299805,14770.900391,14075.599609,14770.900391,14770.900391,1087
2007-01-18,14775.099609,15242.900391,14775.099609,15053.299805,15053.299805,584
2007-01-19,14981.599609,15171.299805,14897.400391,15171.299805,15171.299805,599
2007-01-22,15192.400391,15967.799805,15192.400391,15887.700195,15887.700195,829
2007-01-23,15887.700195,16435.599609,15887.700195,16435.599609,16435.599609,741
2007-01-24,16229.099609,16229.099609,15348.299805,15588.500000,15588.500000,1955
2007-01-26,15386.200195,15592.700195,14749.900391,15255.599609,15255.599609,383
2007-01-29,15255.599609,15255.599609,14627.599609,14749.900391,14749.900391,378
2007-01-30,15255.599609,15255.599609,14627.599609,14749.900391,14749.900391,378
2007-01-31,14412.700195,15348.299805,14383.200195,14838.400391,14838.400391,1218
2007-02-01,15508.400391,15508.400391,15217.599609,15276.599609,15276.599609,936
2007-02-02,15424.099609,15500.000000,15297.700195,15339.900391,15339.900391,190
2007-02-05,15344.099609,15344.099609,14855.200195,14960.599609,14960.599609,761
2007-02-06,15065.900391,15234.500000,14328.400391,14539.099609,14539.099609,1384
2007-02-07,14947.900391,15044.900391,14332.599609,15044.900391,15044.900391,701
2007-02-08,15044.900391,15255.599609,15028.000000,15255.599609,15255.599609,898
2007-02-09,15386.200195,15592.700195,15171.299805,15255.599609,15255.599609,750
2007-02-12,15424.099609,15550.599609,15171.299805,15508.400391,15508.400391,676
2007-02-13,15508.400391,15761.299805,15171.299805,15356.700195,15356.700195,397
2007-02-14,15508.400391,15761.299805,15171.299805,15356.700195,15356.700195,397
2007-02-15,15339.900391,15339.900391,15044.900391,15087.000000,15087.000000,552
2007-02-16,15171.299805,15339.900391,14939.500000,14939.500000,14939.500000,93
2007-02-21,15255.599609,15592.700195,15065.900391,15508.400391,15508.400391,554
2007-02-22,15592.700195,16224.799805,15508.400391,16090.000000,16090.000000,411
2007-02-23,16098.400391,16098.400391,15542.099609,15592.700195,15592.700195,417
2007-02-26,15668.599609,15677.000000,14855.200195,14960.599609,14960.599609,746
2007-02-27,15668.599609,15677.000000,14855.200195,15171.299805,15171.299805,747
2007-02-28,13784.799805,14020.799805,13527.700195,13738.400391,13738.400391,787
2007-03-01,13527.700195,13907.000000,12642.700195,13696.299805,13696.299805,1277
2007-03-02,13907.000000,14328.400391,13780.599609,13928.099609,13928.099609,404
2007-03-05,13527.700195,13898.599609,13043.099609,13190.599609,13190.599609,924
2007-03-06,13612.000000,13907.000000,13489.799805,13696.299805,13696.299805,353
