Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,8.430000,8.466670,8.383330,8.416670,6.330120,160800
2007-01-03,8.400000,8.496670,8.400000,8.466670,6.367724,137400
2007-01-04,8.503330,8.503330,8.236670,8.333330,6.267441,33600
2007-01-05,8.333330,8.333330,8.216670,8.333330,6.267441,215100
2007-01-08,8.400000,8.400000,8.330000,8.333330,6.267441,350700
2007-01-09,8.200000,8.400000,8.200000,8.333330,6.267441,11700
2007-01-10,8.250000,8.250000,8.116670,8.116670,6.104491,18600
2007-01-11,8.133330,8.163330,8.000000,8.106670,6.096971,249000
2007-01-12,8.033330,8.166670,7.966670,8.166670,6.142096,423300
2007-01-15,8.233330,8.493330,8.230000,8.383330,6.305045,364200
2007-01-16,8.366670,8.466670,8.200000,8.266670,6.217307,137700
2007-01-17,8.266670,8.333330,7.666670,8.066670,6.066888,209400
2007-01-18,8.080000,8.233330,8.066670,8.233330,6.192231,457800
2007-01-19,8.166670,8.466670,8.166670,8.466670,6.367724,1638600
2007-01-22,8.483330,8.533330,8.333330,8.333330,6.267441,23400
2007-01-23,8.500000,8.833330,8.463330,8.833330,6.643487,66600
2007-01-24,8.830000,8.830000,8.516670,8.666670,6.518143,382200
2007-01-26,8.666670,8.783330,8.666670,8.700000,6.543211,95400
2007-01-29,8.583330,8.716670,8.583330,8.666670,6.518143,231600
2007-01-30,8.583330,8.716670,8.583330,8.666670,6.518143,231600
2007-01-31,8.500000,8.833330,8.496670,8.586670,6.457975,828000
2007-02-01,8.833330,9.066670,8.603330,9.000000,6.768838,190500
2007-02-02,9.000000,9.033330,8.600000,8.833330,6.643487,177300
2007-02-05,8.833330,8.950000,8.833330,8.940000,6.723712,50400
2007-02-06,9.000000,9.066670,8.700000,8.933330,6.718696,317100
2007-02-07,8.933330,9.033330,8.900000,8.996670,6.766334,231600
2007-02-08,9.050000,9.166670,9.000000,9.100000,6.844048,92100
2007-02-09,9.083330,9.093330,9.000000,9.050000,6.806443,277200
2007-02-12,9.063330,9.233330,9.063330,9.216670,6.931794,85500
2007-02-13,9.333330,9.583330,9.333330,9.566670,7.195028,517500
2007-02-14,9.333330,9.583330,9.333330,9.566670,7.195028,517500
2007-02-15,9.400000,9.566670,9.336670,9.366670,7.044609,99000
2007-02-16,9.400000,9.400000,9.066670,9.300000,6.994466,36300
2007-02-21,9.300000,9.300000,9.033330,9.033330,6.793906,90900
2007-02-22,9.283330,9.283330,8.840000,8.983330,6.756300,67800
2007-02-23,8.983330,9.233330,8.933330,9.233330,6.944324,395400
2007-02-26,9.400000,9.400000,9.200000,9.330000,7.017029,206700
2007-02-27,9.400000,9.400000,9.200000,9.330000,7.017029,206700
2007-02-28,8.830000,9.333330,8.583330,9.333330,7.019533,467100
2007-03-01,8.733330,9.103330,8.666670,9.100000,6.844048,944700
2007-03-02,9.000000,9.200000,8.833330,9.016670,6.781376,402600
2007-03-05,8.833330,8.980000,8.700000,8.756670,6.585832,204900
2007-03-06,9.296670,9.296670,9.000000,9.213330,6.929283,63000
2007-03-07,9.200000,9.200000,9.083330,9.166670,6.894190,44700
2007-03-08,9.266670,9.300000,9.066670,9.163330,6.891678,164400
2007-03-09,9.266670,9.300000,9.066670,9.163330,6.891678,164400
2007-03-12,9.103330,9.103330,8.933330,9.093330,6.839032,44100
2007-03-13,9.066670,9.066670,8.700000,8.816670,6.630958,431400
2007-03-14,8.703330,8.866670,8.436670,8.443330,6.350170,197100
2007-03-15,8.470000,8.700000,8.466670,8.600000,6.468001,255900
2007-03-16,8.733330,8.733330,8.416670,8.663330,6.515631,152100
2007-03-19,8.666670,8.666670,8.350000,8.600000,6.468001,356400
2007-03-20,8.600000,8.766670,8.366670,8.416670,6.330120,396000
2007-03-21,8.416670,8.416670,8.266670,8.410000,6.325104,38400
2007-03-22,8.416670,8.466670,8.233330,8.466670,6.367724,357000
2007-03-23,8.463330,8.500000,8.336670,8.416670,6.330120,223200
2007-03-26,8.500000,8.816670,8.333330,8.816670,6.630958,785700
2007-03-27,8.666670,8.746670,8.500000,8.633330,6.493070,156300
2007-03-28,8.616670,8.763330,8.466670,8.763330,6.590841,929700
2007-03-29,8.850000,9.146670,8.583330,9.133330,6.869115,207600
2007-03-30,9.100000,9.200000,8.970000,9.166670,6.894190,708900
2007-04-02,9.166670,9.433330,9.066670,9.340000,7.024551,339300
2007-04-03,9.433330,9.433330,9.166670,9.190000,6.911735,482700
2007-04-04,9.170000,9.183330,8.900000,9.043330,6.801427,166500
