Date,Open,High,Low,Close,Adj Close,Volume
2015-08-06,83.660004,83.660004,83.660004,83.660004,83.660004,4300
2015-08-07,null,null,null,null,null,null
2015-08-10,null,null,null,null,null,null
2015-08-11,null,null,null,null,null,null
2015-08-12,null,null,null,null,null,null
2015-08-13,null,null,null,null,null,null
2015-08-14,null,null,null,null,null,null
2015-08-17,null,null,null,null,null,null
2015-08-18,null,null,null,null,null,null
2015-08-19,null,null,null,null,null,null
2015-08-20,null,null,null,null,null,null
2015-08-21,null,null,null,null,null,null
2015-08-24,null,null,null,null,null,null
2015-08-25,null,null,null,null,null,null
2015-08-26,null,null,null,null,null,null
2015-08-27,null,null,null,null,null,null
2015-08-28,null,null,null,null,null,null
2015-08-31,null,null,null,null,null,null
2015-09-01,null,null,null,null,null,null
2015-09-02,null,null,null,null,null,null
2015-09-03,null,null,null,null,null,null
2015-09-04,null,null,null,null,null,null
2015-09-08,null,null,null,null,null,null
2015-09-09,null,null,null,null,null,null
2015-09-10,null,null,null,null,null,null
2015-09-11,null,null,null,null,null,null
2015-09-14,null,null,null,null,null,null
2015-09-15,null,null,null,null,null,null
2015-09-16,null,null,null,null,null,null
2015-09-17,83.279999,83.279999,83.279999,83.279999,83.279999,0
2015-09-18,null,null,null,null,null,null
2015-09-21,null,null,null,null,null,null
2015-09-22,85.449997,85.449997,85.449997,85.449997,85.449997,0
2015-09-23,85.449997,85.449997,85.449997,85.449997,85.449997,0
2015-09-24,85.449997,85.449997,85.449997,85.449997,85.449997,0
2015-09-25,85.449997,85.449997,85.449997,85.449997,85.449997,0
2015-09-28,85.570000,85.750000,84.260002,85.730003,85.730003,22800
2015-09-29,83.480003,83.480003,83.480003,83.480003,83.480003,700
2015-09-30,null,null,null,null,null,null
2015-10-01,null,null,null,null,null,null
2015-10-02,83.480003,83.480003,83.480003,83.480003,83.480003,0
2015-10-05,null,null,null,null,null,null
2015-10-06,null,null,null,null,null,null
2015-10-07,null,null,null,null,null,null
2015-10-08,null,null,null,null,null,null
2015-10-09,null,null,null,null,null,null
2015-10-13,null,null,null,null,null,null
2015-10-14,null,null,null,null,null,null
2015-10-15,null,null,null,null,null,null
2015-10-16,84.730003,84.730003,84.730003,84.730003,84.730003,0
2015-10-19,84.730003,84.730003,84.730003,84.730003,84.730003,0
2015-10-20,null,null,null,null,null,null
2015-10-21,null,null,null,null,null,null
2015-10-22,null,null,null,null,null,null
2015-10-23,null,null,null,null,null,null
2015-10-26,null,null,null,null,null,null
2015-10-27,null,null,null,null,null,null
2015-10-28,90.239998,90.239998,90.239998,90.239998,90.239998,0
2015-10-29,null,null,null,null,null,null
2015-10-30,89.050003,89.050003,89.050003,89.050003,89.050003,0
2015-11-03,89.050003,89.050003,89.050003,89.050003,89.050003,0
2015-11-04,87.070000,87.070000,87.070000,87.070000,87.070000,2700
