Date,Open,High,Low,Close,Adj Close,Volume
2008-12-02,26.309999,26.309999,26.309999,26.309999,26.309999,100
2008-12-03,25.500000,25.500000,25.500000,25.500000,25.500000,100
2008-12-04,25.000000,100.000000,25.000000,25.000000,25.000000,0
2008-12-05,25.000000,100.000000,25.000000,25.000000,25.000000,0
2008-12-08,28.100000,100.000000,28.100000,28.100000,28.100000,0
2008-12-09,28.000000,100.000000,28.000000,28.000000,28.000000,0
2008-12-10,29.240000,29.240000,29.240000,29.240000,29.240000,200
2008-12-11,25.000000,100.000000,25.000000,25.000000,25.000000,0
2008-12-12,29.389999,29.389999,29.389999,29.389999,29.389999,300
2008-12-15,25.000000,100.000000,25.000000,25.000000,25.000000,0
2008-12-16,25.000000,100.000000,25.000000,25.000000,25.000000,0
2008-12-17,28.500000,100.000000,28.500000,28.500000,28.500000,0
2008-12-18,27.799999,100.000000,27.799999,27.799999,27.799999,0
2008-12-19,27.799999,100.000000,27.799999,27.799999,27.799999,0
2008-12-22,27.799999,100.000000,27.799999,27.799999,27.799999,0
2008-12-23,27.969999,27.969999,27.969999,27.969999,27.969999,100
2008-12-26,27.459999,27.459999,27.459999,27.459999,27.459999,700
2008-12-29,26.000000,31.500000,26.000000,26.000000,26.000000,0
2008-12-30,26.000000,31.500000,26.000000,26.000000,26.000000,0
2009-01-02,26.000000,31.500000,26.000000,26.000000,26.000000,0
2009-01-05,26.000000,31.500000,26.000000,26.000000,26.000000,0
2009-01-06,26.000000,31.500000,26.000000,26.000000,26.000000,0
2009-01-07,26.000000,31.500000,26.000000,26.000000,26.000000,0
2009-01-08,null,null,null,null,null,null
2009-01-09,null,null,null,null,null,null
2009-01-12,null,null,null,null,null,null
2009-01-13,null,null,null,null,null,null
2009-01-14,27.969999,27.969999,27.969999,27.969999,27.969999,0
2009-01-15,null,null,null,null,null,null
2009-01-16,null,null,null,null,null,null
2009-01-19,28.000000,31.500000,28.000000,28.000000,28.000000,0
2009-01-20,28.000000,31.500000,28.000000,28.000000,28.000000,0
2009-01-21,28.000000,28.000000,28.000000,28.000000,28.000000,200
2009-01-22,27.500000,31.500000,27.500000,27.500000,27.500000,0
2009-01-23,27.500000,31.500000,27.500000,27.500000,27.500000,0
2009-01-26,27.500000,31.500000,27.500000,27.500000,27.500000,0
2009-01-27,27.500000,31.500000,27.500000,27.500000,27.500000,0
2009-01-28,27.500000,31.500000,27.500000,27.500000,27.500000,0
2009-01-29,27.500000,31.500000,27.500000,27.500000,27.500000,0
2009-01-30,27.500000,31.500000,27.500000,27.500000,27.500000,0
2009-02-02,28.000000,31.500000,28.000000,28.000000,28.000000,0
2009-02-03,27.500000,31.500000,27.500000,27.500000,27.500000,0
2009-02-04,27.500000,31.500000,27.500000,27.500000,27.500000,0
2009-02-05,31.500000,31.500000,31.500000,31.500000,31.500000,0
2009-02-06,31.500000,31.500000,31.500000,31.500000,31.500000,100
2009-02-09,null,null,null,null,null,null
2009-02-10,null,null,null,null,null,null
2009-02-11,null,null,null,null,null,null
2009-02-12,null,null,null,null,null,null
2009-02-13,null,null,null,null,null,null
2009-02-16,null,null,null,null,null,null
2009-02-17,null,null,null,null,null,null
2009-02-18,null,null,null,null,null,null
2009-02-19,null,null,null,null,null,null
2009-02-20,29.090000,29.090000,29.090000,29.090000,29.090000,700
2009-02-25,29.049999,29.049999,29.049999,29.049999,29.049999,100
2009-02-26,null,null,null,null,null,null
2009-02-27,null,null,null,null,null,null
2009-03-02,27.799999,27.799999,27.799999,27.799999,27.799999,500
2009-03-03,null,null,null,null,null,null
2009-03-04,29.170000,29.309999,29.170000,29.170000,29.170000,0
2009-03-05,null,null,null,null,null,null
2009-03-06,null,null,null,null,null,null
2009-03-09,null,null,null,null,null,null
2009-03-10,null,null,null,null,null,null
2009-03-11,null,null,null,null,null,null
2009-03-12,null,null,null,null,null,null
2009-03-13,null,null,null,null,null,null
2009-03-16,29.620001,29.770000,29.620001,29.620001,29.620001,0
2009-03-17,null,null,null,null,null,null
2009-03-18,null,null,null,null,null,null
2009-03-19,null,null,null,null,null,null
2009-03-20,null,null,null,null,null,null
2009-03-23,32.490002,32.580002,32.490002,32.580002,32.580002,400
2009-03-24,null,null,null,null,null,null
2009-03-25,null,null,null,null,null,null
