Date,Open,High,Low,Close,Adj Close,Volume
2014-12-22,2.680000,2.800000,2.620000,2.800000,2.800000,198300
2014-12-23,2.800000,3.170000,2.800000,3.070000,3.070000,1059000
2014-12-26,3.070000,3.400000,3.070000,3.100000,3.100000,1109000
2014-12-29,3.400000,3.400000,3.050000,3.200000,3.200000,823800
2014-12-30,3.200000,3.420000,3.050000,3.390000,3.390000,3221700
2015-01-02,3.390000,3.390000,3.050000,3.200000,3.200000,222900
2015-01-05,3.190000,3.190000,3.190000,3.190000,3.190000,800
2015-01-06,3.190000,3.190000,3.190000,3.190000,3.190000,0
2015-01-07,3.190000,3.190000,3.190000,3.190000,3.190000,32600
2015-01-08,3.060000,3.200000,3.060000,3.190000,3.190000,12800
2015-01-09,3.450000,3.450000,3.300000,3.300000,3.300000,6300
2015-01-12,3.300000,3.300000,3.300000,3.300000,3.300000,0
2015-01-13,3.250000,3.250000,3.200000,3.200000,3.200000,11100
2015-01-14,3.240000,3.240000,3.190000,3.190000,3.190000,9600
2015-01-15,3.050000,3.190000,3.050000,3.160000,3.160000,21700
2015-01-16,3.100000,3.200000,3.100000,3.200000,3.200000,58800
2015-01-19,3.250000,3.400000,3.150000,3.400000,3.400000,7121900
2015-01-20,3.350000,3.400000,3.350000,3.350000,3.350000,1765800
2015-01-21,3.350000,3.350000,3.350000,3.350000,3.350000,0
2015-01-22,3.350000,3.350000,3.350000,3.350000,3.350000,0
2015-01-23,3.350000,3.350000,3.350000,3.350000,3.350000,0
2015-01-26,3.100000,3.150000,3.100000,3.140000,3.140000,219000
2015-01-27,3.060000,3.190000,3.000000,3.190000,3.190000,52100
2015-01-28,3.100000,3.100000,3.000000,3.000000,3.000000,19500
2015-01-29,3.100000,3.400000,3.060000,3.250000,3.250000,1070100
2015-01-30,3.200000,3.400000,3.200000,3.390000,3.390000,1133600
2015-02-02,3.110000,3.200000,3.100000,3.100000,3.100000,50700
2015-02-03,3.120000,3.200000,3.110000,3.200000,3.200000,44000
2015-02-04,3.110000,3.150000,3.110000,3.150000,3.150000,7100
2015-02-05,3.250000,3.250000,3.250000,3.250000,3.250000,2000
2015-02-06,3.250000,3.250000,3.250000,3.250000,3.250000,0
2015-02-09,3.100000,3.100000,2.900000,3.100000,3.100000,69000
2015-02-10,2.950000,2.950000,2.700000,2.700000,2.700000,55100
2015-02-11,2.600000,2.600000,2.220000,2.220000,2.220000,13400
2015-02-12,2.070000,2.590000,2.070000,2.450000,2.450000,7300
2015-02-13,2.500000,2.500000,2.450000,2.500000,2.500000,51400
2015-02-18,2.500000,2.550000,2.500000,2.550000,2.550000,900
2015-02-19,2.550000,2.550000,2.550000,2.550000,2.550000,0
2015-02-20,2.550000,2.550000,2.550000,2.550000,2.550000,0
2015-02-23,2.550000,2.550000,2.550000,2.550000,2.550000,0
2015-02-24,2.100000,2.250000,2.100000,2.250000,2.250000,68700
2015-02-25,2.250000,2.250000,2.250000,2.250000,2.250000,0
2015-02-26,2.250000,2.250000,2.250000,2.250000,2.250000,0
2015-02-27,2.250000,2.250000,2.250000,2.250000,2.250000,0
2015-03-02,2.250000,2.250000,2.250000,2.250000,2.250000,200
2015-03-03,2.060000,2.060000,2.050000,2.050000,2.050000,5000
2015-03-04,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-05,2.050000,2.050000,2.050000,2.050000,2.050000,1000
2015-03-06,2.050000,2.050000,2.050000,2.050000,2.050000,900
2015-03-09,2.050000,2.050000,2.050000,2.050000,2.050000,3000
2015-03-10,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-11,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-12,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-13,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-16,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-17,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-18,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-19,2.050000,2.050000,2.050000,2.050000,2.050000,1500
2015-03-20,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-23,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-24,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-25,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-26,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-27,2.050000,2.050000,2.050000,2.050000,2.050000,0
2015-03-30,1.810000,1.810000,1.810000,1.810000,1.810000,1000
2015-03-31,2.250000,2.250000,1.900000,1.900000,1.900000,3100
2015-04-01,1.900000,1.900000,1.900000,1.900000,1.900000,0
