Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,72.680000,72.680000,72.680000,72.680000,72.680000,0
2015-09-23,72.680000,72.680000,72.680000,72.680000,72.680000,0
2015-09-24,72.680000,72.680000,72.680000,72.680000,72.680000,0
2015-09-25,72.680000,72.680000,72.680000,72.680000,72.680000,0
2015-09-28,72.680000,72.680000,72.680000,72.680000,72.680000,0
2015-09-29,63.900002,63.900002,63.900002,63.900002,63.900002,3400
2015-09-30,null,null,null,null,null,null
2015-10-01,null,null,null,null,null,null
2015-10-02,null,null,null,null,null,null
2015-10-05,null,null,null,null,null,null
2015-10-06,null,null,null,null,null,null
2015-10-07,null,null,null,null,null,null
2015-10-08,null,null,null,null,null,null
2015-10-09,null,null,null,null,null,null
2015-10-13,null,null,null,null,null,null
2015-10-14,null,null,null,null,null,null
2015-10-15,null,null,null,null,null,null
2015-10-16,null,null,null,null,null,null
2015-10-19,null,null,null,null,null,null
2015-10-20,null,null,null,null,null,null
2015-10-21,null,null,null,null,null,null
2015-10-22,null,null,null,null,null,null
2015-10-23,null,null,null,null,null,null
2015-10-26,null,null,null,null,null,null
2015-10-27,null,null,null,null,null,null
2015-10-28,null,null,null,null,null,null
2015-10-29,null,null,null,null,null,null
2015-10-30,null,null,null,null,null,null
2015-11-03,null,null,null,null,null,null
2015-11-04,64.779999,64.779999,64.779999,64.779999,64.779999,600
2015-11-05,64.779999,64.779999,64.779999,64.779999,64.779999,0
2015-11-06,64.779999,64.779999,64.779999,64.779999,64.779999,0
2015-11-09,64.779999,64.779999,64.779999,64.779999,64.779999,0
2015-11-10,64.779999,64.779999,64.779999,64.779999,64.779999,0
2015-11-11,64.779999,64.779999,64.779999,64.779999,64.779999,0
2015-11-12,64.779999,64.779999,64.779999,64.779999,64.779999,0
2015-11-13,64.779999,64.779999,64.779999,64.779999,64.779999,0
2015-11-16,62.509998,62.509998,62.509998,62.509998,62.509998,1400
2015-11-17,62.509998,62.509998,62.509998,62.509998,62.509998,0
2015-11-18,62.509998,62.509998,62.509998,62.509998,62.509998,0
2015-11-19,62.509998,62.509998,62.509998,62.509998,62.509998,0
2015-11-23,62.509998,62.509998,58.230000,58.299999,58.299999,800
2015-11-24,58.299999,58.299999,58.299999,58.299999,58.299999,0
2015-11-25,58.299999,58.299999,58.299999,58.299999,58.299999,0
2015-11-26,58.299999,58.299999,58.299999,58.299999,58.299999,0
2015-11-27,58.299999,58.299999,58.299999,58.299999,58.299999,0
2015-11-30,61.259998,61.259998,61.259998,61.259998,61.259998,1600
2015-12-01,61.259998,61.259998,61.259998,61.259998,61.259998,0
2015-12-02,61.259998,61.259998,61.259998,61.259998,61.259998,0
2015-12-03,61.259998,61.259998,61.259998,61.259998,61.259998,0
2015-12-04,61.259998,61.259998,61.259998,61.259998,61.259998,0
2015-12-07,59.520000,59.520000,59.520000,59.520000,59.520000,400
2015-12-08,59.520000,59.520000,59.520000,59.520000,59.520000,0
2015-12-09,59.520000,59.520000,59.520000,59.520000,59.520000,0
2015-12-10,59.520000,59.520000,59.520000,59.520000,59.520000,0
2015-12-11,59.520000,59.520000,59.520000,59.520000,59.520000,0
2015-12-14,55.700001,55.700001,55.700001,55.700001,55.700001,600
2015-12-15,55.700001,55.700001,55.700001,55.700001,55.700001,0
2015-12-16,55.700001,55.700001,55.700001,55.700001,55.700001,0
2015-12-17,55.700001,55.700001,55.700001,55.700001,55.700001,0
2015-12-18,55.700001,55.700001,55.700001,55.700001,55.700001,0
2015-12-21,55.180000,55.180000,55.180000,55.180000,55.180000,1900
2015-12-22,55.180000,55.180000,55.180000,55.180000,55.180000,0
2015-12-23,55.180000,55.180000,55.180000,55.180000,55.180000,0
2015-12-28,55.180000,56.450001,55.180000,56.450001,56.450001,1800
2015-12-29,56.450001,56.450001,56.450001,56.450001,56.450001,0
2015-12-30,56.450001,56.450001,56.450001,56.450001,56.450001,0
2016-01-04,56.450001,56.470001,56.450001,56.470001,56.470001,2200
2016-01-05,56.470001,56.470001,56.470001,56.470001,56.470001,0
2016-01-06,56.470001,56.470001,56.470001,56.470001,56.470001,0
2016-01-07,56.470001,56.470001,56.470001,56.470001,56.470001,0
2016-01-08,56.470001,56.470001,56.470001,56.470001,56.470001,0
2016-01-11,48.070000,48.070000,48.070000,48.070000,48.070000,700
2016-01-12,48.070000,48.070000,48.070000,48.070000,48.070000,0
2016-01-13,48.070000,48.070000,48.070000,48.070000,48.070000,0
2016-01-14,48.070000,48.070000,48.070000,48.070000,48.070000,0
2016-01-15,48.070000,48.070000,48.070000,48.070000,48.070000,0
2016-01-18,48.070000,48.070000,48.070000,48.070000,48.070000,0
2016-01-19,51.959999,51.959999,50.480000,50.480000,50.480000,4100
2016-01-20,50.480000,50.480000,50.480000,50.480000,50.480000,0
2016-01-21,50.480000,50.480000,50.480000,50.480000,50.480000,0
2016-01-22,50.480000,50.480000,50.480000,50.480000,50.480000,0
2016-01-26,50.480000,50.480000,46.669998,46.730000,46.730000,1200
2016-01-27,46.730000,46.730000,46.730000,46.730000,46.730000,0
2016-01-28,46.730000,46.730000,46.730000,46.730000,46.730000,0
2016-01-29,46.730000,46.730000,46.730000,46.730000,46.730000,0
2016-02-01,47.279999,47.279999,47.279999,47.279999,47.279999,1300
2016-02-02,47.279999,47.279999,47.279999,47.279999,47.279999,0
2016-02-03,47.279999,47.279999,47.279999,47.279999,47.279999,0
2016-02-04,47.279999,47.279999,47.279999,47.279999,47.279999,0
2016-02-05,47.279999,47.279999,47.279999,47.279999,47.279999,0
2016-02-10,47.279999,47.279999,47.060001,47.060001,47.060001,800
2016-02-11,47.060001,47.060001,47.060001,47.060001,47.060001,0
2016-02-12,47.060001,47.060001,47.060001,47.060001,47.060001,0
2016-02-15,null,null,null,null,null,null
2016-02-16,47.410000,47.410000,47.410000,47.410000,47.410000,9100
2016-02-17,47.410000,47.410000,47.410000,47.410000,47.410000,0
2016-02-18,47.410000,47.410000,47.410000,47.410000,47.410000,0
2016-02-19,47.410000,47.410000,47.410000,47.410000,47.410000,0
2016-02-22,49.730000,49.730000,49.730000,49.730000,49.730000,2900
2016-02-23,49.730000,49.730000,49.730000,49.730000,49.730000,0
2016-02-24,49.730000,49.730000,49.730000,49.730000,49.730000,0
2016-02-25,50.090000,50.090000,50.090000,50.090000,50.090000,100
