Date,Open,High,Low,Close,Adj Close,Volume
2014-08-06,8.225000,8.234000,8.106000,8.172000,8.172000,96180
2014-08-07,8.157000,8.157000,8.011000,8.150000,8.150000,88680
2014-08-08,8.085000,8.245000,8.050000,8.200000,8.200000,64400
2014-08-11,8.200000,8.200000,8.102000,8.140000,8.140000,52250
2014-08-12,8.150000,8.200000,8.057000,8.101000,8.101000,49290
2014-08-13,8.150000,8.150000,8.050000,8.055000,8.055000,24690
2014-08-14,8.072000,8.150000,8.070000,8.150000,8.150000,36990
2014-08-15,8.140000,8.150000,8.104000,8.119000,8.119000,36700
2014-08-18,8.120000,8.188000,8.120000,8.188000,8.188000,50290
2014-08-19,8.126000,8.300000,8.125000,8.220000,8.220000,27290
2014-08-20,8.274000,8.275000,8.181000,8.187000,8.187000,49840
2014-08-21,8.210000,8.288000,8.178000,8.182000,8.182000,14670
2014-08-22,8.184000,8.230000,8.150000,8.200000,8.200000,20570
2014-08-25,8.195000,8.240000,8.145000,8.200000,8.200000,20470
2014-08-26,8.287000,8.287000,8.150000,8.150000,8.150000,20750
2014-08-27,8.200000,8.210000,8.150000,8.160000,8.160000,20780
2014-08-28,8.170000,8.278000,8.162000,8.180000,8.180000,31430
2014-08-29,8.200000,8.278000,8.170000,8.250000,8.250000,51760
2014-09-01,8.229000,8.229000,8.060000,8.140000,8.140000,45090
2014-09-02,8.155000,8.200000,8.150000,8.200000,8.200000,33260
2014-09-03,8.200000,8.275000,8.152000,8.275000,8.275000,41490
2014-09-04,8.274000,8.274000,8.185000,8.200000,8.200000,31380
2014-09-05,8.216000,8.260000,8.200000,8.200000,8.200000,11920
2014-09-08,8.200000,8.250000,8.186000,8.250000,8.250000,42500
2014-09-09,8.261000,8.290000,8.211000,8.289000,8.289000,73760
2014-09-10,8.245000,8.289000,8.245000,8.245000,8.245000,23940
2014-09-11,8.250000,8.300000,8.240000,8.299000,8.299000,34830
2014-09-12,8.312000,8.312000,8.250000,8.299000,8.299000,6800
2014-09-15,8.313000,8.313000,8.265000,8.275000,8.275000,18790
2014-09-16,8.270000,8.345000,8.215000,8.300000,8.300000,43020
2014-09-17,8.320000,8.429000,8.300000,8.365000,8.365000,67880
2014-09-18,8.371000,8.499000,8.370000,8.400000,8.400000,19290
2014-09-19,8.361000,8.460000,8.360000,8.375000,8.375000,23690
2014-09-22,8.375000,8.453000,8.332000,8.332000,8.332000,26090
2014-09-23,8.458000,8.458000,8.335000,8.336000,8.336000,27240
2014-09-24,8.336000,8.392000,8.330000,8.360000,8.360000,23200
2014-09-25,8.360000,8.430000,8.360000,8.430000,8.430000,31800
2014-09-26,8.420000,8.430000,8.370000,8.372000,8.372000,31160
2014-09-29,8.440000,8.440000,8.370000,8.420000,8.420000,41520
2014-09-30,8.420000,8.490000,8.376000,8.420000,8.420000,42440
2014-10-01,8.302000,8.407000,8.302000,8.310000,8.310000,43440
2014-10-02,8.325000,8.399000,8.310000,8.310000,8.310000,35240
2014-10-03,8.311000,8.335000,8.250000,8.250000,8.250000,37530
2014-10-06,8.251000,8.385000,8.250000,8.320000,8.320000,25850
2014-10-07,8.320000,8.359000,8.279000,8.340000,8.340000,32860
2014-10-08,8.300000,8.330000,8.300000,8.330000,8.330000,20810
2014-10-09,8.320000,8.345000,8.279000,8.300000,8.300000,22940
2014-10-10,8.291000,8.328000,8.291000,8.291000,8.291000,16060
2014-10-13,8.295000,8.344000,8.201000,8.225000,8.225000,85030
2014-10-14,8.225000,8.297000,8.205000,8.221000,8.221000,26220
2014-10-15,8.222000,8.309000,8.222000,8.284000,8.284000,69630
2014-10-16,8.260000,8.279000,8.227000,8.240000,8.240000,20610
2014-10-17,8.280000,8.341000,8.280000,8.300000,8.300000,10500
2014-10-20,8.343000,8.350000,8.250000,8.295000,8.295000,67510
2014-10-21,8.185000,8.185000,8.185000,8.185000,8.185000,71660
2014-10-22,8.206000,8.295000,8.206000,8.221000,8.221000,20000
2014-10-23,8.200000,8.350000,8.200000,8.200000,8.200000,68210
2014-10-24,8.220000,8.300000,8.200000,8.200000,8.200000,41820
2014-10-27,8.201000,8.300000,8.130000,8.175000,8.175000,56500
2014-10-28,8.200000,8.298000,8.153000,8.210000,8.210000,27550
2014-10-29,8.220000,8.359000,8.160000,8.176000,8.176000,37300
2014-10-30,8.250000,8.250000,8.150000,8.177000,8.177000,27740
2014-10-31,8.193000,8.200000,8.175000,8.175000,8.175000,34000
2014-11-03,8.100000,8.200000,8.100000,8.102000,8.102000,33950
2014-11-04,8.150000,8.150000,8.050000,8.072000,8.072000,23340
2014-11-05,8.143000,8.143000,8.063000,8.082000,8.082000,139530
2014-11-06,8.080000,8.134000,8.050000,8.050000,8.050000,39800
2014-11-07,8.060000,8.115000,8.025000,8.051000,8.051000,40260
2014-11-10,8.050000,8.134000,8.035000,8.130000,8.130000,92160
2014-11-11,8.060000,8.100000,8.035000,8.035000,8.035000,104680
2014-11-12,8.035000,8.060000,7.950000,7.950000,7.950000,88760
2014-11-13,7.951000,8.014000,7.901000,7.915000,7.915000,54630
2014-11-14,7.928000,7.929000,7.806000,7.840000,7.840000,115770
2014-11-17,7.841000,7.899000,7.802000,7.812000,7.812000,86420
2014-11-18,7.812000,7.964000,7.801000,7.801000,7.801000,88560
2014-11-19,7.809000,7.899000,7.809000,7.811000,7.811000,42190
2014-11-21,7.811000,7.879000,7.802000,7.829000,7.829000,173700
2014-11-24,7.815000,7.828000,7.790000,7.790000,7.790000,71370
2014-11-25,7.813000,7.850000,7.800000,7.850000,7.850000,21700
2014-11-26,7.850000,7.901000,7.805000,7.842000,7.842000,23920
2014-11-27,7.842000,7.929000,7.801000,7.855000,7.855000,58950
2014-11-28,7.855000,7.929000,7.853000,7.855000,7.855000,37630
2014-12-01,7.840000,7.850000,7.800000,7.815000,7.815000,2571410
2014-12-02,7.815000,7.850000,7.750000,7.780000,7.780000,4876270
2014-12-03,7.769000,7.844000,7.725000,7.725000,7.725000,64410
2014-12-04,7.725000,7.889000,7.700000,7.715000,7.715000,31140
2014-12-05,7.750000,7.799000,7.720000,7.765000,7.765000,20360
2014-12-08,7.766000,7.896000,7.766000,7.802000,7.802000,35090
2014-12-09,7.800000,7.896000,7.761000,7.800000,7.800000,189570
2014-12-10,7.762000,7.890000,7.762000,7.801000,7.801000,32820
2014-12-11,7.800000,7.930000,7.800000,7.800000,7.800000,50480
2014-12-12,7.802000,7.974000,7.786000,7.806000,7.806000,29900
2014-12-15,7.877000,7.877000,7.792000,7.792000,7.792000,79130
2014-12-16,7.866000,7.866000,7.760000,7.775000,7.775000,57100
2014-12-17,7.775000,7.783000,7.760000,7.780000,7.780000,64860
2014-12-18,7.780000,7.819000,7.780000,7.818000,7.818000,91480
2014-12-19,7.800000,7.844000,7.780000,7.800000,7.800000,41310
2014-12-22,7.800000,7.834000,7.775000,7.825000,7.825000,10460
2014-12-23,7.820000,7.833000,7.811000,7.815000,7.815000,60120
2014-12-26,7.815000,7.929000,7.815000,7.885000,7.885000,9050
2014-12-29,7.869000,7.929000,7.822000,7.852000,7.852000,11600
2014-12-30,7.879000,7.930000,7.861000,7.930000,7.930000,11810
2015-01-02,7.930000,8.000000,7.900000,7.985000,7.985000,7920
2015-01-05,7.930000,7.930000,7.840000,7.880000,7.880000,23990
2015-01-06,7.879000,7.919000,7.630000,7.850000,7.850000,92160
2015-01-07,7.850000,7.900000,7.828000,7.851000,7.851000,33020
2015-01-08,7.900000,7.923000,7.853000,7.853000,7.853000,30290
2015-01-09,7.900000,7.949000,7.856000,7.895000,7.895000,33640
2015-01-12,7.896000,7.994000,7.860000,7.950000,7.950000,16740
2015-01-13,7.881000,7.997000,7.881000,7.945000,7.945000,22670
2015-01-14,7.946000,8.000000,7.946000,7.970000,7.970000,22220
2015-01-15,7.999000,8.084000,7.980000,8.050000,8.050000,46360
2015-01-16,8.050000,8.200000,8.000000,8.160000,8.160000,27840
2015-01-19,8.225000,8.225000,8.077000,8.090000,8.090000,9160
2015-01-20,8.100000,8.259000,8.050000,8.050000,8.050000,55610
