Date,Open,High,Low,Close,Adj Close,Volume
2015-03-31,1.620000,1.620000,1.620000,1.620000,1.620000,5000
2015-04-01,1.620000,1.620000,1.620000,1.620000,1.620000,0
2015-04-02,1.620000,1.620000,1.620000,1.620000,1.620000,0
2015-04-06,1.620000,1.620000,1.620000,1.620000,1.620000,0
2015-04-07,4.100000,13.000000,4.100000,12.030000,12.030000,1900
2015-04-08,12.500000,60.000000,12.500000,38.389999,38.389999,10100
2015-04-09,40.500000,53.630001,18.400000,38.000000,38.000000,29200
2015-04-10,38.009998,50.000000,31.000000,37.500000,37.500000,18000
2015-04-13,null,null,null,null,null,null
2015-04-14,null,null,null,null,null,null
2015-04-15,null,null,null,null,null,null
2015-04-16,19.600000,22.000000,18.000000,18.780001,18.780001,4700
2015-04-17,18.500000,18.500000,16.129999,16.809999,16.809999,6600
2015-04-20,null,null,null,null,null,null
2015-04-22,18.010000,24.059999,18.010000,23.480000,23.480000,9800
2015-04-23,26.139999,26.139999,17.510000,17.510000,17.510000,1800
2015-04-24,19.049999,21.070000,19.049999,20.000000,20.000000,3500
2015-04-27,20.000000,20.000000,18.350000,18.350000,18.350000,900
2015-04-28,null,null,null,null,null,null
2015-04-29,null,null,null,null,null,null
2015-04-30,null,null,null,null,null,null
2015-05-04,21.000000,21.000000,19.209999,19.209999,19.209999,1000
2015-05-05,19.219999,20.500000,19.219999,19.219999,19.219999,600
2015-05-06,null,null,null,null,null,null
2015-05-07,null,null,null,null,null,null
2015-05-08,null,null,null,null,null,null
2015-05-11,null,null,null,null,null,null
2015-05-12,null,null,null,null,null,null
2015-05-13,null,null,null,null,null,null
2015-05-14,17.559999,17.799999,17.510000,17.510000,17.510000,900
2015-05-15,17.520000,18.000000,17.299999,18.000000,18.000000,1500
2015-05-18,null,null,null,null,null,null
2015-05-19,null,null,null,null,null,null
2015-05-20,null,null,null,null,null,null
2015-05-21,18.000000,18.000000,18.000000,18.000000,18.000000,0
2015-05-22,18.000000,18.000000,18.000000,18.000000,18.000000,0
2015-05-25,17.000000,17.000000,16.900000,16.900000,16.900000,600
2015-05-26,16.889999,16.889999,16.180000,16.180000,16.180000,400
2015-05-27,null,null,null,null,null,null
2015-05-28,null,null,null,null,null,null
2015-05-29,null,null,null,null,null,null
2015-06-01,15.240000,15.240000,15.210000,15.210000,15.210000,500
2015-06-02,15.210000,15.210000,15.210000,15.210000,15.210000,0
2015-06-03,15.210000,15.210000,15.210000,15.210000,15.210000,0
2015-06-05,15.210000,15.210000,15.210000,15.210000,15.210000,0
2015-06-08,14.500000,14.500000,14.000000,14.000000,14.000000,300
2015-06-09,16.000000,16.000000,14.380000,14.380000,14.380000,500
2015-06-10,14.310000,14.310000,14.310000,14.310000,14.310000,300
2015-06-11,13.600000,13.600000,13.500000,13.500000,13.500000,200
2015-06-12,13.000000,13.040000,13.000000,13.040000,13.040000,1200
2015-06-15,13.040000,13.040000,13.040000,13.040000,13.040000,0
2015-06-16,13.040000,13.040000,13.040000,13.040000,13.040000,0
2015-06-17,13.040000,13.040000,13.040000,13.040000,13.040000,0
2015-06-18,15.000000,15.000000,12.610000,12.610000,12.610000,1400
2015-06-19,null,null,null,null,null,null
2015-06-22,null,null,null,null,null,null
2015-06-23,null,null,null,null,null,null
2015-06-24,null,null,null,null,null,null
2015-06-25,null,null,null,null,null,null
2015-06-26,null,null,null,null,null,null
2015-06-29,11.000000,11.000000,10.870000,11.000000,11.000000,1000
2015-06-30,10.660000,10.660000,10.660000,10.660000,10.660000,700
2015-07-01,10.660000,10.660000,10.660000,10.660000,10.660000,0
2015-07-02,null,null,null,null,null,null
2015-07-03,null,null,null,null,null,null
2015-07-06,10.660000,10.660000,10.660000,10.660000,10.660000,0
2015-07-07,10.660000,10.660000,10.660000,10.660000,10.660000,0
