Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,32.000000,32.000000,32.000000,32.000000,30.286367,1500
2007-01-03,32.000000,32.000000,32.000000,32.000000,30.286367,1500
2007-01-04,32.000000,32.000000,32.000000,32.000000,30.286367,1500
2007-01-05,32.000000,35.299999,32.000000,32.000000,30.286367,0
2007-01-08,32.000000,32.000000,32.000000,32.000000,30.286367,0
2007-01-09,32.000000,35.299999,32.000000,32.000000,30.286367,0
2007-01-10,32.009998,35.299999,32.009998,32.009998,30.295830,0
2007-01-11,32.020000,32.020000,32.020000,32.020000,30.305298,100
2007-01-12,32.020000,32.020000,32.020000,32.020000,30.305298,0
2007-01-15,32.009998,35.299999,32.009998,32.009998,30.295830,0
2007-01-16,32.009998,32.009998,32.009998,32.009998,30.295830,0
2007-01-17,32.009998,32.009998,32.009998,32.009998,30.295830,0
2007-01-18,32.009998,32.009998,32.009998,32.009998,30.295830,0
2007-01-19,32.020000,35.299999,32.020000,32.020000,30.305298,0
2007-01-22,32.060001,32.209999,32.060001,32.209999,30.485121,1200
2007-01-23,32.009998,32.009998,32.009998,32.009998,30.295830,2000
2007-01-24,32.700001,32.700001,32.700001,32.700001,30.948885,200
2007-01-26,32.700001,35.299999,32.000000,32.000000,30.286367,0
2007-01-29,35.299999,35.299999,35.299999,35.299999,33.409649,100
2007-01-30,35.299999,35.299999,35.299999,35.299999,33.409649,100
2007-01-31,32.000000,37.000000,32.000000,32.000000,30.286367,0
2007-02-01,32.000000,32.000000,32.000000,32.000000,30.286367,0
2007-02-02,32.000000,32.000000,32.000000,32.000000,30.286367,0
2007-02-05,32.000000,32.000000,32.000000,32.000000,30.286367,100
2007-02-06,32.000000,32.000000,32.000000,32.000000,30.286367,0
2007-02-07,33.009998,33.009998,33.009998,33.009998,31.242275,200
2007-02-08,33.009998,33.009998,33.009998,33.009998,31.242275,200
2007-02-09,33.009998,33.009998,33.009998,33.009998,31.242275,0
2007-02-12,33.009998,33.009998,33.009998,33.009998,31.242275,200
2007-02-13,33.009998,33.009998,33.009998,33.009998,31.242275,0
2007-02-14,34.990002,34.990002,34.990002,34.990002,33.116253,700
2007-02-15,34.990002,34.990002,34.990002,34.990002,33.116253,700
2007-02-16,34.509998,50.000000,34.509998,34.509998,32.661945,0
2007-02-21,34.509998,40.000000,34.500000,34.500000,32.652489,0
2007-02-22,34.500000,41.000000,34.500000,34.500000,32.652489,0
2007-02-23,34.509998,36.049999,34.500000,36.049999,34.119488,2300
2007-02-26,40.000000,40.000000,40.000000,40.000000,37.857960,100
2007-02-27,40.000000,40.000000,40.000000,40.000000,37.857960,100
2007-02-28,49.000000,49.000000,48.000000,49.000000,46.376003,1000
2007-03-01,51.000000,51.000000,50.000000,50.000000,47.322453,200
2007-03-02,50.000000,50.000000,50.000000,50.000000,47.322453,2400
2007-03-05,50.000000,50.000000,50.000000,50.000000,47.322453,1000
2007-03-06,50.000000,54.000000,50.000000,54.000000,51.108250,600
2007-03-07,54.000000,59.990002,54.000000,59.990002,56.777470,3100
2007-03-08,63.000000,66.000000,59.990002,59.990002,56.777470,3200
2007-03-09,63.000000,66.000000,59.990002,59.990002,56.777470,3200
2007-03-12,50.000000,50.000000,49.000000,49.000000,46.376003,1100
2007-03-13,50.000000,50.500000,50.000000,50.500000,47.795670,500
2007-03-14,50.000000,50.500000,50.000000,50.500000,47.795670,500
2007-03-15,48.900002,49.000000,48.900002,49.000000,46.376003,600
2007-03-16,48.900002,49.000000,48.900002,49.000000,46.376003,600
