Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,1.275000,1.275000,1.275000,1.275000,0.809052,400
2007-01-03,1.275000,1.275000,1.275000,1.275000,0.809052,800
2007-01-04,1.275000,1.275000,1.275000,1.275000,0.809052,8000
2007-01-05,1.275000,1.275000,1.225000,1.225000,0.777325,0
2007-01-08,1.212500,1.212500,1.212500,1.212500,0.769393,2800
2007-01-09,1.212500,1.212500,1.212500,1.212500,0.769393,0
2007-01-10,1.375000,1.375000,1.212500,1.212500,0.769393,0
2007-01-11,1.375000,1.375000,1.212500,1.212500,0.769393,0
2007-01-12,1.212500,1.212500,1.212500,1.212500,0.769393,0
2007-01-15,1.375000,1.375000,1.375000,1.375000,0.872507,400
2007-01-16,1.497500,1.497500,1.497500,1.497500,0.950240,400
2007-01-17,1.422500,1.422500,1.422500,1.422500,0.902649,16400
2007-01-18,1.422500,1.422500,1.422500,1.422500,0.902649,4000
2007-01-19,1.300000,1.300000,1.300000,1.300000,0.824916,800
2007-01-22,1.300000,1.300000,1.250000,1.250000,0.793188,4000
2007-01-23,1.325000,1.325000,1.225000,1.225000,0.777325,0
2007-01-24,1.372500,1.372500,1.250000,1.250000,0.793188,0
2007-01-26,1.250000,1.275000,1.250000,1.275000,0.809052,400
2007-01-29,1.350000,1.350000,1.250000,1.250000,0.793188,0
2007-01-30,1.275000,1.275000,1.275000,1.275000,0.809052,400
2007-01-31,1.375000,1.375000,1.375000,1.375000,0.872507,400
2007-02-01,1.425000,1.425000,1.400000,1.425000,0.904235,5600
2007-02-02,1.397500,1.397500,1.212500,1.212500,0.769393,0
2007-02-05,1.425000,1.425000,1.250000,1.250000,0.793188,0
2007-02-06,1.425000,1.425000,1.425000,1.425000,0.904235,2000
2007-02-07,1.375000,1.425000,1.375000,1.425000,0.904235,1200
2007-02-08,1.622500,1.622500,1.212500,1.212500,0.769393,0
2007-02-09,1.375000,1.425000,1.375000,1.425000,0.904235,1200
2007-02-12,1.400000,1.400000,1.300000,1.300000,0.824916,0
2007-02-13,1.400000,1.400000,1.400000,1.400000,0.888371,400
2007-02-14,1.387500,1.387500,1.387500,1.387500,0.880439,20000
2007-02-15,1.397500,1.397500,1.350000,1.387500,0.880439,41200
2007-02-16,1.400000,1.400000,1.387500,1.387500,0.880439,8400
2007-02-21,1.387500,1.400000,1.255000,1.255000,0.796361,0
2007-02-22,1.400000,1.425000,1.400000,1.425000,0.904235,1200
2007-02-23,1.400000,1.400000,1.250000,1.250000,0.793188,0
2007-02-26,1.425000,1.425000,1.425000,1.425000,0.904235,1600
2007-02-27,1.450000,1.450000,1.350000,1.350000,0.856644,2400
2007-02-28,1.480000,1.480000,1.455000,1.455000,0.923271,800
2007-03-01,1.462500,1.462500,1.462500,1.462500,0.928030,400
2007-03-02,1.462500,1.462500,1.462500,1.462500,0.928030,400
2007-03-05,1.445000,1.445000,1.250000,1.250000,0.793188,0
