Date,Open,High,Low,Close,Adj Close,Volume
2014-12-01,705.000000,705.000000,705.000000,705.000000,705.000000,4225
2014-12-02,705.000000,705.000000,705.000000,705.000000,705.000000,0
2014-12-03,705.000000,705.000000,705.000000,705.000000,705.000000,0
2014-12-04,705.000000,705.000000,705.000000,705.000000,705.000000,0
2014-12-05,705.000000,705.000000,705.000000,705.000000,705.000000,0
2014-12-08,705.000000,705.000000,705.000000,705.000000,705.000000,0
2014-12-09,705.000000,705.000000,705.000000,705.000000,705.000000,0
2014-12-10,705.000000,705.000000,705.000000,705.000000,705.000000,0
2014-12-11,705.000000,705.000000,705.000000,705.000000,705.000000,0
2014-12-12,null,null,null,null,null,null
2014-12-15,null,null,null,null,null,null
2014-12-16,null,null,null,null,null,null
2014-12-17,null,null,null,null,null,null
2014-12-18,null,null,null,null,null,null
2014-12-19,null,null,null,null,null,null
2014-12-22,null,null,null,null,null,null
2014-12-23,null,null,null,null,null,null
2014-12-26,null,null,null,null,null,null
2014-12-29,null,null,null,null,null,null
2014-12-30,null,null,null,null,null,null
2015-01-02,null,null,null,null,null,null
2015-01-05,null,null,null,null,null,null
2015-01-06,null,null,null,null,null,null
2015-01-07,null,null,null,null,null,null
2015-01-08,null,null,null,null,null,null
2015-01-09,null,null,null,null,null,null
2015-01-12,null,null,null,null,null,null
2015-01-13,null,null,null,null,null,null
2015-01-14,null,null,null,null,null,null
2015-01-15,null,null,null,null,null,null
2015-01-16,null,null,null,null,null,null
2015-01-19,null,null,null,null,null,null
2015-01-20,null,null,null,null,null,null
2015-01-21,null,null,null,null,null,null
2015-01-22,null,null,null,null,null,null
2015-01-23,null,null,null,null,null,null
2015-01-26,null,null,null,null,null,null
2015-01-27,null,null,null,null,null,null
2015-01-28,null,null,null,null,null,null
2015-01-29,null,null,null,null,null,null
2015-01-30,null,null,null,null,null,null
2015-02-02,null,null,null,null,null,null
2015-02-03,null,null,null,null,null,null
2015-02-04,null,null,null,null,null,null
2015-02-05,null,null,null,null,null,null
2015-02-06,null,null,null,null,null,null
2015-02-09,null,null,null,null,null,null
2015-02-10,null,null,null,null,null,null
2015-02-11,null,null,null,null,null,null
2015-02-12,null,null,null,null,null,null
2015-02-13,null,null,null,null,null,null
2015-02-18,null,null,null,null,null,null
2015-02-19,null,null,null,null,null,null
2015-02-20,null,null,null,null,null,null
2015-02-23,null,null,null,null,null,null
2015-02-24,null,null,null,null,null,null
2015-02-25,null,null,null,null,null,null
2015-02-26,null,null,null,null,null,null
2015-02-27,null,null,null,null,null,null
2015-03-02,656.000000,656.000000,656.000000,656.000000,656.000000,0
2015-03-03,656.000000,656.000000,656.000000,656.000000,656.000000,0
2015-03-04,656.000000,656.000000,656.000000,656.000000,656.000000,0
2015-03-05,656.000000,656.000000,656.000000,656.000000,656.000000,0
2015-03-06,656.000000,656.000000,656.000000,656.000000,656.000000,0
2015-03-09,650.000000,650.000000,650.000000,650.000000,650.000000,6
2015-03-10,650.000000,650.000000,650.000000,650.000000,650.000000,6
2015-03-11,650.000000,650.000000,650.000000,650.000000,650.000000,0
2015-03-12,650.000000,650.000000,650.000000,650.000000,650.000000,0
2015-03-13,647.000000,647.000000,647.000000,647.000000,647.000000,3
2015-03-16,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-03-17,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-03-18,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-03-19,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-03-20,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-03-23,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-03-24,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-03-25,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-03-26,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-03-27,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-03-30,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-03-31,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-04-01,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-04-02,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-04-06,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-04-07,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-04-08,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-04-09,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-04-10,647.000000,647.000000,647.000000,647.000000,647.000000,0
2015-04-13,647.000000,647.000000,647.000000,647.000000,647.000000,0
