Date,Open,High,Low,Close,Adj Close,Volume
2014-08-06,1400.000000,1400.000000,1400.000000,1400.000000,1400.000000,5
2014-08-07,1400.000000,1400.000000,1400.000000,1400.000000,1400.000000,0
2014-08-08,1362.000000,1362.000000,1350.000000,1350.000000,1350.000000,244
2014-08-11,1400.000000,1400.000000,1400.000000,1400.000000,1400.000000,1
2014-08-12,1400.000000,1400.000000,1400.000000,1400.000000,1400.000000,0
2014-08-13,1400.000000,1400.000000,1400.000000,1400.000000,1400.000000,0
2014-08-14,1400.000000,1400.000000,1400.000000,1400.000000,1400.000000,0
2014-08-15,1310.000000,1347.989990,1300.000000,1300.000000,1300.000000,271
2014-08-18,1310.000000,1310.000000,1302.000000,1302.000000,1302.000000,121
2014-08-19,1302.000000,1302.000000,1302.000000,1302.000000,1302.000000,0
2014-08-20,1302.000000,1302.000000,1302.000000,1302.000000,1302.000000,0
2014-08-21,1302.000000,1302.000000,1302.000000,1302.000000,1302.000000,0
2014-08-22,1302.000000,1302.000000,1302.000000,1302.000000,1302.000000,0
2014-08-25,1302.000000,1302.000000,1302.000000,1302.000000,1302.000000,0
2014-08-26,1339.900024,1339.900024,1339.900024,1339.900024,1339.900024,6
2014-08-27,1339.900024,1339.900024,1339.900024,1339.900024,1339.900024,0
2014-08-28,1339.900024,1339.900024,1339.900024,1339.900024,1339.900024,0
2014-08-29,1339.900024,1339.900024,1339.900024,1339.900024,1339.900024,8
2014-09-01,1339.900024,1339.900024,1339.900024,1339.900024,1339.900024,0
2014-09-02,1339.900024,1339.900024,1339.900024,1339.900024,1339.900024,0
2014-09-03,1300.000000,1300.000000,1300.000000,1300.000000,1300.000000,1
2014-09-04,1250.010010,1250.010010,1170.209961,1170.209961,1170.209961,9
2014-09-05,1170.209961,1170.209961,1170.209961,1170.209961,1170.209961,0
2014-09-08,1269.000000,1269.000000,1269.000000,1269.000000,1269.000000,5
2014-09-09,1269.000000,1269.000000,1269.000000,1269.000000,1269.000000,0
2014-09-10,1269.979980,1270.000000,1269.979980,1269.989990,1269.989990,29
2014-09-11,1269.989990,1269.989990,1269.989990,1269.989990,1269.989990,0
2014-09-12,1269.989990,1269.989990,1269.989990,1269.989990,1269.989990,0
2014-09-15,1267.959961,1267.959961,1267.959961,1267.959961,1267.959961,10
2014-09-16,1267.959961,1267.959961,1267.959961,1267.959961,1267.959961,0
2014-09-17,1267.959961,1267.959961,1267.959961,1267.959961,1267.959961,0
2014-09-18,1267.959961,1267.959961,1267.959961,1267.959961,1267.959961,0
2014-09-19,1267.959961,1267.959961,1267.959961,1267.959961,1267.959961,0
2014-09-22,1267.959961,1267.959961,1267.959961,1267.959961,1267.959961,0
2014-09-23,1268.000000,1268.000000,1268.000000,1268.000000,1268.000000,5
2014-09-24,1268.000000,1268.000000,1268.000000,1268.000000,1268.000000,0
2014-09-25,1268.000000,1268.000000,1268.000000,1268.000000,1268.000000,0
2014-09-26,1268.000000,1268.000000,1268.000000,1268.000000,1268.000000,0
2014-09-29,1268.000000,1268.000000,1268.000000,1268.000000,1268.000000,0
2014-09-30,1268.000000,1268.000000,1268.000000,1268.000000,1268.000000,0
2014-10-01,1268.000000,1268.000000,1268.000000,1268.000000,1268.000000,0
2014-10-02,1268.000000,1268.000000,1268.000000,1268.000000,1268.000000,0
2014-10-03,1214.989990,1214.989990,1195.000000,1195.000000,1195.000000,31
2014-10-06,1195.010010,1195.010010,1195.010010,1195.010010,1195.010010,55
2014-10-07,1195.010010,1195.010010,1195.010010,1195.010010,1195.010010,0
2014-10-08,1195.010010,1195.010010,1195.010010,1195.010010,1195.010010,0
2014-10-09,1195.010010,1195.010010,1195.010010,1195.010010,1195.010010,0
2014-10-10,1195.010010,1195.010010,1195.010010,1195.010010,1195.010010,0
2014-10-13,1195.010010,1195.010010,1195.010010,1195.010010,1195.010010,0
2014-10-14,1195.010010,1195.010010,1195.010010,1195.010010,1195.010010,0
2014-10-15,1195.010010,1195.010010,1195.010010,1195.010010,1195.010010,0
2014-10-16,1195.010010,1195.010010,1195.010010,1195.010010,1195.010010,0
2014-10-17,1195.010010,1195.010010,1195.010010,1195.010010,1195.010010,0
2014-10-20,null,null,null,null,null,null
2014-10-21,null,null,null,null,null,null
2014-10-22,null,null,null,null,null,null
2014-10-23,null,null,null,null,null,null
2014-10-24,null,null,null,null,null,null
2014-10-27,null,null,null,null,null,null
2014-10-28,null,null,null,null,null,null
2014-10-29,null,null,null,null,null,null
2014-10-30,null,null,null,null,null,null
2014-10-31,null,null,null,null,null,null
2014-11-03,null,null,null,null,null,null
2014-11-04,null,null,null,null,null,null
2014-11-05,null,null,null,null,null,null
2014-11-06,null,null,null,null,null,null
2014-11-07,null,null,null,null,null,null
2014-11-10,null,null,null,null,null,null
2014-11-11,null,null,null,null,null,null
2014-11-12,null,null,null,null,null,null
2014-11-13,null,null,null,null,null,null
2014-11-14,null,null,null,null,null,null
2014-11-17,null,null,null,null,null,null
2014-11-18,null,null,null,null,null,null
2014-11-19,null,null,null,null,null,null
2014-11-21,null,null,null,null,null,null
2014-11-24,null,null,null,null,null,null
2014-11-25,null,null,null,null,null,null
2014-11-26,null,null,null,null,null,null
2014-11-27,null,null,null,null,null,null
2014-11-28,null,null,null,null,null,null
2014-12-01,null,null,null,null,null,null
2014-12-02,null,null,null,null,null,null
2014-12-03,null,null,null,null,null,null
2014-12-04,null,null,null,null,null,null
2014-12-05,null,null,null,null,null,null
2014-12-08,null,null,null,null,null,null
2014-12-09,null,null,null,null,null,null
2014-12-10,null,null,null,null,null,null
2014-12-11,null,null,null,null,null,null
2014-12-12,null,null,null,null,null,null
2014-12-15,null,null,null,null,null,null
2014-12-16,null,null,null,null,null,null
2014-12-17,null,null,null,null,null,null
2014-12-18,null,null,null,null,null,null
2014-12-19,null,null,null,null,null,null
2014-12-22,null,null,null,null,null,null
2014-12-23,null,null,null,null,null,null
2014-12-26,null,null,null,null,null,null
2014-12-29,null,null,null,null,null,null
2014-12-30,null,null,null,null,null,null
2015-01-02,null,null,null,null,null,null
2015-01-05,null,null,null,null,null,null
2015-01-06,null,null,null,null,null,null
2015-01-07,null,null,null,null,null,null
2015-01-08,null,null,null,null,null,null
2015-01-09,null,null,null,null,null,null
2015-01-12,null,null,null,null,null,null
2015-01-13,null,null,null,null,null,null
2015-01-14,null,null,null,null,null,null
2015-01-15,null,null,null,null,null,null
2015-01-16,null,null,null,null,null,null
2015-01-19,null,null,null,null,null,null
2015-01-20,null,null,null,null,null,null
2015-01-21,null,null,null,null,null,null
2015-01-22,null,null,null,null,null,null
2015-01-23,null,null,null,null,null,null
2015-01-26,null,null,null,null,null,null
2015-01-27,null,null,null,null,null,null
2015-01-28,null,null,null,null,null,null
2015-01-29,null,null,null,null,null,null
2015-01-30,null,null,null,null,null,null
2015-02-02,null,null,null,null,null,null
2015-02-03,null,null,null,null,null,null
2015-02-04,null,null,null,null,null,null
2015-02-05,null,null,null,null,null,null
2015-02-06,null,null,null,null,null,null
2015-02-09,null,null,null,null,null,null
2015-02-10,null,null,null,null,null,null
2015-02-11,null,null,null,null,null,null
2015-02-12,null,null,null,null,null,null
2015-02-13,null,null,null,null,null,null
2015-02-18,null,null,null,null,null,null
2015-02-19,null,null,null,null,null,null
2015-02-20,null,null,null,null,null,null
2015-02-23,null,null,null,null,null,null
2015-02-24,null,null,null,null,null,null
2015-02-25,null,null,null,null,null,null
2015-02-26,null,null,null,null,null,null
2015-02-27,null,null,null,null,null,null
2015-03-02,950.010010,950.010010,950.010010,950.010010,950.010010,0
2015-03-03,900.000000,929.000000,890.000000,929.000000,929.000000,226
2015-03-04,929.000000,929.000000,929.000000,929.000000,929.000000,0
2015-03-05,929.000000,929.000000,929.000000,929.000000,929.000000,0
2015-03-06,929.000000,929.000000,929.000000,929.000000,929.000000,0
2015-03-09,929.000000,929.000000,929.000000,929.000000,929.000000,0
2015-03-10,929.000000,929.000000,929.000000,929.000000,929.000000,0
2015-03-11,929.000000,929.000000,929.000000,929.000000,929.000000,0
2015-03-12,929.000000,929.000000,929.000000,929.000000,929.000000,0
2015-03-13,929.000000,929.000000,929.000000,929.000000,929.000000,0
