Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,4.947870,5.093390,4.947870,5.093390,5.093390,1580
2007-01-03,6.548640,8.731530,6.548640,8.731530,8.731530,4996
2007-01-04,10.186800,43.512100,8.731530,29.250601,29.250601,8356
2007-01-05,34.926102,41.911301,27.795401,29.105101,29.105101,7559
2007-01-08,33.761902,33.761902,21.974300,21.974300,21.974300,1477
2007-01-09,23.284100,26.049000,18.336201,18.627300,18.627300,502
2007-01-10,20.373600,20.373600,20.373600,20.373600,20.373600,652807
2007-01-11,9459.150391,9459.150391,9459.150391,9459.150391,9459.150391,0
2007-01-12,11.205500,19.500401,11.205500,19.500401,19.500401,14
2007-01-15,21.828800,21.828800,21.828800,21.828800,21.828800,302353
2007-01-16,22.847500,22.847500,20.373600,20.373600,20.373600,158
2007-01-17,14.698100,14.698100,14.698100,14.698100,14.698100,439786
2007-01-18,16.007799,16.007799,16.007799,16.007799,16.007799,755882
2007-01-19,14.552500,18.336201,14.552500,16.007799,16.007799,82
2007-01-22,17.463100,17.463100,16.007799,17.463100,17.463100,124
2007-01-23,17.463100,17.463100,17.463100,17.463100,17.463100,96203
2007-01-24,16.589899,16.589899,16.589899,16.589899,16.589899,171791
2007-01-26,16589.900391,16589.900391,16.589899,20.373600,20.373600,598
2007-01-29,20.664600,20.664600,20.664600,20.664600,20.664600,171791
2007-01-30,20.373600,22.702000,20.373600,20.664600,20.664600,172
2007-01-31,19.063801,19.063801,19.063801,19.063801,19.063801,54973
2007-02-01,15.280200,15.280200,15.280200,15.280200,15.280200,61845
2007-02-02,18.045200,21.828800,18.045200,21.101200,21.101200,234
2007-02-05,21.828800,21.828800,21.683300,21.683300,21.683300,27
2007-02-06,17899.599609,17899.599609,17899.599609,17899.599609,17899.599609,0
2007-02-07,18190.699219,18190.699219,18190.699219,18190.699219,18190.699219,0
2007-02-08,19.063801,19.063801,19.063801,19.063801,19.063801,137433
2007-02-09,19.063801,21.101200,19.063801,20.955700,20.955700,89
2007-02-12,17463.099609,17463.099609,17463.099609,17463.099609,17463.099609,0
2007-02-13,20.082500,20.082500,20.082500,20.082500,20.082500,27487
2007-02-14,20082.500000,20082.500000,20082.500000,20082.500000,20082.500000,0
2007-02-15,20.810101,20.810101,20.810101,20.810101,20.810101,6872
2007-02-16,20.373600,20.373600,20.373600,20.373600,20.373600,13743
2007-02-21,20373.599609,20373.599609,19645.900391,19645.900391,19645.900391,0
2007-02-22,17899.599609,17899.599609,17899.599609,17899.599609,17899.599609,0
2007-02-23,18190.699219,18190.699219,18190.699219,18190.699219,18190.699219,0
2007-02-26,17026.500000,17026.500000,17026.500000,17026.500000,17026.500000,0
2007-02-27,15280.200195,15280.200195,15280.200195,15280.200195,15280.200195,0
2007-02-28,16007.799805,16007.799805,16007.799805,16007.799805,16007.799805,0
2007-03-01,15280.200195,15280.200195,15280.200195,15280.200195,15280.200195,0
2007-03-02,16007.799805,16007.799805,16007.799805,16007.799805,16007.799805,0
2007-03-05,15280.200195,15280.200195,15280.200195,15280.200195,15280.200195,0
2007-03-06,18.918301,18.918301,18.918301,18.918301,18.918301,13743
2007-03-07,18918.300781,18918.300781,18918.300781,18918.300781,18918.300781,0
2007-03-08,18.918301,18.918301,18.918301,18.918301,18.918301,68717
2007-03-09,18918.300781,18918.300781,18918.300781,18918.300781,18918.300781,0
2007-03-12,16007.799805,16007.799805,16007.799805,16007.799805,16007.799805,0
2007-03-13,16735.400391,16735.400391,16735.400391,16735.400391,16735.400391,0
2007-03-14,17.463100,17.463100,17.463100,17.463100,17.463100,68717
2007-03-15,16.298800,16.298800,15.425700,15.425700,15.425700,172
2007-03-16,16.007799,16.007799,16.007799,16.007799,16.007799,82460
2007-03-19,16007.799805,16007.799805,16007.799805,16007.799805,16007.799805,0
