Date,Open,High,Low,Close,Adj Close,Volume
2017-03-07,22.879999,22.879999,22.879999,22.879999,22.879999,0
2017-03-08,null,null,null,null,null,null
2017-03-09,null,null,null,null,null,null
2017-03-10,null,null,null,null,null,null
2017-03-13,null,null,null,null,null,null
2017-03-14,null,null,null,null,null,null
2017-03-15,null,null,null,null,null,null
2017-03-16,null,null,null,null,null,null
2017-03-17,null,null,null,null,null,null
2017-03-20,null,null,null,null,null,null
2017-03-21,null,null,null,null,null,null
2017-03-22,null,null,null,null,null,null
2017-03-23,null,null,null,null,null,null
2017-03-24,null,null,null,null,null,null
2017-03-27,null,null,null,null,null,null
2017-03-28,null,null,null,null,null,null
2017-03-29,null,null,null,null,null,null
2017-03-30,null,null,null,null,null,null
2017-03-31,18.200001,18.200001,18.200001,18.200001,18.200001,100
2017-04-03,18.200001,18.200001,18.200001,18.200001,18.200001,0
2017-04-04,18.200001,18.200001,18.200001,18.200001,18.200001,0
2017-04-05,18.200001,18.200001,18.200001,18.200001,18.200001,0
2017-04-06,18.200001,18.200001,18.200001,18.200001,18.200001,0
2017-04-07,18.200001,18.200001,18.200001,18.200001,18.200001,0
2017-04-10,18.200001,18.200001,18.200001,18.200001,18.200001,0
2017-04-11,18.200001,18.200001,18.200001,18.200001,18.200001,0
2017-04-12,18.200001,18.200001,18.200001,18.200001,18.200001,0
2017-04-13,18.200001,18.200001,18.200001,18.200001,18.200001,0
2017-04-17,18.200001,18.200001,18.200001,18.200001,18.200001,0
2017-04-18,18.200001,18.200001,18.200001,18.200001,18.200001,0
2017-04-19,18.000000,18.000000,18.000000,18.000000,18.000000,200
2017-04-20,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-04-24,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-04-25,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-04-26,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-04-27,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-04-28,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-05-02,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-05-03,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-05-04,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-05-05,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-05-08,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-05-09,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-05-10,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-05-11,18.000000,18.000000,18.000000,18.000000,18.000000,0
2017-05-12,18.010000,18.010000,18.000000,18.010000,18.010000,300
2017-05-15,18.010000,18.010000,18.010000,18.010000,18.010000,0
2017-05-16,18.010000,18.010000,18.010000,18.010000,18.010000,0
2017-05-17,18.010000,18.010000,18.010000,18.010000,18.010000,0
2017-05-18,18.010000,18.010000,18.010000,18.010000,18.010000,0
2017-05-19,18.010000,18.010000,18.010000,18.010000,18.010000,0
2017-05-22,18.010000,18.010000,18.010000,18.010000,18.010000,0
2017-05-23,18.010000,18.010000,18.010000,18.010000,18.010000,0
2017-05-24,18.010000,18.010000,18.010000,18.010000,18.010000,0
2017-05-25,18.010000,18.010000,18.010000,18.010000,18.010000,0
2017-05-26,22.760000,22.760000,22.760000,22.760000,22.760000,400
2017-05-29,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-05-30,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-05-31,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-06-01,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-06-02,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-06-05,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-06-06,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-06-07,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-06-08,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-06-09,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-06-12,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-06-13,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-06-14,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-06-15,22.760000,22.760000,22.760000,22.760000,22.760000,0
2017-06-16,null,null,null,null,null,null
