Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,18375.000000,19367.300781,18112.500000,19367.300781,16460.908203,15619
2007-01-03,18112.500000,18375.000000,18112.500000,18375.000000,15617.518555,3619
2007-01-04,18112.500000,18123.000000,18007.500000,18007.500000,15305.171875,6476
2007-01-05,18217.500000,18217.500000,18007.500000,18112.500000,15394.412109,18857
2007-01-08,18480.000000,18480.000000,18112.500000,18480.000000,15706.764648,6667
2007-01-09,18112.500000,18480.000000,18112.500000,18322.500000,15572.901367,2286
2007-01-10,18112.500000,18375.000000,17588.000000,18112.500000,15394.412109,4762
2007-01-11,18480.000000,18511.500000,18112.500000,18427.500000,15662.142578,76952
2007-01-12,18480.000000,18637.500000,18375.000000,18637.500000,15840.628906,5333
2007-01-15,18637.500000,18795.000000,18480.000000,18637.500000,15840.628906,7048
2007-01-16,18637.000000,18637.000000,18637.000000,18637.000000,15840.205078,8190
2007-01-17,18690.000000,18690.000000,18375.000000,18585.000000,15796.008789,33524
2007-01-18,18375.000000,18375.000000,18375.000000,18375.000000,15617.518555,571
2007-01-19,18375.000000,18690.000000,18270.000000,18690.000000,15885.249023,9524
2007-01-22,18637.500000,18637.500000,18296.300781,18427.500000,15662.142578,11429
2007-01-23,18403.900391,18480.000000,18270.000000,18270.000000,15528.280273,4381
2007-01-24,18375.000000,18558.800781,18270.500000,18375.000000,15617.518555,12952
2007-01-26,18375.000000,18375.000000,18375.000000,18375.000000,15617.518555,1333
2007-01-29,18270.000000,18375.000000,17955.000000,18375.000000,15617.518555,2095
2007-01-30,18165.000000,18243.800781,18165.000000,18243.800781,15506.015625,1333
2007-01-31,18270.000000,18427.500000,18165.000000,18427.500000,15662.142578,2476
2007-02-01,18585.000000,19346.300781,18375.000000,18637.500000,15840.628906,23619
2007-02-02,18637.500000,18900.000000,18375.000000,18900.000000,16063.734375,1143
2007-02-05,18792.400391,18792.400391,18792.400391,18792.400391,15972.284180,381
2007-02-06,19109.500000,19110.000000,18112.500000,19104.199219,16237.293945,3048
2007-02-07,19110.000000,19110.000000,18375.000000,18900.000000,16063.734375,1524
2007-02-08,18795.000000,18900.000000,18033.800781,18138.800781,15416.773438,6476
2007-02-09,18138.800781,18138.800781,17850.000000,18112.500000,15394.412109,7238
2007-02-12,17850.000000,17850.000000,17850.000000,17850.000000,15171.308594,190
2007-02-13,17850.000000,18584.000000,17850.000000,18584.000000,15795.159180,952
2007-02-14,18375.000000,18900.000000,18112.500000,18375.000000,15617.518555,3619
2007-02-15,18375.000000,18375.000000,18375.000000,18375.000000,15617.518555,4381
2007-02-16,17965.500000,18637.500000,17965.500000,18637.500000,15840.628906,381
2007-02-21,17855.300781,18742.500000,17855.300781,18637.500000,15840.628906,1524
2007-02-22,17745.000000,18900.000000,17745.000000,18900.000000,16063.734375,1905
2007-02-23,18165.000000,18742.500000,18165.000000,18742.500000,15929.869141,1905
2007-02-26,18742.500000,18742.500000,17902.500000,18375.000000,15617.518555,1905
2007-02-27,17850.000000,17850.000000,17850.000000,17850.000000,15171.308594,571
2007-02-28,17955.000000,18715.199219,17955.000000,18480.000000,15706.764648,2476
2007-03-01,17587.500000,18506.300781,17587.500000,18111.500000,15393.565430,12190
2007-03-02,17062.500000,17587.500000,16800.000000,17587.500000,14948.199219,762
2007-03-05,18112.500000,18112.500000,17062.500000,17062.500000,14501.982422,762
2007-03-06,16800.000000,18059.500000,16695.500000,17062.500000,14501.982422,6476
2007-03-07,16359.000000,17010.000000,16359.000000,16359.000000,13904.055664,0
2007-03-08,17062.500000,17062.500000,17062.500000,17062.500000,14501.982422,190
2007-03-09,17062.500000,17062.500000,16538.000000,17062.500000,14501.982422,571
2007-03-12,16590.000000,17010.000000,16590.000000,17010.000000,14457.368164,381
2007-03-13,16695.000000,16800.000000,16354.299805,16354.299805,13900.061523,1905
2007-03-14,16747.500000,17062.500000,15750.000000,16275.000000,13832.663086,10857
2007-03-15,16275.000000,16590.000000,16222.500000,16537.500000,14055.773438,1333
2007-03-16,16537.500000,16537.500000,16537.000000,16537.000000,14055.347656,571
2007-03-19,16852.500000,17640.000000,16852.500000,17640.000000,14992.821289,381
2007-03-20,17640.000000,17640.000000,16275.000000,17430.000000,14814.335938,1714
2007-03-21,17850.000000,17850.000000,16537.500000,17718.800781,15059.797852,1905
2007-03-22,17325.000000,17325.000000,16695.000000,16695.000000,14189.631836,571
2007-03-23,16537.500000,16537.500000,16327.500000,16327.500000,13877.283203,381
2007-03-26,17062.000000,17062.500000,16485.000000,17010.000000,14457.368164,2857
2007-03-27,17010.000000,17456.300781,16285.500000,17456.300781,14836.691406,8762
2007-03-28,17535.000000,17535.000000,16542.800781,16695.000000,14189.631836,571
2007-03-29,17587.500000,17587.500000,17062.500000,17062.500000,14501.982422,2286
2007-03-30,17063.000000,17850.000000,17062.500000,17850.000000,15171.308594,2857
2007-04-02,17850.000000,18270.000000,17062.500000,18060.000000,15349.793945,6286
2007-04-03,8294.480469,8400.000000,7612.500000,8400.000000,7139.437988,9379
2007-04-04,8925.000000,8925.000000,8662.500000,8662.500000,7362.546387,1015
2007-04-05,8820.000000,8820.000000,8400.000000,8636.250000,7340.235840,1067
2007-04-09,8400.000000,8715.000000,8033.029785,8552.250000,7268.841309,14943
2007-04-10,7980.000000,8636.250000,7980.000000,8216.250000,6983.262207,12381
2007-04-11,8505.000000,8505.000000,8138.029785,8400.000000,7139.437988,29855
2007-04-12,8399.480469,8505.000000,8275.049805,8505.000000,7228.684082,26924
2007-04-13,8400.000000,8432.030273,8137.500000,8400.000000,7139.437988,25415
2007-04-16,8295.000000,8610.000000,8295.000000,8594.250000,7304.536621,20150
2007-04-17,8499.750000,8610.000000,8347.500000,8604.750000,7313.462891,40478
2007-04-18,8609.480469,8609.480469,8348.549805,8505.000000,7228.684082,9314
2007-04-19,8326.500000,8452.500000,8274.000000,8400.000000,7139.437988,51880
2007-04-20,8505.000000,8531.250000,8163.750000,8400.000000,7139.437988,41794
