Date,Open,High,Low,Close,Adj Close,Volume
2007-10-05,7.502650,7.691430,7.321130,7.405840,3.685738,7065916
2007-10-08,7.306610,7.514750,7.272730,7.413100,3.689349,1081724
2007-10-09,7.306610,7.514750,7.272730,7.357440,3.661650,1111474
2007-10-10,7.430040,7.553470,7.415520,7.415520,3.690556,1830007
2007-10-11,7.417940,7.502650,7.405840,7.405840,3.685738,648291
2007-10-15,7.497810,7.500230,7.410680,7.500230,3.732713,549126
2007-10-16,7.497810,7.500230,7.410680,7.500230,3.732713,552431
2007-10-17,7.408260,7.490550,7.335660,7.393740,3.679716,1266419
2007-10-18,7.408260,7.490550,7.333240,7.357440,3.661650,1268485
2007-10-19,7.333240,7.415520,7.277570,7.311450,3.638761,941241
2007-10-22,7.260630,7.405840,7.258210,7.379220,3.672490,295016
2007-10-23,7.260630,7.405840,7.258210,7.275150,3.620695,297908
2007-10-24,7.357440,7.381640,7.139620,7.357440,3.661650,764810
2007-10-25,7.309030,7.403420,7.260630,7.296930,3.631535,399139
2007-10-26,7.403420,7.403420,7.263050,7.287250,3.626717,530119
2007-10-29,7.309030,7.526850,7.241270,7.526850,3.745961,1783730
2007-10-30,7.309030,7.526850,7.241270,7.381640,3.673693,1785796
2007-10-31,7.381640,7.502650,7.309030,7.502650,3.733917,1235430
2007-11-01,7.478450,7.599460,7.430040,7.490550,3.727895,1061478
2007-11-05,7.500230,7.621240,7.413100,7.621240,3.792938,1404011
2007-11-06,7.500230,7.621240,7.413100,7.551050,3.758006,1408556
2007-11-07,7.689010,7.744670,7.553470,7.643020,3.803777,289231
2007-11-08,7.732570,7.744670,7.430040,7.526850,3.745961,346664
2007-11-09,7.502650,7.580100,7.405840,7.442150,3.703807,280967
2007-11-12,7.321130,7.355020,7.267890,7.309030,3.637556,247912
2007-11-13,7.321130,7.454250,7.209810,7.258210,3.612265,743737
2007-11-14,7.260630,7.309030,7.214650,7.260630,3.613469,121890
2007-11-16,7.502650,7.696270,7.446990,7.548630,3.756801,567719
2007-11-19,7.502650,7.502650,7.021030,7.284830,3.625513,178910
2007-11-21,6.996830,7.018610,6.779010,6.967780,3.467724,197090
2007-11-22,7.091210,7.355020,7.013770,7.221910,3.594200,173539
2007-11-23,7.284830,7.369540,7.069430,7.113000,3.539998,137178
2007-11-26,7.113000,7.258210,6.800790,6.824990,3.396660,292537
2007-11-27,6.682200,6.892760,6.682200,6.776590,3.372572,237996
2007-11-28,6.870980,6.970200,6.849190,6.849190,3.408704,365671
2007-11-29,6.873400,6.991990,6.776590,6.800790,3.384616,141310
2007-11-30,6.800790,7.018610,6.292550,6.762070,3.365346,562761
2007-12-03,6.900020,7.067010,6.897600,6.970200,3.468928,118172
2007-12-04,6.900020,7.067010,6.897600,6.958100,3.462905,118585
2007-12-05,7.258210,7.318710,7.018610,7.248530,3.607448,1613910
2007-12-06,7.309030,7.333240,7.224330,7.260630,3.613469,1874218
2007-12-07,7.309030,7.333240,7.224330,7.260630,3.613469,1874218
2007-12-10,7.495390,7.505070,7.260630,7.260630,3.613469,341706
2007-12-11,7.260630,7.502650,7.260630,7.381640,3.673693,630937
2007-12-12,7.284830,7.463930,7.263050,7.417940,3.691759,761091
2007-12-13,7.178340,7.381640,6.989570,7.284830,3.625513,336748
2007-12-14,7.287250,7.449410,7.284830,7.446990,3.706218,278901
2007-12-17,7.405840,7.425200,7.309030,7.321130,3.643578,553671
2007-12-18,7.321130,7.502650,7.236430,7.430040,3.697780,141310
2007-12-19,7.224330,7.357440,7.224330,7.357440,3.661650,481363
2007-12-20,7.376800,7.500230,7.333240,7.333240,3.649605,501196
2007-12-21,7.454250,7.454250,7.284830,7.379220,3.672490,549952
2007-12-26,7.263050,7.371960,7.260630,7.352600,3.659240,20659
2007-12-27,7.357440,7.367120,7.190440,7.296930,3.631535,126849
2007-12-28,7.379220,7.379220,7.272730,7.318710,3.642374,38840
2008-01-02,7.260630,7.284830,7.163820,7.163820,3.565289,448721
2008-01-03,7.163820,7.163820,6.982310,7.018610,3.493020,964792
2008-01-04,7.018610,7.236430,6.776590,6.924220,3.446045,460291
2008-01-07,6.897600,7.067010,6.839510,6.892760,3.430387,632177
2008-01-08,6.897600,6.958100,6.682200,6.703980,3.336436,449961
2008-01-09,6.703980,6.861290,6.173960,6.321590,3.146128,412774
2008-01-10,6.340950,6.527310,6.268340,6.524890,3.247306,225187
2008-01-11,6.498260,6.534570,6.389350,6.534570,3.252123,72308
2008-01-14,6.580550,6.595070,6.377250,6.425660,3.197922,76853
2008-01-15,6.171540,6.486160,5.711700,5.929510,2.950997,1298648
2008-01-16,5.808500,6.120710,5.760100,5.808500,2.890773,561108
2008-01-17,5.796400,5.953720,5.687490,5.808500,2.890773,1468055
2008-01-18,5.953720,6.050520,5.929510,5.977920,2.975090,337161
2008-01-21,5.735900,6.098930,5.733480,5.929510,2.950997,107429
2008-01-22,5.832710,6.505520,5.832710,5.929510,2.950997,1366824
2008-01-23,5.823020,6.169110,5.823020,6.169110,3.070241,260308
2008-01-24,6.292550,6.752390,6.292550,6.631370,3.300299,300387
2008-01-28,6.529730,6.607170,6.340950,6.486160,3.228031,37600
