Date,Open,High,Low,Close,Adj Close,Volume
2017-03-07,215.350006,215.350006,215.350006,215.350006,215.350006,0
2017-03-08,null,null,null,null,null,null
2017-03-09,null,null,null,null,null,null
2017-03-10,null,null,null,null,null,null
2017-03-13,279.950012,279.950012,279.950012,279.950012,279.950012,4000
2017-03-14,279.950012,279.950012,279.950012,279.950012,279.950012,0
2017-03-15,279.950012,279.950012,279.950012,279.950012,279.950012,0
2017-03-16,279.950012,279.950012,279.950012,279.950012,279.950012,0
2017-03-17,279.950012,279.950012,279.950012,279.950012,279.950012,0
2017-03-20,287.579987,287.579987,287.579987,287.579987,287.579987,900
2017-03-21,287.579987,287.579987,287.579987,287.579987,287.579987,0
2017-03-22,287.579987,287.579987,287.579987,287.579987,287.579987,0
2017-03-23,287.579987,287.579987,287.579987,287.579987,287.579987,0
2017-03-24,287.579987,287.579987,287.579987,287.579987,287.579987,0
2017-03-27,297.200012,297.200012,297.200012,297.200012,297.200012,200
2017-03-28,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-03-29,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-03-30,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-03-31,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-04-03,null,null,null,null,null,null
2017-04-04,null,null,null,null,null,null
2017-04-05,null,null,null,null,null,null
2017-04-06,null,null,null,null,null,null
2017-04-07,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-04-10,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-04-11,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-04-12,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-04-13,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-04-17,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-04-18,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-04-19,null,null,null,null,null,null
2017-04-20,null,null,null,null,null,null
2017-04-24,null,null,null,null,null,null
2017-04-25,null,null,null,null,null,null
2017-04-26,null,null,null,null,null,null
2017-04-27,null,null,null,null,null,null
2017-04-28,null,null,null,null,null,null
2017-05-02,null,null,null,null,null,null
2017-05-03,null,null,null,null,null,null
2017-05-04,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-05-05,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-05-08,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-05-09,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-05-10,null,null,null,null,null,null
2017-05-11,297.200012,297.200012,297.200012,297.200012,297.200012,0
2017-05-12,null,null,null,null,null,null
2017-05-15,null,null,null,null,null,null
2017-05-16,null,null,null,null,null,null
2017-05-17,null,null,null,null,null,null
2017-05-18,306.679993,306.679993,306.679993,306.679993,306.679993,100
2017-05-19,306.679993,306.679993,306.679993,306.679993,306.679993,0
2017-05-22,306.679993,306.679993,306.679993,306.679993,306.679993,0
2017-05-23,306.679993,306.679993,306.679993,306.679993,306.679993,0
2017-05-24,306.679993,306.679993,306.679993,306.679993,306.679993,0
