Date,Open,High,Low,Close,Adj Close,Volume
2017-07-20,2.910000,2.960000,2.910000,2.960000,2.960000,7100
2017-07-21,3.000000,3.500000,3.000000,3.500000,3.500000,200
2017-07-24,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-07-25,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-07-26,3.500000,3.500000,3.500000,3.500000,3.500000,0
2017-07-27,3.500000,3.900000,3.500000,3.900000,3.900000,2400
2017-07-28,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-07-31,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-01,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-02,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-03,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-04,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-07,3.900000,3.900000,3.900000,3.900000,3.900000,0
2017-08-08,3.900000,3.900000,3.900000,3.900000,3.900000,0
