Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,3.425280,3.425280,3.163180,3.163180,2.545831,0
2007-01-03,3.434310,3.434310,3.253560,3.253560,2.618572,0
2007-01-04,3.611450,3.611450,3.253560,3.253560,2.618572,0
2007-01-05,3.611450,3.611450,3.072810,3.072810,2.473098,0
2007-01-08,3.584340,3.584340,3.118000,3.118000,2.509468,0
2007-01-09,3.390930,3.390930,3.389130,3.389130,2.727683,1660
2007-01-10,3.412620,3.412620,3.177640,3.177640,2.557469,0
2007-01-11,3.409010,3.409010,3.253560,3.253560,2.618572,0
2007-01-12,3.253560,3.409010,3.253560,3.409010,2.743682,2213
2007-01-15,3.352980,3.352980,3.352980,3.352980,2.698587,1660
2007-01-16,3.380090,3.380090,3.268020,3.268020,2.630209,1660
2007-01-17,3.524690,3.524690,3.072810,3.072810,2.473098,0
2007-01-18,4.066950,4.066950,3.072810,3.072810,2.473098,0
2007-01-19,4.066950,4.066950,3.072810,3.072810,2.473098,0
2007-01-22,3.615070,3.615070,3.163180,3.163180,2.545831,0
2007-01-23,3.089080,3.089080,3.087270,3.087270,2.484736,1660
2007-01-24,3.615070,3.615070,3.289710,3.289710,2.647666,0
2007-01-26,3.289710,3.615070,3.289710,3.289710,2.647666,0
2007-01-29,3.434310,3.434310,3.343940,3.343940,2.691312,0
2007-01-30,3.347550,3.347550,3.343940,3.343940,2.691312,3319
2007-01-31,3.257180,3.257180,3.257180,3.257180,2.621485,0
2007-02-01,3.099920,3.099920,3.099920,3.099920,2.494917,0
2007-02-02,3.280670,3.280670,3.280670,3.280670,2.640390,0
2007-02-05,3.099920,3.099920,3.099920,3.099920,2.494917,0
2007-02-06,3.347550,3.347550,3.347550,3.347550,2.694217,0
2007-02-07,3.072810,3.072810,3.072810,3.072810,2.473098,0
2007-02-08,3.343940,3.343940,3.343940,3.343940,2.691312,3319
2007-02-09,3.343940,3.343940,3.343940,3.343940,2.691312,3319
